Year,Mainframes,PCs,Printers,Terminals,Storage devices,Autos
1,0.898,0.779,0.8478,0.9208,0.9549,0.8208
2,0.6893,0.473,0.5678,0.7318,0.7806,0.589
3,0.4901,0.287,0.357,0.5216,0.5326,0.4862
4,0.2989,0.174,0.2205,0.3474,0.3231,0.4063
5,0.1732,0.106,0.1343,0.222,0.1767,0.3258
6,0.0894,0.064,0.0822,0.1377,0.0911,0.2414
7,0.0434,0.039,0.0516,0.0851,0.0459,0.1811
8,0.0197,0.024,0.0335,0.0538,0.0229,0.128
9,0.0087,0.014,0.022,0.0352,0.0111,0.0749
10,0.0035,0.009,0.0144,0.0237,0.0053,0.0363
11,0.0015,0.005,0.0093,0.0164,0.0025,0.0184
12,0.0007,0.003,0.0059,0.0118,0.0012,0.0092
13,0.0004,0.002,0.0037,0.0088,0.0006,0
14,0.0003,0.001,0.0024,0.0069,0.0003,0
15,0.0002,0.001,0.0015,0.0058,0.0002,0
16,0,0,0.001,0.0055,0.0001,0
17,0,0,0.0006,0.0055,0.0001,0
18,0,0,0.0004,0.0058,0.0001,0
19,0,0,0.0002,0.0049,0.0001,0
20,0,0,0.0001,0.0037,0,0
