   Farms,110C
"   Forestry, fishing, and related activities",113F
   Oil and gas extraction,2110
"   Mining, except oil and gas",2120
   Support activities for mining,2130
  Utilities,2200
  Construction                                 ,2300
      Wood products,3210
      Nonmetallic mineral products,3270
      Primary metals,3310
      Fabricated metal products,3320
      Machinery,3330
      Computer and electronic products,3340
"      Electrical equipment, appliances, and components",3350
"      Motor vehicles, bodies and trailers, and parts",336M
      Other transportation equipment,336O
      Furniture and related products,3370
      Miscellaneous manufacturing,338A
"      Food, beverage, and tobacco products",311A
      Textile mills and textile product mills,313T
      Apparel and leather and allied products,315A
      Paper products,3220
      Printing and related support activities,3230
      Petroleum and coal products,3240
      Chemical products,3250
      Plastics and rubber products,3260
  Wholesale trade,4200
  Retail trade,44RT
   Air transportation,4810
   Railroad transportation,4820
   Water transportation,4830
   Truck transportation,4840
   Transit and ground passenger transportation,4850
   Pipeline transportation,4860
   Other transportation and support activities ,487S
   Warehousing and storage,4930
   Publishing industries (including software),5110
   Motion picture and sound recording industries,5120
   Broadcasting and telecommunications,5130
   Information and data processing services,5140
   Federal Reserve banks,5210
   Credit intermediation and related activities,5220
"   Securities, commodity contracts, and investments",5230
   Insurance carriers and related activities,5240
"   Funds, trusts, and other financial vehicles",5250
   Real estate,5310
   Rental and leasing services and lessors of intangible assets,5320
   Legal services,5411
   Computer systems design and related services,5415
"   Miscellaneous professional, scientific, and technical services",5412
  Management of companies and enterprises,5500
   Administrative and support services,5610
   Waste management and remediation services,5620
  Educational services                         ,6100
   Ambulatory health care services,6210
   Hospitals,622H
   Nursing and residential care facilities,6230
   Social assistance                    ,6240
"   Performing arts, spectator sports, museums, and related activities",711A
"   Amusements, gambling, and recreation industries",7130
   Accommodation,7210
   Food services and drinking places,7220
"  Other services, except government",8100
