Codes:,depreciation,total_net_income,total_net_loss
1,136841830000.0,1.068043099e+12,290118622000.0
11,1171356005.98,15224645000.0,6919758005.98
111,137256209.939,9606740000.0,2284762004.75
1111,27451241.9877,1921348000.0,456952400.95
11111,3921605.99825,274478285.714,65278914.4214
111110,3921605.99825,274478285.714,65278914.4214
11112,3921605.99825,274478285.714,65278914.4214
111120,3921605.99825,274478285.714,65278914.4214
11113,3921605.99825,274478285.714,65278914.4214
111130,3921605.99825,274478285.714,65278914.4214
11114,3921605.99825,274478285.714,65278914.4214
111140,3921605.99825,274478285.714,65278914.4214
11115,3921605.99825,274478285.714,65278914.4214
111150,3921605.99825,274478285.714,65278914.4214
11116,3921605.99825,274478285.714,65278914.4214
111160,3921605.99825,274478285.714,65278914.4214
11119,3921605.99825,274478285.714,65278914.4214
111191,1960802.99912,137239142.857,32639457.2107
111199,1960802.99912,137239142.857,32639457.2107
1112,27451241.9877,1921348000.0,456952400.95
11121,27451241.9877,1921348000.0,456952400.95
111211,13725620.9939,960674000.0,228476200.475
111219,13725620.9939,960674000.0,228476200.475
1113,27451241.9877,1921348000.0,456952400.95
11131,9150413.99591,640449333.333,152317466.983
111310,9150413.99591,640449333.333,152317466.983
11132,9150413.99591,640449333.333,152317466.983
111320,9150413.99591,640449333.333,152317466.983
11133,9150413.99591,640449333.333,152317466.983
111331,1307201.99942,91492761.9048,21759638.1405
111332,1307201.99942,91492761.9048,21759638.1405
111333,1307201.99942,91492761.9048,21759638.1405
111334,1307201.99942,91492761.9048,21759638.1405
111335,1307201.99942,91492761.9048,21759638.1405
111336,1307201.99942,91492761.9048,21759638.1405
111339,1307201.99942,91492761.9048,21759638.1405
1114,27451241.9877,1921348000.0,456952400.95
11141,13725620.9939,960674000.0,228476200.475
111411,6862810.49694,480337000.0,114238100.237
111419,6862810.49694,480337000.0,114238100.237
11142,13725620.9939,960674000.0,228476200.475
111421,6862810.49694,480337000.0,114238100.237
111422,6862810.49694,480337000.0,114238100.237
1119,27451241.9877,1921348000.0,456952400.95
11191,5490248.39755,384269600.0,91390480.19
111910,5490248.39755,384269600.0,91390480.19
11192,5490248.39755,384269600.0,91390480.19
111920,5490248.39755,384269600.0,91390480.19
11193,5490248.39755,384269600.0,91390480.19
111930,5490248.39755,384269600.0,91390480.19
11194,5490248.39755,384269600.0,91390480.19
111940,5490248.39755,384269600.0,91390480.19
11199,5490248.39755,384269600.0,91390480.19
111991,1830082.79918,128089866.667,30463493.3967
111992,1830082.79918,128089866.667,30463493.3967
111998,1830082.79918,128089866.667,30463493.3967
112,423807000.0,3266034000.0,3411899000.0
1121,70634500.0,544339000.0,568649833.333
11211,23544833.3333,181446333.333,189549944.444
112111,11772416.6667,90723166.6667,94774972.2222
112112,11772416.6667,90723166.6667,94774972.2222
11212,23544833.3333,181446333.333,189549944.444
112120,23544833.3333,181446333.333,189549944.444
11213,23544833.3333,181446333.333,189549944.444
112130,23544833.3333,181446333.333,189549944.444
1122,70634500.0,544339000.0,568649833.333
11221,70634500.0,544339000.0,568649833.333
112210,70634500.0,544339000.0,568649833.333
1123,70634500.0,544339000.0,568649833.333
11231,14126900.0,108867800.0,113729966.667
112310,14126900.0,108867800.0,113729966.667
11232,14126900.0,108867800.0,113729966.667
112320,14126900.0,108867800.0,113729966.667
11233,14126900.0,108867800.0,113729966.667
