"Page: 101  March 12, 2015"
""
"L.124 Government-Sponsored Enterprises GSEs 1"
"Billions of dollars; amounts outstanding end of period, not seasonally adjusted                                                                                                                                                   "
""
"","2010","2011","2012","2013","2014","2013","2013","2014","2014","2014","2014","",
"Description","","","","","","Q3","Q4","Q1","Q2","Q3","Q4","",
"Government-sponsored enterprises; total financial assets","    6722.4","    6480.2","    6275.1","    6361.3","    6388.0","    6339.7","    6361.3","    6256.9","    6286.3","    6323.0","    6388.0","    1",
"Government-sponsored enterprises; checkable deposits and currency; asset","      63.4","      72.7","      52.6","      81.6","      91.3","      77.4","      81.6","      45.4","      49.3","      89.3","      91.3","    2",
"Government-sponsored enterprises; total time and savings deposits; asset","      26.1","      13.4","       4.3","       5.4","       5.9","       7.5","       5.4","       7.9","       5.9","       5.4","       5.9","    3",
"Government-sponsored enterprises; federal funds and security repurchase agreements; asset","     151.2","     112.3","     150.8","     152.3","     136.6","     133.4","     152.3","     127.3","     134.3","     110.9","     136.6","    4",
"Government-sponsored enterprises; credit market instruments; asset","    6333.1","    6133.4","    5914.8","    5956.4","    5999.3","    5954.6","    5956.4","    5924.2","    5945.4","    5968.1","    5999.3","    5",
"Government-sponsored enterprises; commercial paper; asset","       9.9","       6.5","       3.4","       4.4","       6.3","       5.0","       4.4","       4.8","       5.7","       6.0","       6.3","    6",
"Government-sponsored enterprises; Treasury securities; asset","      82.6","     100.2","      69.0","      59.1","      65.4","      82.6","      59.1","      65.2","      64.5","      65.0","      65.4","    7",
"Government-sponsored enterprises; agency- and GSE-backed securities; asset","     377.0","     358.9","     310.6","     287.9","     282.8","     294.7","     287.9","     283.6","     285.6","     290.3","     282.8","    8",
"Government-sponsored enterprises; municipal securities and loans and Sallie Mae public academic facilities financing and Sallie Mae public warehousing advances; asset","      24.9","      21.0","      17.0","      13.4","      10.6","      13.8","      13.4","      12.7","      12.2","      11.4","      10.6","    9",
"Government-sponsored enterprises; corporate and foreign bonds; asset","     266.5","     235.7","     185.7","     126.3","      97.4","     139.1","     126.3","     120.1","     109.4","     101.4","      97.4","   10",
"Government-sponsored enterprises; FHLB, Farm Credit System, and Sallie Mae loans; asset","     551.3","     487.0","     505.7","     587.5","     668.1","     547.3","     587.5","     576.9","     628.0","     639.1","     668.1","   11",
