Codes:,Interest Paid,Land,Capital Stock,Cost of Treasury Stock,Depreciable Assets,Earnings (rtnd appr),Earnings (rtnd unappr.),Accumulated Depreciation,Inventories,Additional paid-in Capital
1,1632159026.0,879906217.0,5784046973.0,4227276623.0,17258727143.0,511882457.0,5374558624.0,8044664925.0,2489592926.0,48974839934.0
11,2616245.46542,23011717.9988,11008311.6853,4400168.0611,112742123.198,533560.466199,21770947.1829,81627211.1434,13118204.0545,24505492.1356
111,2395867.23341,23904820.6358,10032068.9243,4497165.01179,92404319.1964,430061.537123,2133229.45198,65686303.6127,11391978.2478,21858888.3079
1111,479173.446682,4780964.12717,2006413.78485,899433.002358,18480863.8393,86012.3074246,426645.890395,13137260.7225,2278395.64956,4371777.66159
11111,68453.349526,682994.87531,286630.540693,128490.428908,2640123.40561,12287.4724892,60949.4129136,1876751.53179,325485.092794,624539.665941
111110,68453.349526,682994.87531,286630.540693,128490.428908,2640123.40561,12287.4724892,60949.4129136,1876751.53179,325485.092794,624539.665941
11112,68453.349526,682994.87531,286630.540693,128490.428908,2640123.40561,12287.4724892,60949.4129136,1876751.53179,325485.092794,624539.665941
111120,68453.349526,682994.87531,286630.540693,128490.428908,2640123.40561,12287.4724892,60949.4129136,1876751.53179,325485.092794,624539.665941
11113,68453.349526,682994.87531,286630.540693,128490.428908,2640123.40561,12287.4724892,60949.4129136,1876751.53179,325485.092794,624539.665941
111130,68453.349526,682994.87531,286630.540693,128490.428908,2640123.40561,12287.4724892,60949.4129136,1876751.53179,325485.092794,624539.665941
11114,68453.349526,682994.87531,286630.540693,128490.428908,2640123.40561,12287.4724892,60949.4129136,1876751.53179,325485.092794,624539.665941
111140,68453.349526,682994.87531,286630.540693,128490.428908,2640123.40561,12287.4724892,60949.4129136,1876751.53179,325485.092794,624539.665941
11115,68453.349526,682994.87531,286630.540693,128490.428908,2640123.40561,12287.4724892,60949.4129136,1876751.53179,325485.092794,624539.665941
111150,68453.349526,682994.87531,286630.540693,128490.428908,2640123.40561,12287.4724892,60949.4129136,1876751.53179,325485.092794,624539.665941
11116,68453.349526,682994.87531,286630.540693,128490.428908,2640123.40561,12287.4724892,60949.4129136,1876751.53179,325485.092794,624539.665941
111160,68453.349526,682994.87531,286630.540693,128490.428908,2640123.40561,12287.4724892,60949.4129136,1876751.53179,325485.092794,624539.665941
11119,68453.349526,682994.87531,286630.540693,128490.428908,2640123.40561,12287.4724892,60949.4129136,1876751.53179,325485.092794,624539.665941
111191,34226.674763,341497.437655,143315.270347,64245.2144542,1320061.70281,6143.73624462,30474.7064568,938375.765895,162742.546397,312269.832971
111199,34226.674763,341497.437655,143315.270347,64245.2144542,1320061.70281,6143.73624462,30474.7064568,938375.765895,162742.546397,312269.832971
1112,479173.446682,4780964.12717,2006413.78485,899433.002358,18480863.8393,86012.3074246,426645.890395,13137260.7225,2278395.64956,4371777.66159
11121,479173.446682,4780964.12717,2006413.78485,899433.002358,18480863.8393,86012.3074246,426645.890395,13137260.7225,2278395.64956,4371777.66159
111211,239586.723341,2390482.06358,1003206.89243,449716.501179,9240431.91964,43006.1537123,213322.945198,6568630.36127,1139197.82478,2185888.83079
111219,239586.723341,2390482.06358,1003206.89243,449716.501179,9240431.91964,43006.1537123,213322.945198,6568630.36127,1139197.82478,2185888.83079
1113,479173.446682,4780964.12717,2006413.78485,899433.002358,18480863.8393,86012.3074246,426645.890395,13137260.7225,2278395.64956,4371777.66159
11131,159724.482227,1593654.70906,668804.594951,299811.000786,6160287.94643,28670.7691415,142215.296798,4379086.90751,759465.216519,1457259.22053
111310,159724.482227,1593654.70906,668804.594951,299811.000786,6160287.94643,28670.7691415,142215.296798,4379086.90751,759465.216519,1457259.22053
11132,159724.482227,1593654.70906,668804.594951,299811.000786,6160287.94643,28670.7691415,142215.296798,4379086.90751,759465.216519,1457259.22053
111320,159724.482227,1593654.70906,668804.594951,299811.000786,6160287.94643,28670.7691415,142215.296798,4379086.90751,759465.216519,1457259.22053
11133,159724.482227,1593654.70906,668804.594951,299811.000786,6160287.94643,28670.7691415,142215.296798,4379086.90751,759465.216519,1457259.22053
111331,22817.7831753,227664.958437,95543.5135645,42830.1429694,880041.135204,4095.82416308,20316.4709712,625583.84393,108495.030931,208179.888647
111332,22817.7831753,227664.958437,95543.5135645,42830.1429694,880041.135204,4095.82416308,20316.4709712,625583.84393,108495.030931,208179.888647
111333,22817.7831753,227664.958437,95543.5135645,42830.1429694,880041.135204,4095.82416308,20316.4709712,625583.84393,108495.030931,208179.888647
111334,22817.7831753,227664.958437,95543.5135645,42830.1429694,880041.135204,4095.82416308,20316.4709712,625583.84393,108495.030931,208179.888647
111335,22817.7831753,227664.958437,95543.5135645,42830.1429694,880041.135204,4095.82416308,20316.4709712,625583.84393,108495.030931,208179.888647
111336,22817.7831753,227664.958437,95543.5135645,42830.1429694,880041.135204,4095.82416308,20316.4709712,625583.84393,108495.030931,208179.888647
111339,22817.7831753,227664.958437,95543.5135645,42830.1429694,880041.135204,4095.82416308,20316.4709712,625583.84393,108495.030931,208179.888647
1114,479173.446682,4780964.12717,2006413.78485,899433.002358,18480863.8393,86012.3074246,426645.890395,13137260.7225,2278395.64956,4371777.66159
11141,239586.723341,2390482.06358,1003206.89243,449716.501179,9240431.91964,43006.1537123,213322.945198,6568630.36127,1139197.82478,2185888.83079
111411,119793.36167,1195241.03179,501603.446213,224858.25059,4620215.95982,21503.0768562,106661.472599,3284315.18063,569598.912389,1092944.4154
111419,119793.36167,1195241.03179,501603.446213,224858.25059,4620215.95982,21503.0768562,106661.472599,3284315.18063,569598.912389,1092944.4154
11142,239586.723341,2390482.06358,1003206.89243,449716.501179,9240431.91964,43006.1537123,213322.945198,6568630.36127,1139197.82478,2185888.83079
111421,119793.36167,1195241.03179,501603.446213,224858.25059,4620215.95982,21503.0768562,106661.472599,3284315.18063,569598.912389,1092944.4154
111422,119793.36167,1195241.03179,501603.446213,224858.25059,4620215.95982,21503.0768562,106661.472599,3284315.18063,569598.912389,1092944.4154
1119,479173.446682,4780964.12717,2006413.78485,899433.002358,18480863.8393,86012.3074246,426645.890395,13137260.7225,2278395.64956,4371777.66159
11191,95834.6893364,956192.825434,401282.756971,179886.600472,3696172.76786,17202.4614849,85329.1780791,2627452.14451,455679.129911,874355.532318
111910,95834.6893364,956192.825434,401282.756971,179886.600472,3696172.76786,17202.4614849,85329.1780791,2627452.14451,455679.129911,874355.532318
11192,95834.6893364,956192.825434,401282.756971,179886.600472,3696172.76786,17202.4614849,85329.1780791,2627452.14451,455679.129911,874355.532318
111920,95834.6893364,956192.825434,401282.756971,179886.600472,3696172.76786,17202.4614849,85329.1780791,2627452.14451,455679.129911,874355.532318
