Codes:,Interest Paid,Land,Capital Stock,Cost of Treasury Stock,Depreciable Assets,Earnings (rtnd appr),Earnings (rtnd unappr.),Accumulated Depreciation,Inventories,Additional paid-in Capital
1,88045419.0,254782653.0,181263739.0,129689546.0,3193022409.0,0.0,1285956791.0,1998692600.0,815483690.0,743929961.0
11,2776287.98207,23976454.0717,9212252.01793,3214458.0239,133620694.018,0.0,-9633061.0,96607509.0359,19623939.9701,45977724.0239
111,2206624.27503,19056749.8492,7321999.39694,2554886.65168,106203199.729,0.0,-7656463.01202,76784712.5245,15597323.6888,36543601.5993
1111,441324.855006,3811349.96985,1464399.87939,510977.330336,21240639.9459,0.0,-1531292.6024,15356942.5049,3119464.73777,7308720.31986
11111,63046.407858,544478.567121,209199.98277,72996.7614765,3034377.13513,0.0,-218756.086058,2193848.92927,445637.819681,1044102.90284
111110,63046.407858,544478.567121,209199.98277,72996.7614765,3034377.13513,0.0,-218756.086058,2193848.92927,445637.819681,1044102.90284
11112,63046.407858,544478.567121,209199.98277,72996.7614765,3034377.13513,0.0,-218756.086058,2193848.92927,445637.819681,1044102.90284
111120,63046.407858,544478.567121,209199.98277,72996.7614765,3034377.13513,0.0,-218756.086058,2193848.92927,445637.819681,1044102.90284
11113,63046.407858,544478.567121,209199.98277,72996.7614765,3034377.13513,0.0,-218756.086058,2193848.92927,445637.819681,1044102.90284
111130,63046.407858,544478.567121,209199.98277,72996.7614765,3034377.13513,0.0,-218756.086058,2193848.92927,445637.819681,1044102.90284
11114,63046.407858,544478.567121,209199.98277,72996.7614765,3034377.13513,0.0,-218756.086058,2193848.92927,445637.819681,1044102.90284
111140,63046.407858,544478.567121,209199.98277,72996.7614765,3034377.13513,0.0,-218756.086058,2193848.92927,445637.819681,1044102.90284
11115,63046.407858,544478.567121,209199.98277,72996.7614765,3034377.13513,0.0,-218756.086058,2193848.92927,445637.819681,1044102.90284
111150,63046.407858,544478.567121,209199.98277,72996.7614765,3034377.13513,0.0,-218756.086058,2193848.92927,445637.819681,1044102.90284
11116,63046.407858,544478.567121,209199.98277,72996.7614765,3034377.13513,0.0,-218756.086058,2193848.92927,445637.819681,1044102.90284
111160,63046.407858,544478.567121,209199.98277,72996.7614765,3034377.13513,0.0,-218756.086058,2193848.92927,445637.819681,1044102.90284
11119,63046.407858,544478.567121,209199.98277,72996.7614765,3034377.13513,0.0,-218756.086058,2193848.92927,445637.819681,1044102.90284
111191,31523.203929,272239.283561,104599.991385,36498.3807383,1517188.56756,0.0,-109378.043029,1096924.46464,222818.909841,522051.451419
111199,31523.203929,272239.283561,104599.991385,36498.3807383,1517188.56756,0.0,-109378.043029,1096924.46464,222818.909841,522051.451419
1112,441324.855006,3811349.96985,1464399.87939,510977.330336,21240639.9459,0.0,-1531292.6024,15356942.5049,3119464.73777,7308720.31986
11121,441324.855006,3811349.96985,1464399.87939,510977.330336,21240639.9459,0.0,-1531292.6024,15356942.5049,3119464.73777,7308720.31986
111211,220662.427503,1905674.98492,732199.939694,255488.665168,10620319.9729,0.0,-765646.301202,7678471.25245,1559732.36888,3654360.15993
111219,220662.427503,1905674.98492,732199.939694,255488.665168,10620319.9729,0.0,-765646.301202,7678471.25245,1559732.36888,3654360.15993
1113,441324.855006,3811349.96985,1464399.87939,510977.330336,21240639.9459,0.0,-1531292.6024,15356942.5049,3119464.73777,7308720.31986
11131,147108.285002,1270449.98995,488133.293129,170325.776779,7080213.31529,0.0,-510430.867468,5118980.83497,1039821.57926,2436240.10662
111310,147108.285002,1270449.98995,488133.293129,170325.776779,7080213.31529,0.0,-510430.867468,5118980.83497,1039821.57926,2436240.10662
11132,147108.285002,1270449.98995,488133.293129,170325.776779,7080213.31529,0.0,-510430.867468,5118980.83497,1039821.57926,2436240.10662
111320,147108.285002,1270449.98995,488133.293129,170325.776779,7080213.31529,0.0,-510430.867468,5118980.83497,1039821.57926,2436240.10662
11133,147108.285002,1270449.98995,488133.293129,170325.776779,7080213.31529,0.0,-510430.867468,5118980.83497,1039821.57926,2436240.10662
111331,21015.469286,181492.855707,69733.3275899,24332.2538255,1011459.04504,0.0,-72918.6953526,731282.976424,148545.939894,348034.300946
111332,21015.469286,181492.855707,69733.3275899,24332.2538255,1011459.04504,0.0,-72918.6953526,731282.976424,148545.939894,348034.300946
111333,21015.469286,181492.855707,69733.3275899,24332.2538255,1011459.04504,0.0,-72918.6953526,731282.976424,148545.939894,348034.300946
111334,21015.469286,181492.855707,69733.3275899,24332.2538255,1011459.04504,0.0,-72918.6953526,731282.976424,148545.939894,348034.300946
111335,21015.469286,181492.855707,69733.3275899,24332.2538255,1011459.04504,0.0,-72918.6953526,731282.976424,148545.939894,348034.300946
111336,21015.469286,181492.855707,69733.3275899,24332.2538255,1011459.04504,0.0,-72918.6953526,731282.976424,148545.939894,348034.300946
111339,21015.469286,181492.855707,69733.3275899,24332.2538255,1011459.04504,0.0,-72918.6953526,731282.976424,148545.939894,348034.300946
1114,441324.855006,3811349.96985,1464399.87939,510977.330336,21240639.9459,0.0,-1531292.6024,15356942.5049,3119464.73777,7308720.31986
11141,220662.427503,1905674.98492,732199.939694,255488.665168,10620319.9729,0.0,-765646.301202,7678471.25245,1559732.36888,3654360.15993
111411,110331.213752,952837.492462,366099.969847,127744.332584,5310159.98647,0.0,-382823.150601,3839235.62623,779866.184442,1827180.07997
111419,110331.213752,952837.492462,366099.969847,127744.332584,5310159.98647,0.0,-382823.150601,3839235.62623,779866.184442,1827180.07997
11142,220662.427503,1905674.98492,732199.939694,255488.665168,10620319.9729,0.0,-765646.301202,7678471.25245,1559732.36888,3654360.15993
111421,110331.213752,952837.492462,366099.969847,127744.332584,5310159.98647,0.0,-382823.150601,3839235.62623,779866.184442,1827180.07997
111422,110331.213752,952837.492462,366099.969847,127744.332584,5310159.98647,0.0,-382823.150601,3839235.62623,779866.184442,1827180.07997
1119,441324.855006,3811349.96985,1464399.87939,510977.330336,21240639.9459,0.0,-1531292.6024,15356942.5049,3119464.73777,7308720.31986
11191,88264.9710012,762269.99397,292879.975878,102195.466067,4248127.98918,0.0,-306258.520481,3071388.50098,623892.947554,1461744.06397
111910,88264.9710012,762269.99397,292879.975878,102195.466067,4248127.98918,0.0,-306258.520481,3071388.50098,623892.947554,1461744.06397
11192,88264.9710012,762269.99397,292879.975878,102195.466067,4248127.98918,0.0,-306258.520481,3071388.50098,623892.947554,1461744.06397
111920,88264.9710012,762269.99397,292879.975878,102195.466067,4248127.98918,0.0,-306258.520481,3071388.50098,623892.947554,1461744.06397
11193,88264.9710012,762269.99397,292879.975878,102195.466067,4248127.98918,0.0,-306258.520481,3071388.50098,623892.947554,1461744.06397
111930,88264.9710012,762269.99397,292879.975878,102195.466067,4248127.98918,0.0,-306258.520481,3071388.50098,623892.947554,1461744.06397
11194,88264.9710012,762269.99397,292879.975878,102195.466067,4248127.98918,0.0,-306258.520481,3071388.50098,623892.947554,1461744.06397
111940,88264.9710012,762269.99397,292879.975878,102195.466067,4248127.98918,0.0,-306258.520481,3071388.50098,623892.947554,1461744.06397
11199,88264.9710012,762269.99397,292879.975878,102195.466067,4248127.98918,0.0,-306258.520481,3071388.50098,623892.947554,1461744.06397
111991,29421.6570004,254089.99799,97626.6586258,34065.1553557,1416042.66306,0.0,-102086.173494,1023796.16699,207964.315851,487248.021324
111992,29421.6570004,254089.99799,97626.6586258,34065.1553557,1416042.66306,0.0,-102086.173494,1023796.16699,207964.315851,487248.021324
111998,29421.6570004,254089.99799,97626.6586258,34065.1553557,1416042.66306,0.0,-102086.173494,1023796.16699,207964.315851,487248.021324
113,210846.173346,1820900.28991,699627.73978,244123.152244,10147870.8965,0.0,-731586.226851,7336891.46378,1490347.06608,3491794.52282
1131,70282.0577819,606966.763302,233209.246593,81374.3840813,3382623.63215,0.0,-243862.075617,2445630.48793,496782.355359,1163931.50761
11311,70282.0577819,606966.763302,233209.246593,81374.3840813,3382623.63215,0.0,-243862.075617,2445630.48793,496782.355359,1163931.50761
113110,70282.0577819,606966.763302,233209.246593,81374.3840813,3382623.63215,0.0,-243862.075617,2445630.48793,496782.355359,1163931.50761
1132,70282.0577819,606966.763302,233209.246593,81374.3840813,3382623.63215,0.0,-243862.075617,2445630.48793,496782.355359,1163931.50761
11321,70282.0577819,606966.763302,233209.246593,81374.3840813,3382623.63215,0.0,-243862.075617,2445630.48793,496782.355359,1163931.50761
113210,70282.0577819,606966.763302,233209.246593,81374.3840813,3382623.63215,0.0,-243862.075617,2445630.48793,496782.355359,1163931.50761
1133,70282.0577819,606966.763302,233209.246593,81374.3840813,3382623.63215,0.0,-243862.075617,2445630.48793,496782.355359,1163931.50761
11331,70282.0577819,606966.763302,233209.246593,81374.3840813,3382623.63215,0.0,-243862.075617,2445630.48793,496782.355359,1163931.50761
