"Page: 123  March 12, 2015"
""
"L.218 Home Mortgages 1"
"Billions of dollars; amounts outstanding end of period, not seasonally adjusted                                                                                                                                                   "
""
"","2010","2011","2012","2013","2014","2013","2013","2014","2014","2014","2014","",
"Description","","","","","","Q3","Q4","Q1","Q2","Q3","Q4","",
"All sectors; home mortgages; asset","   10446.7","   10203.2","    9980.4","    9884.2","    9862.1","    9913.5","    9884.2","    9851.2","    9842.5","    9856.7","    9862.1","    1",
"Households and nonprofit organizations; home mortgages; liability","    9915.5","    9698.3","    9494.7","    9405.8","    9379.8","    9434.2","    9405.8","    9372.9","    9362.7","    9375.0","    9379.8","    2",
"Nonfinancial corporate business; home mortgages; liability","      13.6","      10.2","       9.7","      10.0","      11.5","       9.8","      10.0","      10.4","      10.9","      11.3","      11.5","    3",
"Nonfinancial noncorporate business; home mortgages; liability","     517.6","     494.8","     476.0","     468.4","     470.8","     469.6","     468.4","     467.9","     468.9","     470.4","     470.8","    4",
"All sectors; home mortgages; asset","   10446.7","   10203.2","    9980.4","    9884.2","    9862.1","    9913.5","    9884.2","    9851.2","    9842.5","    9856.7","    9862.1","    5",
"Households and nonprofit organizations; home mortgages; asset","      75.2","      67.2","      59.2","      51.2","      43.2","      53.2","      51.2","      49.2","      47.2","      45.2","      43.2","    6",
"Nonfinancial corporate business; home mortgages; asset","      16.8","      16.4","      14.9","      13.3","      11.8","      13.7","      13.3","      13.0","      12.6","      12.2","      11.8","    7",
"Nonfinancial noncorporate business; home mortgages; asset","      15.4","      15.5","      15.8","      16.1","      16.7","      16.0","      16.1","      16.2","      16.4","      16.5","      16.7","    8",
"Federal government; home mortgages; asset","      23.9","      24.0","      25.2","      25.6","      26.8","      24.5","      25.6","      25.9","      25.6","      25.9","      26.8","    9",
"State and local governments, excluding employee retirement funds; home mortgages; asset","     105.4","     104.1","     106.4","     108.0","     108.1","     108.0","     108.0","     109.6","     108.6","     107.3","     108.1","   10",
"U.S.-chartered depository institutions; home mortgages, including farm houses; asset","    2615.6","    2538.0","    2509.1","    2394.2","    2401.8","    2414.6","    2394.2","    2382.6","    2404.3","    2402.4","    2401.8","   11",
"Foreign banking offices in the U.S.; home mortgages; asset","       1.1","       1.3","       1.8","       1.4","       2.9","       1.4","       1.4","       1.7","       2.0","       2.5","       2.9","   12",
"Banks in U.S.-affiliated areas; home mortgages; asset","      20.1","      17.8","      20.0","      18.9","      17.4","      19.1","      18.9","      18.4","      18.3","      17.6","      17.4","   13",
"Credit unions; home mortgages; asset","     317.0","     320.5","     327.8","     345.9","     371.8","     340.4","     345.9","     350.4","     357.2","     366.5","     371.8","   14",
"Life insurance companies; home mortgages, including farm houses; asset","       9.0","       9.0","       9.5","      10.2","      11.5","      10.2","      10.2","      10.6","      10.8","      11.1","      11.5","   15",
"Private pension funds; home mortgages; asset","       1.9","       1.6","       1.6","       1.4","       1.2","       1.4","       1.4","       1.3","       1.3","       1.2","       1.2","   16",
"State and local government employee defined benefit retirement funds; home mortgages; asset","       4.3","       4.3","       4.0","       3.1","       4.3","       3.5","       3.1","       4.0","       4.4","       4.2","       4.3","   17",
"Government-sponsored enterprises; home mortgages; asset","    4690.7","    4587.7","    4476.1","    4544.9","    4536.2","    4532.7","    4544.9","    4532.2","    4515.2","    4527.2","    4536.2","   18",
"Agency-and GSE-backed mortgage pools; home mortgages; asset","    1068.8","    1216.8","    1321.8","    1420.6","    1471.7","    1400.2","    1420.6","    1432.0","    1440.7","    1458.8","    1471.7","   19",
"Issuers of asset-backed securities; home mortgages; asset","    1303.0","    1109.5","     928.3","     791.6","     695.9","     821.5","     791.6","     767.6","     742.0","     717.3","     695.9","   20",
"Finance companies; home mortgages; asset","     169.5","     149.7","     132.6","     114.7","     104.6","     122.1","     114.7","     111.5","     109.1","     106.7","     104.6","   21",
"Real estate investment trusts; home mortgages; asset","       9.0","      19.8","      26.5","      23.1","      36.3","      31.1","      23.1","      25.3","      27.0","      34.1","      36.3","   22",
"All sectors; home equity loans; asset","     928.5","     853.5","     769.6","     702.9","     672.5","     715.0","     702.9","     690.6","     683.9","     679.2","     672.5","   23",
"U.S.-chartered depository institutions; home equity loans; asset","     783.3","     723.1","     652.7","     596.2","     568.2","     605.9","     596.2","     585.6","     579.7","     574.3","     568.2","   24",
"Foreign banking offices in the U.S.; home-equity lines of credit; asset","       0.3","       0.3","       0.2","       0.4","       0.4","       0.3","       0.4","       0.4","       0.4","       0.3","       0.4","   25",
"Credit unions; home equity loans; asset","      88.2","      82.2","      75.7","      72.0","      73.5","      72.5","      72.0","      71.4","      71.7","      73.3","      73.5","   26",
"Issuers of asset-backed securities; home equity loans; asset","      22.8","      18.0","      14.5","      11.4","       9.4","      11.8","      11.4","      10.9","      10.4","      10.0","       9.4","   27",
"Finance companies; home equity loans; asset","      33.9","      29.9","      26.5","      22.9","      20.9","      24.4","      22.9","      22.3","      21.8","      21.3","      20.9","   28",
