"Page: 131  March 12, 2015"
""
"L.232 Identified Miscellaneous Financial Claims - Part II"
"Billions of dollars; amounts outstanding end of period, not seasonally adjusted                                                                                                                                                   "
""
"","2010","2011","2012","2013","2014","2013","2013","2014","2014","2014","2014","",
"Description","","","","","","Q3","Q4","Q1","Q2","Q3","Q4","",
"Rest of the world; nonofficial U.S. currencies; liability","       2.7","     102.5","      11.5","       2.9","       4.2","       3.1","       2.9","       3.0","       2.8","       2.9","       4.2","    1",
"Federal government; nonofficial foreign currencies; asset","       2.6","       2.6","       2.6","       2.6","       2.6","       2.6","       2.6","       2.6","       2.6","       2.6","       2.6","    2",
"Monetary authority; nonofficial foreign currencies (swap lines); asset","       0.1","      99.8","       8.9","       0.3","       1.5","       0.5","       0.3","       0.4","       0.1","       0.2","       1.5","    3",
"Federal government; postal savings system deposits; liability","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","    4",
"Federal government; postal savings system deposits; liability","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","    5",
"Government-sponsored enterprises; U.S.-chartered depository institutions deposits at Federal Home Loan Banks; liability","      14.4","      12.6","      13.7","      10.6","       8.8","      10.5","      10.6","      10.4","       9.0","       9.3","       8.8","    6",
"Government-sponsored enterprises; U.S.-chartered depository institutions deposits at Federal Home Loan Banks; liability","      14.4","      12.6","      13.7","      10.6","       8.8","      10.5","      10.6","      10.4","       9.0","       9.3","       8.8","    7",
"Life insurance companies, general accounts; deferred and unpaid life insurance premiums; asset","      24.7","      24.3","      24.9","      27.9","      29.9","      26.8","      27.9","      28.9","      30.2","      29.6","      29.9","    8",
"Life insurance companies, general accounts; deferred and unpaid life insurance premiums; asset","      24.7","      24.3","      24.9","      27.9","      29.9","      26.8","      27.9","      28.9","      30.2","      29.6","      29.9","    9",
"Life insurance companies; insurance reserves, excluding life insurance reserves and pension entitlements; liability","     290.7","     305.5","     303.7","     304.2","     310.5","     305.6","     304.2","     307.9","     311.1","     311.5","     310.5","   10",
"Life insurance companies; health insurance reserves; liability","     209.4","     225.0","     222.6","     222.8","     227.3","     223.8","     222.8","     226.5","     229.5","     228.7","     227.3","   11",
"Life insurance companies; insurance reserve policy dividend accumulation; liability","      39.7","      37.9","      38.3","      38.5","      39.3","      38.2","      38.5","      38.4","      38.9","      39.1","      39.3","   12",
"Life insurance companies, general accounts; policy and contract claims; liability","      41.6","      42.6","      42.8","      42.8","      43.9","      43.5","      42.8","      43.1","      42.7","      43.7","      43.9","   13",
"Life insurance companies; insurance reserves, excluding life insurance reserves and pension entitlements; liability","     290.7","     305.5","     303.7","     304.2","     310.5","     305.6","     304.2","     307.9","     311.1","     311.5","     310.5","   14",
"Property-casualty insurance companies; policy payables; liability","     761.2","     796.4","     802.1","     807.8","     817.8","     808.0","     807.8","     809.3","     817.4","     824.2","     817.8","   15",
