"Page: 110  March 12, 2015"
""
"L.203 Net Interbank Transactions"
"Billions of dollars; amounts outstanding end of period, not seasonally adjusted                                                                                                                                                   "
""
"","2010","2011","2012","2013","2014","2013","2013","2014","2014","2014","2014","",
"Description","","","","","","Q3","Q4","Q1","Q2","Q3","Q4","",
"Financial business; net interbank transactions; liability","    1068.5","    1889.0","    1683.8","    2813.0","    2794.3","    2767.7","    2813.0","    3025.3","    3052.3","    3131.2","    2794.3","    1",
"Monetary authority; net interbank transactions; liability","    1020.8","    1623.1","    1562.1","    2322.7","    2453.7","    2294.6","    2322.7","    2509.1","    2520.8","    2602.5","    2453.7","    2",
"U.S.-chartered depository institutions; net interbank transactions; liability","     428.3","     164.9","      36.7","     227.8","     268.5","     191.0","     227.8","     213.5","     221.4","     323.3","     268.5","    3",
"Foreign banking offices in the U.S.; net interbank transactions; liability","    -347.1","     157.5","     155.6","     330.7","     140.7","     351.6","     330.7","     372.0","     381.2","     272.2","     140.7","    4",
"Banks in U.S.-affiliated areas; net interbank transactions; liability","      -3.3","      -4.6","      -4.9","      -4.7","      -5.3","      -5.0","      -4.7","      -5.5","      -5.8","      -5.2","      -5.3","    5",
"Credit unions; net interbank transactions; liability","     -30.0","     -51.9","     -65.7","     -63.5","     -63.3","     -64.5","     -63.5","     -63.8","     -65.1","     -61.7","     -63.3","    6",
"All sectors; total net interbank transactions; asset","    1043.8","    1860.7","    1663.8","    2736.1","    2827.7","    2734.7","    2736.1","    2975.5","    3013.8","    3117.9","    2827.7","    7",
"Monetary authority; net interbank transactions; asset","      -1.2","      -0.4","      -0.4","      -0.9","      -0.4","      -0.4","      -0.9","      -0.5","      -0.4","      -0.6","      -0.4","    8",
"U.S.-chartered depository institutions; vault cash and reserves at the Federal Reserve; asset","     628.5","     859.5","     869.6","    1326.5","    1519.2","    1284.6","    1326.5","    1376.0","    1404.6","    1475.7","    1519.2","    9",
"Foreign banking offices in the U.S.; vault cash and reserves at the Federal Reserve; asset","     350.8","     711.0","     638.8","     948.1","     888.8","     963.5","     948.1","    1071.1","    1068.7","    1087.8","     888.8","   10",
"Credit unions; depository institution reserves; asset","      41.5","      52.6","      53.8","      48.1","      45.7","      46.4","      48.1","      62.0","      47.5","      39.0","      45.7","   11",
