"Page: 115  March 12, 2015"
""
"L.209 Treasury Securities"
"Billions of dollars; amounts outstanding end of period, not seasonally adjusted                                                                                                                                                   "
""
"","2010","2011","2012","2013","2014","2013","2013","2014","2014","2014","2014","",
"Description","","","","","","Q3","Q4","Q1","Q2","Q3","Q4","",
"Federal government; Treasury securities, including U.S. savings securities; liability","    9361.5","   10428.3","   11568.9","   12328.3","   12995.6","   11956.8","   12328.3","   12590.8","   12544.4","   12755.6","   12995.6","    1",
"Federal government; U.S. savings securities; liability","     188.0","     185.3","     182.5","     179.2","     176.0","     180.0","     179.2","     178.4","     177.7","     176.8","     176.0","    2",
"Federal government; Treasury bills; liability","    1768.9","    1519.5","    1626.5","    1590.6","    1456.7","    1527.9","    1590.6","    1650.2","    1386.4","    1409.6","    1456.7","    3",
"Federal government; Other Treasury securities, excluding U.S. savings securities and Treasury bills, and including special U.S. Treasury securities held by FHLB; liability","    7404.6","    8723.6","    9759.9","   10558.5","   11362.9","   10248.8","   10558.5","   10762.2","   10980.3","   11169.2","   11362.9","    4",
"All sectors; Treasury securities, including U.S. savings bonds; asset","    9361.5","   10428.3","   11568.9","   12328.3","   12995.6","   11956.8","   12328.3","   12590.8","   12544.4","   12755.6","   12995.6","    5",
"Households and nonprofit organizations; Treasury securities, including U.S. savings bonds; asset","    1124.4","     709.2","     937.1","     953.7","     705.9","     985.6","     953.7","     904.9","     724.4","     727.5","     705.9","    6",
"Federal government; U.S. savings securities; liability","     188.0","     185.3","     182.5","     179.2","     176.0","     180.0","     179.2","     178.4","     177.7","     176.8","     176.0","    7",
"Households and nonprofit organizations; Treasury securities, excluding U.S. savings bonds; asset","     936.4","     523.9","     754.6","     774.4","     529.9","     805.6","     774.4","     726.5","     546.7","     550.7","     529.9","    8",
"Nonfinancial corporate business; Treasury securities; asset","      48.0","      43.0","      39.4","      39.9","      40.1","      38.2","      39.9","      38.1","      37.9","      37.1","      40.1","    9",
"Nonfinancial noncorporate business; total U.S. government securities; asset","      48.1","      48.6","      49.3","      50.3","      52.2","      50.0","      50.3","      50.6","      51.2","      51.6","      52.2","   10",
"State and local governments, excluding employee retirement funds; Treasury securities, including SLGS; asset","     595.6","     559.1","     599.1","     584.1","     601.2","     582.7","     584.1","     584.1","     588.3","     581.8","     601.2","   11",
