"Page: 133  March 12, 2015"
""
"B.101 Balance Sheet of Households and Nonprofit Organizations 1"
"Billions of dollars; amounts outstanding end of period, not seasonally adjusted                                                                                                                                                   "
""
"","2010","2011","2012","2013","2014","2013","2013","2014","2014","2014","2014","",
"Description","","","","","","Q3","Q4","Q1","Q2","Q3","Q4","",
"Households and nonprofit organizations; total assets","   76230.7","   77241.5","   83151.7","   92635.6","   97066.7","   89947.6","   92635.6","   93793.4","   95350.2","   95460.3","   97066.7","    1",
"Households and nonprofit organizations; nonfinancial assets","   23347.4","   23375.1","   25075.8","   27688.5","   29074.5","   27164.3","   27688.5","   28107.3","   28381.6","   28684.3","   29074.5","    2",
"Households and nonprofit organizations; real estate at market value","   18378.9","   18249.5","   19818.3","   22315.2","   23538.6","   21812.7","   22315.2","   22704.4","   22929.1","   23182.8","   23538.6","    3",
"Households; owner-occupied real estate including vacant land and mobile homes at market value","   16404.5","   16088.7","   17512.7","   19647.1","   20632.6","   19211.6","   19647.1","   20034.5","   20179.5","   20367.4","   20632.6","    4",
"Nonprofit organizations; real estate at market value","    1974.4","    2160.8","    2305.6","    2668.1","    2906.0","    2601.1","    2668.1","    2669.8","    2749.6","    2815.4","    2906.0","    5",
"Nonprofit organizations; equipment, current cost basis","     280.1","     293.0","     299.7","     306.9","     318.4","     305.2","     306.9","     309.2","     312.1","     315.3","     318.4","    6",
"Nonprofit organizations; nonresidential intellectual property products, current cost basis","     101.8","     109.4","     117.7","     124.1","     130.9","     122.3","     124.1","     126.1","     127.9","     129.4","     130.9","    7",
"Households and nonprofit organizations; consumer durable goods, current cost basis","    4586.7","    4723.3","    4840.1","    4942.2","    5086.6","    4924.1","    4942.2","    4967.6","    5012.5","    5056.9","    5086.6","    8",
"Households and nonprofit organizations; total financial assets","   52883.3","   53866.3","   58075.8","   64947.2","   67992.2","   62783.3","   64947.2","   65686.1","   66968.6","   66776.0","   67992.2","    9",
"Households and nonprofit organizations; total currency and deposits including money market fund shares; asset","    8071.1","    8747.6","    9275.4","    9655.3","   10231.4","    9423.8","    9655.3","    9822.3","    9848.7","    9989.3","   10231.4","   10",
"Households and nonprofit organizations; private foreign deposits; asset","      67.3","      57.4","      49.7","      52.5","      53.4","      56.7","      52.5","      51.5","      50.3","      53.5","      53.4","   11",
