"Page: 138  March 12, 2015"
""
"R.104 Change in Net Worth of Nonfinancial Noncorporate Business"
"Billions of dollars; amounts outstanding end of period, not seasonally adjusted                                                                                                                                                   "
""
"","2010","2011","2012","2013","2014","2013","2013","2014","2014","2014","2014","",
"Description","","","","","","Q3","Q4","Q1","Q2","Q3","Q4","",
"Nonfinancial noncorporate business; proprietors' equity in noncorporate business (net worth)","     632.6","     478.7","     658.7","     973.5","     334.3","     291.7","     199.0","      58.0","      47.2","     108.4","     120.7","    1",
"Nonfinancial noncorporate business; net capital transfers paid","      -7.8","      -1.6","      -4.9","      -0.0","      -0.0","      -0.0","      -0.0","      -0.0","       0.0","       0.0","       0.0","    2",
"Nonfinancial noncorporate business; net investment","     170.7","     -52.9","      -2.7","     -42.7","      -9.7","     -14.7","     -13.6","       3.4","     -11.6","       7.0","      -8.4","    3",
"Nonfinancial noncorporate business; net physical investment","     -21.7","      16.7","      32.0","      56.2","      72.8","      16.6","      16.8","      14.0","      18.2","      20.2","      20.4","    4",
"Nonfinancial noncorporate business; total capital expenditures","     245.1","     281.7","     303.7","     337.9","     367.4","      87.4","      88.4","      86.7","      91.4","      94.2","      95.0","    5",
"Nonfinancial noncorporate business; consumption of fixed capital, structures, equipment, and intellectual property products, current cost basis (gross saving) (NIPA basis)","     266.9","     265.0","     271.8","     281.7","     294.6","      70.8","      71.7","      72.7","      73.3","      74.0","      74.6","    6",
"Nonfinancial noncorporate business; net lending (+) or borrowing (-) (financial account)","      29.5","     -15.1","     -27.0","     -56.2","     -72.8","     -16.6","     -16.8","     -14.0","     -18.2","     -20.2","     -20.4","    7",
"Nonfinancial noncorporate business; total financial assets","     152.0","      16.6","      73.9","      37.2","     156.5","      12.5","      15.0","      24.0","      45.0","      34.3","      53.1","    8",
"Nonfinancial noncorporate business; total liabilities","     122.4","      31.7","     100.9","      93.4","     229.2","      29.1","      31.7","      38.0","      63.2","      54.5","      73.5","    9",
"Nonfinancial noncorporate business; proprietors' equity in noncorporate business (net worth)","     163.0","     -54.5","      -7.6","     -42.7","      -9.7","     -14.7","     -13.6","       3.4","     -11.6","       7.0","      -8.4","   10",
"Nonfinancial noncorporate business; real estate at market value","     387.5","     478.4","     646.1","    1023.6","     510.4","     309.7","     220.6","      75.3","      97.0","     155.4","     182.7","   11",
"Nonfinancial noncorporate business; residential real estate at market value","     156.3","     203.6","     388.7","     548.8","     254.2","     162.5","     128.0","      74.8","       5.1","      87.4","      86.9","   12",
"Nonfinancial noncorporate business; nonresidential real estate at market value","     231.2","     274.9","     257.4","     474.7","     256.2","     147.2","      92.6","       0.5","      91.9","      68.0","      95.8","   13",
"Nonfinancial noncorporate business; holding gains on assets at current cost","      59.3","      45.7","      17.0","     -11.8","    -168.9","      -4.5","      -8.8","     -21.4","     -38.8","     -54.6","     -54.1","   14",
"Nonfinancial noncorporate business; residential equipment, current cost basis","      -2.3","       1.0","      -0.4","      -2.1","      -0.7","      -0.6","      -0.4","       0.3","      -0.8","       0.1","      -0.3","   15",
"Nonfinancial noncorporate business; nonresidential equipment, current cost basis","      23.9","      15.6","       9.1","       6.4","     -62.5","       3.3","      -4.9","      -9.4","     -14.1","     -19.8","     -19.2","   16",
"Nonfinancial noncorporate business; nonresidential intellectual property products, current cost basis","       7.2","       2.3","       4.0","       2.6","     -96.9","       0.8","      -1.7","     -18.3","     -21.2","     -25.9","     -31.6","   17",
"Nonfinancial noncorporate business; inventories","      30.7","      27.6","       4.1","     -18.5","      -8.8","      -7.9","      -1.6","       6.0","      -2.8","      -9.0","      -3.0","   18",
"Nonfinancial noncorporate business; U.S. real estate owned by foreigners; liability","       0.2","       0.8","      -0.1","       0.2","       0.0","       0.0","       0.2","       0.0","       0.0","       0.0","       0.0","   19",
"Nonfinancial noncorporate business; other volume changes","      22.9","       9.0","       3.2","       4.5","       2.5","       1.1","       0.8","       0.7","       0.7","       0.6","       0.6","   20",
"Nonfinancial noncorporate business; proprietors' equity in noncorporate business (net worth)","    6872.6","    7351.2","    8010.0","    8983.4","    9317.8","    8784.5","    8983.4","    9041.4","    9088.6","    9197.0","    9317.8","   21",
