"Page: 109  March 12, 2015"
""
"L.200 U.S. Official Reserve Assets and SDR Allocations 1"
"Billions of dollars; amounts outstanding end of period, not seasonally adjusted                                                                                                                                                   "
""
"","2010","2011","2012","2013","2014","2013","2013","2014","2014","2014","2014","",
"Description","","","","","","Q3","Q4","Q1","Q2","Q3","Q4","",
"All sectors; U.S. official reserve assets; liability","     175.5","     190.9","     193.2","     187.7","     172.7","     190.7","     187.7","     187.7","     188.6","     178.2","     172.7","    1",
"Federal government; special drawing rights (SDRs) allocations; liability","      54.4","      54.2","      54.3","      54.4","      51.2","      54.2","      54.4","      54.6","      54.6","      52.4","      51.2","    2",
"Rest of the world; U.S. official reserve assets; liability","     121.1","     136.7","     138.9","     133.4","     121.5","     136.5","     133.4","     133.1","     134.0","     125.9","     121.5","    3",
"Federal government; special drawing rights (SDRs) holdings; asset","      56.8","      55.0","      55.1","      55.2","      51.9","      55.0","      55.2","      55.4","      55.4","      53.1","      51.9","    4",
"Rest of the world; reserve position in IMF (net); liability","      12.5","      30.1","      34.2","      30.8","      25.2","      33.5","      30.8","      29.8","      30.5","      28.4","      25.2","    5",
"Rest of the world; other U.S. reserve assets (total); liability","      51.8","      51.6","      49.7","      47.4","      44.4","      48.1","      47.4","      47.9","      48.0","      44.4","      44.4","    6",
"All sectors; U.S. official reserve assets","     186.6","     201.9","     204.3","     198.8","     183.7","     201.8","     198.8","     198.7","     199.6","     189.3","     183.7","    7",
"Federal government; U.S. official reserve assets","      95.1","     110.9","     114.2","     109.8","     100.6","     112.6","     109.8","     109.3","     110.1","     103.7","     100.6","    8",
"Federal government; monetary gold; asset","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","    9",
"Federal government; special drawing rights (SDRs) holdings; asset","      56.8","      55.0","      55.1","      55.2","      51.9","      55.0","      55.2","      55.4","      55.4","      53.1","      51.9","   10",
"Federal government; reserve position in IMF (net); asset","      12.6","      30.3","      34.4","      31.0","      25.3","      33.7","      31.0","      30.1","      30.8","      28.5","      25.3","   11",
"Federal government; other reserves; asset","      25.7","      25.6","      24.7","      23.6","      23.4","      24.0","      23.6","      23.8","      23.9","      22.1","      23.4","   12",
"Federal government; special drawing rights (SDRs) allocations; liability","      54.4","      54.2","      54.3","      54.4","      51.2","      54.2","      54.4","      54.6","      54.6","      52.4","      51.2","   13",
"Monetary authority; U.S. official reserve assets","      37.0","      36.8","      35.8","      34.6","      32.0","      35.0","      34.6","      34.8","      34.9","      33.2","      32.0","   14",
"Monetary authority; monetary gold; asset","      11.0","      11.0","      11.0","      11.0","      11.0","      11.0","      11.0","      11.0","      11.0","      11.0","      11.0","   15",
"Monetary authority; reserve position in IMF (net); asset","      -0.1","      -0.3","      -0.2","      -0.2","      -0.1","      -0.2","      -0.2","      -0.2","      -0.2","      -0.1","      -0.1","   16",
"Monetary authority; other reserves; asset","      26.1","      26.0","      25.0","      23.8","      21.1","      24.2","      23.8","      24.0","      24.1","      22.3","      21.1","   17",
"Instrument discrepancies; U.S. official reserve assets","     -11.0","     -11.0","     -11.0","     -11.0","     -11.0","     -11.0","     -11.0","     -11.0","     -11.0","     -11.0","     -11.0","   18",
