Codes:,Financial_Income
1,1.36497e+13
11,149692476061.0
111,29938495212.2
1111,5987699042.44
11111,855385577.492
111110,855385577.492
11112,855385577.492
111120,855385577.492
11113,855385577.492
111130,855385577.492
11114,855385577.492
111140,855385577.492
11115,855385577.492
111150,855385577.492
11116,855385577.492
111160,855385577.492
11119,855385577.492
111191,427692788.746
111199,427692788.746
1112,5987699042.44
11121,5987699042.44
111211,2993849521.22
111219,2993849521.22
1113,5987699042.44
11131,1995899680.81
111310,1995899680.81
11132,1995899680.81
111320,1995899680.81
11133,1995899680.81
111331,285128525.831
111332,285128525.831
111333,285128525.831
111334,285128525.831
111335,285128525.831
111336,285128525.831
111339,285128525.831
1114,5987699042.44
11141,2993849521.22
111411,1496924760.61
111419,1496924760.61
11142,2993849521.22
111421,1496924760.61
111422,1496924760.61
1119,5987699042.44
11191,1197539808.49
111910,1197539808.49
11192,1197539808.49
111920,1197539808.49
11193,1197539808.49
111930,1197539808.49
11194,1197539808.49
111940,1197539808.49
11199,1197539808.49
111991,399179936.163
111992,399179936.163
111998,399179936.163
112,29938495212.2
1121,4989749202.04
11211,1663249734.01
112111,831624867.006
112112,831624867.006
11212,1663249734.01
112120,1663249734.01
11213,1663249734.01
112130,1663249734.01
1122,4989749202.04
11221,4989749202.04
112210,4989749202.04
1123,4989749202.04
11231,997949840.407
112310,997949840.407
11232,997949840.407
112320,997949840.407
11233,997949840.407
112330,997949840.407
11234,997949840.407
112340,997949840.407
11239,997949840.407
112390,997949840.407
1124,4989749202.04
11241,2494874601.02
112410,2494874601.02
11242,2494874601.02
112420,2494874601.02
1125,4989749202.04
11251,4989749202.04
112511,1663249734.01
112512,1663249734.01
112519,1663249734.01
1129,4989749202.04
11291,1247437300.51
112910,1247437300.51
11292,1247437300.51
112920,1247437300.51
11293,1247437300.51
112930,1247437300.51
11299,1247437300.51
112990,1247437300.51
113,29938495212.2
1131,9979498404.07
11311,9979498404.07
113110,9979498404.07
1132,9979498404.07
