"Page: 83  March 12, 2015"
""
"L.107 State and Local Governments 1"
"Billions of dollars; amounts outstanding end of period, not seasonally adjusted                                                                                                                                                   "
""
"","2010","2011","2012","2013","2014","2013","2013","2014","2014","2014","2014","",
"Description","","","","","","Q3","Q4","Q1","Q2","Q3","Q4","",
"State and local governments, excluding employee retirement funds; total financial assets","    2772.2","    2736.5","    2843.0","    2897.2","    2967.0","    2875.3","    2897.2","    2930.6","    2921.2","    2907.0","    2967.0","    1",
"State and local governments, excluding employee retirement funds; checkable deposits and currency; asset","     104.6","     121.2","     117.2","     123.9","     141.0","     115.0","     123.9","     121.3","     120.9","     123.0","     141.0","    2",
"State and local governments, excluding employee retirement funds; total time and savings deposits; asset","     240.6","     256.2","     289.5","     301.9","     322.6","     299.0","     301.9","     313.9","     311.1","     317.4","     322.6","    3",
"State and local governments, excluding employee retirement funds; money market mutual fund shares; asset","     151.1","     153.0","     158.7","     163.3","     165.8","     162.8","     163.3","     166.3","     165.4","     164.0","     165.8","    4",
"State and local governments, excluding employee retirement funds; security repurchase agreements; asset","     125.6","     120.8","     125.8","     129.9","     132.3","     129.4","     129.9","     132.4","     131.8","     130.8","     132.3","    5",
"State and local governments, excluding employee retirement funds; credit market instruments; asset","    1598.0","    1531.6","    1564.1","    1533.3","    1521.5","    1540.0","    1533.3","    1539.8","    1528.0","    1503.1","    1521.5","    6",
"State and local governments, excluding employee retirement funds; commercial paper; asset","     102.7","      90.4","      83.4","      75.4","      66.3","      77.8","      75.4","      74.2","      71.3","      68.2","      66.3","    7",
"State and local governments, excluding employee retirement funds; Treasury securities, including SLGS; asset","     595.6","     559.1","     599.1","     584.1","     601.2","     582.7","     584.1","     584.1","     588.3","     581.8","     601.2","    8",
"State and local governments, excluding employee retirement funds; agency- and GSE-backed securities; asset","     516.7","     503.8","     494.7","     481.3","     461.2","     486.8","     481.3","     483.2","     473.7","     463.1","     461.2","    9",
"State and local governments, excluding employee retirement funds; municipal securities and loans; asset","      12.9","      13.1","      13.4","      13.6","      13.6","      13.6","      13.6","      13.8","      13.7","      13.5","      13.6","   10",
"State and local governments, excluding employee retirement funds; corporate and foreign bonds; asset","     165.5","     163.1","     166.7","     169.2","     169.3","     169.3","     169.2","     171.7","     170.1","     168.1","     169.3","   11",
"State and local governments, excluding employee retirement funds; total mortgages; asset","     204.6","     202.1","     206.7","     209.7","     209.9","     209.8","     209.7","     212.8","     210.9","     208.4","     209.9","   12",
"State and local governments, excluding employee retirement funds; corporate equities; asset","     126.8","     124.6","     138.8","     165.2","     174.4","     156.7","     165.2","     167.9","     171.1","     169.6","     174.4","   13",
"State and local governments, excluding employee retirement funds; mutual fund shares; asset","      58.7","      59.0","      66.3","      80.0","      84.7","      75.5","      80.0","      81.4","      83.0","      82.2","      84.7","   14",
"State and local governments, excluding employee retirement funds; trade receivables; asset","     152.2","     154.5","     159.1","     167.5","     174.3","     166.2","     167.5","     168.0","     171.1","     172.5","     174.3","   15",
"State and local governments, excluding employee retirement funds; taxes receivable; asset","     117.8","     120.0","     121.3","     123.8","     137.2","     123.4","     123.8","     128.6","     127.6","     133.3","     137.2","   16",
"State and local governments, excluding employee retirement funds; unidentified miscellaneous assets","      96.8","      95.6","     102.3","     108.3","     113.0","     107.3","     108.3","     111.1","     111.2","     111.1","     113.0","   17",
"State and local governments, excluding employee retirement funds; total liabilities","    5050.4","    5341.0","    5348.4","    4931.0","    5044.2","    5082.0","    4931.0","    5003.9","    4914.0","    5002.4","    5044.2","   18",
"State and local governments, excluding employee retirement funds; credit market instruments; liability","    3038.0","    2985.3","    2980.0","    2941.1","    2927.5","    2953.1","    2941.1","    2931.8","    2934.4","    2908.3","    2927.5","   19",
"State and local governments, excluding employee retirement funds; municipal securities and loans; liability","    3023.6","    2970.0","    2964.3","    2924.9","    2910.9","    2937.0","    2924.9","    2915.5","    2918.0","    2891.8","    2910.9","   20",
"State and local governments, excluding employee retirement funds; short-term municipal securities and loans; liability","      63.0","      52.3","      56.1","      45.3","      38.6","      46.0","      45.3","      43.0","      33.6","      37.0","      38.6","   21",
"State and local governments, excluding employee retirement funds; long-term municipal securities and loans; liability","    2960.6","    2917.6","    2908.2","    2879.6","    2872.3","    2891.0","    2879.6","    2872.5","    2884.4","    2854.8","    2872.3","   22",
"State and local governments, excluding employee retirement funds; U.S. government loans; liability","      14.4","      15.3","      15.7","      16.2","      16.6","      16.1","      16.2","      16.3","      16.4","      16.5","      16.6","   23",
"State and local governments, excluding employee retirement funds; trade payables; liability","     669.0","     707.4","     746.2","     785.8","     826.6","     775.8","     785.8","     795.8","     806.0","     816.3","     826.6","   24",
"State and local government employee defined benefit retirement funds; claims of pension fund on sponsor; asset","    1343.4","    1648.3","    1622.2","    1204.1","    1290.2","    1353.1","    1204.1","    1276.3","    1173.6","    1277.9","    1290.2","   25",
