"Page: 103  March 12, 2015"
""
"L.128 Real Estate Investment Trusts REITs 1"
"Billions of dollars; amounts outstanding end of period, not seasonally adjusted                                                                                                                                                   "
""
"","2010","2011","2012","2013","2014","2013","2013","2014","2014","2014","2014","",
"Description","","","","","","Q3","Q4","Q1","Q2","Q3","Q4","",
"Real estate investment trusts; total financial assets","     302.4","     433.4","     594.2","     644.2","     705.8","     687.9","     644.2","     669.0","     693.7","     692.2","     705.8","    1",
"Real estate investment trusts; checkable deposits and currency; asset","      25.1","      27.6","      35.3","      34.0","      36.4","      39.9","      34.0","      32.9","      37.5","      37.4","      36.4","    2",
"Real estate investment trusts; credit market instruments; asset","     211.1","     331.2","     458.5","     497.6","     533.3","     546.0","     497.6","     513.7","     522.5","     519.7","     533.3","    3",
"Mortgage real estate investment trusts; agency- and GSE-backed securities; asset","     143.4","     248.1","     357.6","     261.9","     268.4","     306.9","     261.9","     253.1","     264.1","     258.8","     268.4","    4",
"Real estate investment trusts; corporate and foreign bonds; asset","      23.2","      27.0","      36.5","      36.3","      37.8","      40.0","      36.3","      37.8","      37.2","      36.9","      37.8","    5",
"Real estate investment trusts; total mortgages; asset","      44.6","      56.1","      64.5","     199.3","     227.2","     199.1","     199.3","     222.8","     221.3","     224.0","     227.2","    6",
"Real estate investment trusts; home mortgages; asset","       9.0","      19.8","      26.5","      23.1","      36.3","      31.1","      23.1","      25.3","      27.0","      34.1","      36.3","    7",
"Real estate investment trusts; multifamily residential mortgages; asset","       2.0","       1.7","       1.9","       2.4","       3.6","       2.7","       2.4","       2.2","       2.2","       3.3","       3.6","    8",
"Real estate investment trusts; commercial mortgages; asset","      33.7","      34.6","      36.1","     173.9","     187.2","     165.3","     173.9","     195.3","     192.0","     186.6","     187.2","    9",
"Real estate investment trusts; unidentified miscellaneous assets","      66.1","      74.7","     100.4","     112.6","     136.1","     102.0","     112.6","     122.4","     133.6","     135.2","     136.1","   10",
"Real estate investment trusts; total liabilities","     523.9","     654.4","     817.8","     907.9","     983.2","     917.4","     907.9","     936.2","     962.2","     961.9","     983.2","   11",
"Mortgage real estate investment trusts; security repurchase agreements; liability","     120.4","     218.1","     320.6","     254.0","     259.9","     288.8","     254.0","     240.6","     249.9","     249.4","     259.9","   12",
"Real estate investment trusts; credit market instruments; liability","     339.9","     365.5","     401.0","     579.4","     633.9","     550.2","     579.4","     614.4","     626.8","     627.0","     633.9","   13",
"Mortgage real estate investment trusts; commercial paper; liability","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","   14",
"Real estate investment trusts; corporate and foreign bonds; liability","     145.4","     152.9","     179.6","     353.2","     399.4","     325.4","     353.2","     382.1","     395.9","     395.6","     399.4","   15",
"Real estate investment trusts; depository institution loans n.e.c.; liability","      18.4","      23.0","      27.0","      24.0","      24.7","      27.6","      24.0","      27.0","      24.0","      24.5","      24.7","   16",
"Real estate investment trusts; total mortgages; liability","     176.1","     189.5","     194.4","     202.2","     209.8","     197.1","     202.2","     205.3","     206.9","     206.9","     209.8","   17",
"Real estate investment trusts; unidentified miscellaneous liabilities","      63.7","      70.8","      96.3","      74.6","      89.3","      78.5","      74.6","      81.1","      85.5","      85.5","      89.3","   18",
"Real estate investment trusts; securitized assets","      18.1","      14.3","      15.6","     155.2","     162.7","     147.1","     155.2","     175.6","     169.7","     168.4","     162.7","   19",
"Mortgage real estate investment trusts; securitized agency- and GSE-backed securities; asset","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","   20",
"Mortgage real estate investment trusts; securitized home mortgages; asset","       7.2","       6.5","      10.2","      14.2","      14.5","      12.8","      14.2","      14.5","      14.2","      15.1","      14.5","   21",
"Mortgage real estate investment trusts; securitized multifamily residential mortgages; asset","       0.4","       0.3","       0.3","       0.3","       0.3","       0.3","       0.3","       0.3","       0.3","       0.3","       0.3","   22",
"Mortgage real estate investment trusts; securitized commercial mortgages; asset","      10.6","       7.5","       5.2","     140.7","     147.9","     134.0","     140.7","     160.8","     155.2","     153.0","     147.9","   23",
