Codes:,Depreciable assets (Net),Accumulated depreciation (Net),Inventories (Net),Land (Net),Depreciable assets (Income),Accumulated depreciation (Income),Inventories (Income),Land (Income)
1,5.313571562e+12,1.743125198e+12,304131610000.0,957193458000.0,3.216140313e+12,1.214106307e+12,197039572000.0,542677574000.0
11,113363270900.0,73234580833.3,11332265789.5,55545371607.0,65459236387.3,46586659462.0,5867787474.75,26798850162.5
111,55174514153.3,38191074964.8,2690674591.32,24397186896.9,37885032246.6,28085652771.1,1562254192.04,13996218720.6
1111,11034902830.7,7638214992.96,538134918.263,4879437379.38,7577006449.33,5617130554.22,312450838.409,2799243744.12
11111,1576414690.09,1091173570.42,76876416.8947,697062482.769,1082429492.76,802447222.031,44635834.0584,399891963.446
111110,1576414690.09,1091173570.42,76876416.8947,697062482.769,1082429492.76,802447222.031,44635834.0584,399891963.446
11112,1576414690.09,1091173570.42,76876416.8947,697062482.769,1082429492.76,802447222.031,44635834.0584,399891963.446
111120,1576414690.09,1091173570.42,76876416.8947,697062482.769,1082429492.76,802447222.031,44635834.0584,399891963.446
11113,1576414690.09,1091173570.42,76876416.8947,697062482.769,1082429492.76,802447222.031,44635834.0584,399891963.446
111130,1576414690.09,1091173570.42,76876416.8947,697062482.769,1082429492.76,802447222.031,44635834.0584,399891963.446
11114,1576414690.09,1091173570.42,76876416.8947,697062482.769,1082429492.76,802447222.031,44635834.0584,399891963.446
111140,1576414690.09,1091173570.42,76876416.8947,697062482.769,1082429492.76,802447222.031,44635834.0584,399891963.446
11115,1576414690.09,1091173570.42,76876416.8947,697062482.769,1082429492.76,802447222.031,44635834.0584,399891963.446
111150,1576414690.09,1091173570.42,76876416.8947,697062482.769,1082429492.76,802447222.031,44635834.0584,399891963.446
11116,1576414690.09,1091173570.42,76876416.8947,697062482.769,1082429492.76,802447222.031,44635834.0584,399891963.446
111160,1576414690.09,1091173570.42,76876416.8947,697062482.769,1082429492.76,802447222.031,44635834.0584,399891963.446
11119,1576414690.09,1091173570.42,76876416.8947,697062482.769,1082429492.76,802447222.031,44635834.0584,399891963.446
111191,788207345.047,545586785.212,38438208.4474,348531241.385,541214746.38,401223611.016,22317917.0292,199945981.723
111199,788207345.047,545586785.212,38438208.4474,348531241.385,541214746.38,401223611.016,22317917.0292,199945981.723
1112,11034902830.7,7638214992.96,538134918.263,4879437379.38,7577006449.33,5617130554.22,312450838.409,2799243744.12
11121,11034902830.7,7638214992.96,538134918.263,4879437379.38,7577006449.33,5617130554.22,312450838.409,2799243744.12
111211,5517451415.33,3819107496.48,269067459.132,2439718689.69,3788503224.66,2808565277.11,156225419.204,1399621872.06
111219,5517451415.33,3819107496.48,269067459.132,2439718689.69,3788503224.66,2808565277.11,156225419.204,1399621872.06
1113,11034902830.7,7638214992.96,538134918.263,4879437379.38,7577006449.33,5617130554.22,312450838.409,2799243744.12
11131,3678300943.55,2546071664.32,179378306.088,1626479126.46,2525668816.44,1872376851.41,104150279.47,933081248.041
111310,3678300943.55,2546071664.32,179378306.088,1626479126.46,2525668816.44,1872376851.41,104150279.47,933081248.041
11132,3678300943.55,2546071664.32,179378306.088,1626479126.46,2525668816.44,1872376851.41,104150279.47,933081248.041
111320,3678300943.55,2546071664.32,179378306.088,1626479126.46,2525668816.44,1872376851.41,104150279.47,933081248.041
11133,3678300943.55,2546071664.32,179378306.088,1626479126.46,2525668816.44,1872376851.41,104150279.47,933081248.041
111331,525471563.364,363724523.474,25625472.2982,232354160.923,360809830.92,267482407.344,14878611.3528,133297321.149
111332,525471563.364,363724523.474,25625472.2982,232354160.923,360809830.92,267482407.344,14878611.3528,133297321.149
111333,525471563.364,363724523.474,25625472.2982,232354160.923,360809830.92,267482407.344,14878611.3528,133297321.149
111334,525471563.364,363724523.474,25625472.2982,232354160.923,360809830.92,267482407.344,14878611.3528,133297321.149
