YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,COMP_TX_EXMT_INTRST_IND,COMP_TX_EXMT_INTRST,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,COMP_OTHR_RCPTS_IND,COMP_OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,S_NET_INCM_IND,S_NET_INCM,S_NET_INCM_POS_IND,S_NET_INCM_POS,S_NET_INCM_NEG_IND,S_NET_INCM_NEG,NET_INCM_POS_IND,NET_INCM_POS,S_PORT_INCM_IND,S_PORT_INCM,S_DIV_INCM_IND,S_DIV_INCM,S_INTRST_INCM_IND,S_INTRST_INCM,S_RYLTS_INCM_IND,S_RYLTS_INCM,S_NET_STCG_LSS_IND,S_NET_STCG_LSS,S_NET_LTCG_LSS_IND,S_NET_LTCG_LSS,S_NET_INCM_RNTL_RE_IND,S_NET_INCM_RNTL_RE,S_NET_INCM_RNTL_RE_POS_IND,S_NET_INCM_RNTL_RE_POS,S_NET_INCM_RNTL_RE_NEG_IND,S_NET_INCM_RNTL_RE_NEG,S_NET_INCM_OTHR_RNTL_IND,S_NET_INCM_OTHR_RNTL,S_NET_INCM_OTHR_RNTL_POS_IND,S_NET_INCM_OTHR_RNTL_POS,S_NET_INCM_OTHR_RNTL_NEG_IND,S_NET_INCM_OTHR_RNTL_NEG,a.comp_tx_bfr_crs_IND,a.comp_tx_bfr_crs,a.incm_tx_IND,a.incm_tx,S_EX_NET_PSV_INCM_TX_IND,S_EX_NET_PSV_INCM_TX
2011,4,1,12,0,2618,0,1006195788,0,119737910,0,324837140,0,6544106,0,64854872,0,47271423,0,22686114,0,38086091,0,2896497,0,40677326,0,165876726,0,211925152,0,110711555,0,8417536,0,3792684,0,13286101,0,35350311,0,7720914,0,39061847,0,1006195788,0,166595817,0,37196371,0,339335741,0,6519198,0,107285028,0,70067371,0,279196261,0,6204691,0,40868824,0,245394758,0,13272012,0,831593523,0,795717923,0,932385,0,4029362,0,30913853,0,776906873,0,574353008,0,7663073,0,67514714,0,3499514,0,2827184,0,10135195,0,11536259,0,8855014,0,2144803,0,15993908,0,247712,0,6497235,0,3756988,0,7909165,0,134283,0,53838818,0,54686651,0,64577403,0,64734685,0,157283,0,53754265,0,10496402,0,3258487,0,1710800,0,490007,0,-46396,0,5083504,0,396182,0,511261,0,115080,0,-69446,0,163588,0,233034,0,101126,0,83110,0,16516
2011,4,1,11,0,2600,0,181208843,0,20876928,0,55424248,0,1062513,0,26722212,0,4755678,0,2719152,0,9684784,0,1654556,0,2954972,0,20883848,0,63464121,0,38692499,0,769309,0,311652,0,3438853,0,6044351,0,1705626,0,3588120,0,181208843,0,24709054,0,15516630,0,38969447,0,3468906,0,20019218,0,5078981,0,73446607,0,2406237,0,8349474,0,67497869,0,4806973,0,313604039,0,304872725,0,128274,0,588777,0,8014262,0,294487100,0,228432446,0,3762044,0,22466175,0,1192059,0,455553,0,3840980,0,4434495,0,1649014,0,416290,0,5396548,0,64372,0,1900351,0,1009681,0,3072357,0,28869,0,16365866,0,19116939,0,21660398,0,21677134,0,16736,0,18988665,0,2566702,0,416249,0,372991,0,104272,0,-2623,0,1675813,0,74949,0,140048,0,65099,0,30083,0,53704,0,23621,0,44701,0,9312,0,34965
2011,4,1,10,0,5128,0,176369449,0,22530530,0,45740063,0,1013916,0,35590754,0,1331205,0,1115245,0,10678005,0,1364542,0,1473621,0,18144680,0,70911509,0,43368445,0,712703,0,378174,0,4097150,0,5695541,0,2004702,0,3749136,0,176369449,0,24551382,0,20929865,0,22866497,0,4976127,0,21882004,0,4373640,0,76789935,0,2598231,0,10878219,0,66568082,0,3254598,0,385720251,0,379050077,0,58582,0,614647,0,5996945,0,364165921,0,286279333,0,4764008,0,27352058,0,1344930,0,611789,0,5259835,0,4946400,0,1784149,0,380415,0,5633505,0,29684,0,2440913,0,1051442,0,3510332,0,14604,0,18762523,0,21554330,0,23885303,0,23980473,0,95170,0,21495748,0,2287893,0,291137,0,435001,0,92347,0,19460,0,1449947,0,131489,0,200565,0,69076,0,-29827,0,42504,0,72331,0,20591,0,15951,1,4281
2011,4,1,9,0,16648,0,254835782,0,36646283,0,64781428,0,1043092,0,57722321,0,353976,0,560460,0,15210794,0,3364000,0,1789108,0,19927087,0,110458781,0,72443806,0,825687,0,420571,0,5354727,0,9379713,0,2967948,0,5336833,0,254835782,0,36379073,0,36269059,0,24355376,0,8932371,0,31255922,0,6097527,0,111546454,0,4642319,0,15123190,0,98333314,0,6552369,0,662301825,0,651888579,0,63699,0,916333,0,9433213,0,627633285,0,482369656,0,10786974,0,51974443,0,2560568,0,920203,0,10847924,0,9655339,0,2651548,0,607654,0,8725151,0,57848,0,4566732,0,1788814,0,5982173,0,37478,0,34100781,0,34668540,0,39242803,0,39379676,0,136873,0,34604841,0,4502750,0,563585,0,612641,0,123467,0,35504,0,3167552,0,216128,0,353857,0,137730,0,-80915,0,50936,0,131851,0,18960,0,10071,0,6556
2011,4,1,8,0,27914,0,195566612,0,30339360,0,45112797,0,670001,0,43157883,1,16155,1,157052,0,13517895,0,3533847,0,776903,0,14819925,0,93530827,0,63169416,0,588667,0,288628,0,5155688,0,7758143,0,2813752,0,4043268,0,195566612,0,28843134,0,24131866,0,16490931,0,9555969,0,27882821,0,4872046,0,83789844,0,4835368,0,12790750,0,71257380,0,5093654,0,507091013,0,496767708,0,33052,0,790677,0,9499576,0,477664199,0,346958540,0,11347330,0,47620043,0,2362038,0,571937,0,9552433,0,8601811,0,2320287,0,465834,0,6357268,1,21201,0,3716533,0,1298920,0,4807096,0,12317,0,31650612,0,29426814,0,32787754,0,32826070,0,38316,0,29393762,0,3209761,0,387564,0,409635,0,22904,0,-7783,0,2397442,0,173563,0,277573,0,104010,0,10668,0,22528,0,11860,0,8966,0,8861,0,0
2011,4,1,7,0,153099,0,322355894,0,59434974,0,70658308,0,954545,0,54034230,1,76110,0,195762,0,22698182,0,9957807,0,1778673,0,19052677,0,185053064,0,126774518,0,738925,0,439001,0,12648887,0,17876962,0,8909109,0,5228504,0,322355894,0,45402863,0,26980078,0,28327132,0,20535126,0,61008807,0,8610943,0,131490945,0,9116785,0,22821694,0,108314611,0,8762145,0,926115437,0,911594611,0,35149,0,1715056,0,12770620,0,860580786,0,567140418,0,31287093,0,95180405,0,5879841,0,1347958,0,20995960,0,18427968,0,4969845,0,974116,0,11509568,0,69115,0,5856981,0,3151972,0,8141726,0,12007,0,85635814,0,65534651,0,70333546,0,70500457,0,166911,0,65499501,0,4462722,0,244979,0,628148,0,66598,0,47503,0,3475494,0,329091,0,545866,0,216775,0,42231,0,54519,1,12288,0,26843,0,26843,0,0
2011,4,1,6,0,140504,0,99296534,0,22836869,0,14055370,0,15541,0,11769500,1,801,1,10630,0,5714378,0,4906840,1,314385,0,5994977,0,75498324,0,54628175,1,25508,1,21439,0,4862311,0,9339984,0,3728395,0,2360207,0,99296534,0,10057912,0,6912626,0,7924015,0,9149389,0,22540596,0,1673556,0,41038441,0,4163098,0,11394909,0,28187212,0,2706778,0,331114948,0,324589206,0,2480,0,854803,0,5668460,0,302413410,0,169386649,0,19955055,0,39824748,0,2458792,0,336178,0,10171145,0,7696612,0,1895739,0,639890,0,4339286,1,7978,0,2390031,0,1750667,0,2775865,1,55753,0,38729023,0,28701538,0,29902445,0,29932569,1,30124,0,28699058,0,689156,0,39381,0,150499,1,6901,0,-10222,0,502597,0,108008,0,165863,0,57856,0,406223,1,418084,1,11860,1,7263,1,7263,0,0
2011,4,1,5,0,216839,0,76346618,0,20684786,0,8067507,1,6728,0,8910771,1,6719,0,0,0,3391071,0,5229406,1,190469,0,3460567,0,69336437,0,51721049,1,108896,1,23781,0,2070034,0,9351147,0,4384150,0,1674516,0,76346618,0,6782454,0,4451156,0,7911953,0,9263837,0,16237056,0,1045954,0,30654209,0,4497089,0,7712877,0,20050184,0,1605941,0,306137025,0,300144372,0,6664,0,358194,0,5627795,0,277203273,0,133685301,0,20477479,0,43027793,0,2709856,0,333432,0,12006301,0,8098183,0,1505668,0,639882,0,3893477,1,14690,0,3119385,0,1455121,0,2293860,1,3355,0,43939490,0,28933752,0,29333153,0,29333352,1,199,0,28927088,0,332976,0,24421,0,74192,1,5862,0,63182,0,165319,0,63017,0,87506,0,24489,1,10073,1,10073,0,0,1,7335,1,7335,0,0
2011,4,1,4,0,377227,0,60200160,0,20048853,0,4880054,1,22872,0,6570637,0,0,1,19243,0,2455444,0,4969256,1,177379,0,1686522,0,65074352,0,51409022,1,76122,1,71249,0,1066834,0,7358808,0,3912189,0,1231986,0,60200160,0,4643344,0,4043553,0,7360987,0,9542240,0,11372561,0,1401087,0,21836388,0,3847823,0,8169200,0,11629012,0,1809647,0,318024194,0,312243147,1,13938,0,278839,0,5488271,0,286031886,0,116987346,0,26483168,0,46283924,0,2795600,0,213573,0,14551100,0,8608111,0,1398449,0,421202,0,3792094,1,12003,0,3109777,0,1841654,0,2633126,1,2261,0,56898498,0,31992308,0,32484651,0,32485970,1,1318,0,31978370,0,378092,0,20242,0,85695,1,35119,0,22706,0,214331,0,100395,0,125611,1,25216,1,27794,1,27794,0,0,1,2268,1,2267,4,
2011,4,1,3,0,1253480,0,35043446,0,14703797,0,2026053,0,16985,0,2321244,1,172,1,26318,0,1361907,0,3336891,1,39598,0,737588,0,68262829,0,59524824,1,15357,1,6253,0,165382,0,3963832,0,2978603,0,609142,0,35043446,0,3272503,0,3755645,0,6199803,0,13433183,0,8013372,0,922493,0,-553552,0,3956088,0,7250638,0,-10435480,0,1324799,0,409935269,0,403762541,0,2194,0,336596,0,5833938,0,357119896,0,116937473,0,52421430,0,55236424,0,3459666,0,230530,0,18902326,0,11706360,0,1326737,0,210611,0,4106527,1,384,0,4055802,0,3143359,0,3611373,1,25756,0,81745139,0,52815373,0,61069078,0,61119727,1,50649,0,52813178,0,8217968,0,78182,0,1644434,1,2133,0,-54528,0,6547746,0,36373,0,56771,0,20398,1,1559,1,1559,0,0,1,8808,1,7726,1,1082
