Codes:,Capital_stock,land,cost_of_treasury_stock,additional_paid-in_capital,earnings_(rtnd_appr),depreciable_assets,earnings_(rtnd_unappr.),accumulated_depreciation,inventories,interest_paid
1,5965310712.0,1134688870.0,4356966169.0,49718769895.0,511882457.0,20451749552.0,6660515415.0,10043357525.0,3305076616.0,1720204445.0
11,20220563.7032,46988172.0705,7614626.085,70483216.1595,533560.466199,246362817.216,12137886.1829,178234720.179,32742144.0246,5392533.4475
111,17354068.3212,42961570.4851,7052051.66347,58402489.9073,430061.537123,198607518.926,-5523233.56004,142471016.137,26989301.9366,4602491.50844
1111,3470813.66424,8592314.09702,1410410.33269,11680497.9815,86012.3074246,39721503.7852,-1104646.71201,28494203.2274,5397860.38732,920498.301688
11111,495830.523463,1227473.44243,201487.190385,1668642.56878,12287.4724892,5674500.54074,-157806.673144,4070600.46106,771122.912475,131499.757384
111110,495830.523463,1227473.44243,201487.190385,1668642.56878,12287.4724892,5674500.54074,-157806.673144,4070600.46106,771122.912475,131499.757384
11112,495830.523463,1227473.44243,201487.190385,1668642.56878,12287.4724892,5674500.54074,-157806.673144,4070600.46106,771122.912475,131499.757384
111120,495830.523463,1227473.44243,201487.190385,1668642.56878,12287.4724892,5674500.54074,-157806.673144,4070600.46106,771122.912475,131499.757384
11113,495830.523463,1227473.44243,201487.190385,1668642.56878,12287.4724892,5674500.54074,-157806.673144,4070600.46106,771122.912475,131499.757384
111130,495830.523463,1227473.44243,201487.190385,1668642.56878,12287.4724892,5674500.54074,-157806.673144,4070600.46106,771122.912475,131499.757384
11114,495830.523463,1227473.44243,201487.190385,1668642.56878,12287.4724892,5674500.54074,-157806.673144,4070600.46106,771122.912475,131499.757384
111140,495830.523463,1227473.44243,201487.190385,1668642.56878,12287.4724892,5674500.54074,-157806.673144,4070600.46106,771122.912475,131499.757384
11115,495830.523463,1227473.44243,201487.190385,1668642.56878,12287.4724892,5674500.54074,-157806.673144,4070600.46106,771122.912475,131499.757384
111150,495830.523463,1227473.44243,201487.190385,1668642.56878,12287.4724892,5674500.54074,-157806.673144,4070600.46106,771122.912475,131499.757384
11116,495830.523463,1227473.44243,201487.190385,1668642.56878,12287.4724892,5674500.54074,-157806.673144,4070600.46106,771122.912475,131499.757384
111160,495830.523463,1227473.44243,201487.190385,1668642.56878,12287.4724892,5674500.54074,-157806.673144,4070600.46106,771122.912475,131499.757384
11119,495830.523463,1227473.44243,201487.190385,1668642.56878,12287.4724892,5674500.54074,-157806.673144,4070600.46106,771122.912475,131499.757384
111191,247915.261732,613736.721215,100743.595192,834321.284389,6143.73624462,2837250.27037,-78903.336572,2035300.23053,385561.456237,65749.878692
111199,247915.261732,613736.721215,100743.595192,834321.284389,6143.73624462,2837250.27037,-78903.336572,2035300.23053,385561.456237,65749.878692
1112,3470813.66424,8592314.09702,1410410.33269,11680497.9815,86012.3074246,39721503.7852,-1104646.71201,28494203.2274,5397860.38732,920498.301688
11121,3470813.66424,8592314.09702,1410410.33269,11680497.9815,86012.3074246,39721503.7852,-1104646.71201,28494203.2274,5397860.38732,920498.301688
111211,1735406.83212,4296157.04851,705205.166347,5840248.99073,43006.1537123,19860751.8926,-552323.356004,14247101.6137,2698930.19366,460249.150844
111219,1735406.83212,4296157.04851,705205.166347,5840248.99073,43006.1537123,19860751.8926,-552323.356004,14247101.6137,2698930.19366,460249.150844
1113,3470813.66424,8592314.09702,1410410.33269,11680497.9815,86012.3074246,39721503.7852,-1104646.71201,28494203.2274,5397860.38732,920498.301688
11131,1156937.88808,2864104.69901,470136.777565,3893499.32715,28670.7691415,13240501.2617,-368215.57067,9498067.74248,1799286.79577,306832.767229
111310,1156937.88808,2864104.69901,470136.777565,3893499.32715,28670.7691415,13240501.2617,-368215.57067,9498067.74248,1799286.79577,306832.767229
11132,1156937.88808,2864104.69901,470136.777565,3893499.32715,28670.7691415,13240501.2617,-368215.57067,9498067.74248,1799286.79577,306832.767229
111320,1156937.88808,2864104.69901,470136.777565,3893499.32715,28670.7691415,13240501.2617,-368215.57067,9498067.74248,1799286.79577,306832.767229
11133,1156937.88808,2864104.69901,470136.777565,3893499.32715,28670.7691415,13240501.2617,-368215.57067,9498067.74248,1799286.79577,306832.767229
111331,165276.841154,409157.814144,67162.396795,556214.189593,4095.82416308,1891500.18025,-52602.2243814,1356866.82035,257040.970825,43833.2524613
111332,165276.841154,409157.814144,67162.396795,556214.189593,4095.82416308,1891500.18025,-52602.2243814,1356866.82035,257040.970825,43833.2524613
111333,165276.841154,409157.814144,67162.396795,556214.189593,4095.82416308,1891500.18025,-52602.2243814,1356866.82035,257040.970825,43833.2524613
111334,165276.841154,409157.814144,67162.396795,556214.189593,4095.82416308,1891500.18025,-52602.2243814,1356866.82035,257040.970825,43833.2524613
111335,165276.841154,409157.814144,67162.396795,556214.189593,4095.82416308,1891500.18025,-52602.2243814,1356866.82035,257040.970825,43833.2524613
111336,165276.841154,409157.814144,67162.396795,556214.189593,4095.82416308,1891500.18025,-52602.2243814,1356866.82035,257040.970825,43833.2524613
111339,165276.841154,409157.814144,67162.396795,556214.189593,4095.82416308,1891500.18025,-52602.2243814,1356866.82035,257040.970825,43833.2524613
1114,3470813.66424,8592314.09702,1410410.33269,11680497.9815,86012.3074246,39721503.7852,-1104646.71201,28494203.2274,5397860.38732,920498.301688
11141,1735406.83212,4296157.04851,705205.166347,5840248.99073,43006.1537123,19860751.8926,-552323.356004,14247101.6137,2698930.19366,460249.150844
111411,867703.41606,2148078.52425,352602.583173,2920124.49536,21503.0768562,9930375.94629,-276161.678002,7123550.80686,1349465.09683,230124.575422
111419,867703.41606,2148078.52425,352602.583173,2920124.49536,21503.0768562,9930375.94629,-276161.678002,7123550.80686,1349465.09683,230124.575422
11142,1735406.83212,4296157.04851,705205.166347,5840248.99073,43006.1537123,19860751.8926,-552323.356004,14247101.6137,2698930.19366,460249.150844
111421,867703.41606,2148078.52425,352602.583173,2920124.49536,21503.0768562,9930375.94629,-276161.678002,7123550.80686,1349465.09683,230124.575422
111422,867703.41606,2148078.52425,352602.583173,2920124.49536,21503.0768562,9930375.94629,-276161.678002,7123550.80686,1349465.09683,230124.575422
1119,3470813.66424,8592314.09702,1410410.33269,11680497.9815,86012.3074246,39721503.7852,-1104646.71201,28494203.2274,5397860.38732,920498.301688
11191,694162.732848,1718462.8194,282082.066539,2336099.59629,17202.4614849,7944300.75703,-220929.342402,5698840.64549,1079572.07746,184099.660338
111910,694162.732848,1718462.8194,282082.066539,2336099.59629,17202.4614849,7944300.75703,-220929.342402,5698840.64549,1079572.07746,184099.660338
