"Page: 108  March 12, 2015"
""
"L.132 Rest of the World"
"Billions of dollars; amounts outstanding end of period, not seasonally adjusted                                                                                                                                                   "
""
"","2010","2011","2012","2013","2014","2013","2013","2014","2014","2014","2014","",
"Description","","","","","","Q3","Q4","Q1","Q2","Q3","Q4","",
"Rest of the world; total financial assets","   16054.1","   17513.0","   18951.0","   21114.4","   22764.5","   20411.9","   21114.4","   21672.5","   22252.3","   22413.3","   22764.5","    1",
"Federal government; special drawing rights (SDRs) allocations; liability","      54.4","      54.2","      54.3","      54.4","      51.2","      54.2","      54.4","      54.6","      54.6","      52.4","      51.2","    2",
"Rest of the world; net interbank transactions with banks in foreign countries; asset","      24.2","     238.1","     102.1","     414.3","     374.5","     440.5","     414.3","     466.9","     493.3","     515.9","     374.5","    3",
"Rest of the world; U.S. checkable deposits and currency; asset","     390.5","     472.3","     540.4","     591.3","     670.9","     574.0","     591.3","     621.3","     637.8","     641.2","     670.9","    4",
"Rest of the world; U.S. total time and savings deposits; asset","     308.2","     355.6","     393.4","     445.1","     499.2","     419.8","     445.1","     461.3","     495.5","     491.1","     499.2","    5",
"Rest of the world; U.S. money market mutual fund shares; asset","      69.8","      74.4","      96.9","     112.2","     118.5","     109.4","     112.2","     113.7","     114.0","     115.0","     118.5","    6",
"Rest of the world; security repurchase agreements; asset","     581.8","     678.5","     671.9","     734.1","     822.2","     726.0","     734.1","     805.5","     841.2","     797.7","     822.2","    7",
"Rest of the world; credit market instruments; asset","    8413.9","    8944.8","    9508.7","    9732.4","   10266.4","    9564.6","    9732.4","    9967.4","   10108.9","   10180.7","   10266.4","    8",
"Rest of the world; commercial paper; asset","     102.1","     102.7","     102.8","     101.7","     104.7","      89.6","     101.7","     106.4","     117.3","     119.2","     104.7","    9",
"Rest of the world; Treasury securities; asset","    4458.8","    5004.4","    5571.5","    5794.9","    6169.2","    5654.7","    5794.9","    5951.8","    6012.5","    6068.3","    6169.2","   10",
"Rest of the world; Treasury bills and certificates; asset","     710.3","     647.7","     661.7","     686.0","     671.6","     645.1","     686.0","     689.3","     626.8","     614.1","     671.6","   11",
"Rest of the world; other Treasury securities, excluding Treasury bills and certificates; asset","    3748.5","    4356.7","    4909.8","    5108.9","    5497.6","    5009.5","    5108.9","    5262.5","    5385.7","    5454.3","    5497.6","   12",
