Codes:,land_net,inventories_income,accumulated_depreciation_income,land_income,inventories_net,accumulated_depreciation_net,depreciable_assets_net,depreciable_assets_income
1,957193458000.0,197039572000.0,1.214106307e+12,542677574000.0,304131610000.0,1.743125198e+12,5.313571562e+12,3.216140313e+12
11,60854360202.1,6990410836.88,53032649369.4,29841471151.1,13040740319.2,82466750628.6,142821864781.0,83353381608.1
111,53360757350.1,5873363484.23,47826678344.0,26583599460.6,10910249707.8,73259317174.8,124572224348.0,73870525654.2
1111,10672151470.0,1174672696.85,9565335668.79,5316719892.11,2182049941.57,14651863435.0,24914444869.6,14774105130.8
11111,1524593067.15,167810385.264,1366476524.11,759531413.159,311721420.224,2093123347.85,3559206409.94,2110586447.26
111110,1524593067.15,167810385.264,1366476524.11,759531413.159,311721420.224,2093123347.85,3559206409.94,2110586447.26
11112,1524593067.15,167810385.264,1366476524.11,759531413.159,311721420.224,2093123347.85,3559206409.94,2110586447.26
111120,1524593067.15,167810385.264,1366476524.11,759531413.159,311721420.224,2093123347.85,3559206409.94,2110586447.26
11113,1524593067.15,167810385.264,1366476524.11,759531413.159,311721420.224,2093123347.85,3559206409.94,2110586447.26
111130,1524593067.15,167810385.264,1366476524.11,759531413.159,311721420.224,2093123347.85,3559206409.94,2110586447.26
11114,1524593067.15,167810385.264,1366476524.11,759531413.159,311721420.224,2093123347.85,3559206409.94,2110586447.26
111140,1524593067.15,167810385.264,1366476524.11,759531413.159,311721420.224,2093123347.85,3559206409.94,2110586447.26
11115,1524593067.15,167810385.264,1366476524.11,759531413.159,311721420.224,2093123347.85,3559206409.94,2110586447.26
111150,1524593067.15,167810385.264,1366476524.11,759531413.159,311721420.224,2093123347.85,3559206409.94,2110586447.26
11116,1524593067.15,167810385.264,1366476524.11,759531413.159,311721420.224,2093123347.85,3559206409.94,2110586447.26
111160,1524593067.15,167810385.264,1366476524.11,759531413.159,311721420.224,2093123347.85,3559206409.94,2110586447.26
11119,1524593067.15,167810385.264,1366476524.11,759531413.159,311721420.224,2093123347.85,3559206409.94,2110586447.26
111191,762296533.573,83905192.6319,683238262.057,379765706.579,155860710.112,1046561673.93,1779603204.97,1055293223.63
111199,762296533.573,83905192.6319,683238262.057,379765706.579,155860710.112,1046561673.93,1779603204.97,1055293223.63
1112,10672151470.0,1174672696.85,9565335668.79,5316719892.11,2182049941.57,14651863435.0,24914444869.6,14774105130.8
11121,10672151470.0,1174672696.85,9565335668.79,5316719892.11,2182049941.57,14651863435.0,24914444869.6,14774105130.8
111211,5336075735.01,587336348.423,4782667834.4,2658359946.06,1091024970.78,7325931717.48,12457222434.8,7387052565.42
111219,5336075735.01,587336348.423,4782667834.4,2658359946.06,1091024970.78,7325931717.48,12457222434.8,7387052565.42
1113,10672151470.0,1174672696.85,9565335668.79,5316719892.11,2182049941.57,14651863435.0,24914444869.6,14774105130.8
11131,3557383823.34,391557565.616,3188445222.93,1772239964.04,727349980.522,4883954478.32,8304814956.52,4924701710.28
111310,3557383823.34,391557565.616,3188445222.93,1772239964.04,727349980.522,4883954478.32,8304814956.52,4924701710.28
11132,3557383823.34,391557565.616,3188445222.93,1772239964.04,727349980.522,4883954478.32,8304814956.52,4924701710.28
111320,3557383823.34,391557565.616,3188445222.93,1772239964.04,727349980.522,4883954478.32,8304814956.52,4924701710.28
11133,3557383823.34,391557565.616,3188445222.93,1772239964.04,727349980.522,4883954478.32,8304814956.52,4924701710.28
111331,508197689.049,55936795.0879,455492174.704,253177137.72,103907140.075,697707782.617,1186402136.65,703528815.755
111332,508197689.049,55936795.0879,455492174.704,253177137.72,103907140.075,697707782.617,1186402136.65,703528815.755
111333,508197689.049,55936795.0879,455492174.704,253177137.72,103907140.075,697707782.617,1186402136.65,703528815.755
111334,508197689.049,55936795.0879,455492174.704,253177137.72,103907140.075,697707782.617,1186402136.65,703528815.755
111335,508197689.049,55936795.0879,455492174.704,253177137.72,103907140.075,697707782.617,1186402136.65,703528815.755
111336,508197689.049,55936795.0879,455492174.704,253177137.72,103907140.075,697707782.617,1186402136.65,703528815.755
111339,508197689.049,55936795.0879,455492174.704,253177137.72,103907140.075,697707782.617,1186402136.65,703528815.755
1114,10672151470.0,1174672696.85,9565335668.79,5316719892.11,2182049941.57,14651863435.0,24914444869.6,14774105130.8
11141,5336075735.01,587336348.423,4782667834.4,2658359946.06,1091024970.78,7325931717.48,12457222434.8,7387052565.42
111411,2668037867.51,293668174.212,2391333917.2,1329179973.03,545512485.392,3662965858.74,6228611217.39,3693526282.71
111419,2668037867.51,293668174.212,2391333917.2,1329179973.03,545512485.392,3662965858.74,6228611217.39,3693526282.71
11142,5336075735.01,587336348.423,4782667834.4,2658359946.06,1091024970.78,7325931717.48,12457222434.8,7387052565.42
111421,2668037867.51,293668174.212,2391333917.2,1329179973.03,545512485.392,3662965858.74,6228611217.39,3693526282.71
111422,2668037867.51,293668174.212,2391333917.2,1329179973.03,545512485.392,3662965858.74,6228611217.39,3693526282.71
1119,10672151470.0,1174672696.85,9565335668.79,5316719892.11,2182049941.57,14651863435.0,24914444869.6,14774105130.8
11191,2134430294.0,234934539.369,1913067133.76,1063343978.42,436409988.313,2930372686.99,4982888973.91,2954821026.17
111910,2134430294.0,234934539.369,1913067133.76,1063343978.42,436409988.313,2930372686.99,4982888973.91,2954821026.17
11192,2134430294.0,234934539.369,1913067133.76,1063343978.42,436409988.313,2930372686.99,4982888973.91,2954821026.17
111920,2134430294.0,234934539.369,1913067133.76,1063343978.42,436409988.313,2930372686.99,4982888973.91,2954821026.17
11193,2134430294.0,234934539.369,1913067133.76,1063343978.42,436409988.313,2930372686.99,4982888973.91,2954821026.17
111930,2134430294.0,234934539.369,1913067133.76,1063343978.42,436409988.313,2930372686.99,4982888973.91,2954821026.17
11194,2134430294.0,234934539.369,1913067133.76,1063343978.42,436409988.313,2930372686.99,4982888973.91,2954821026.17
111940,2134430294.0,234934539.369,1913067133.76,1063343978.42,436409988.313,2930372686.99,4982888973.91,2954821026.17
11199,2134430294.0,234934539.369,1913067133.76,1063343978.42,436409988.313,2930372686.99,4982888973.91,2954821026.17
111991,711476764.668,78311513.1231,637689044.586,354447992.807,145469996.104,976790895.664,1660962991.3,984940342.057
111992,711476764.668,78311513.1231,637689044.586,354447992.807,145469996.104,976790895.664,1660962991.3,984940342.057
111998,711476764.668,78311513.1231,637689044.586,354447992.807,145469996.104,976790895.664,1660962991.3,984940342.057
113,2773561781.09,413445962.663,1926854485.73,1205816292.5,788545570.302,3407891508.77,6754628744.62,3509831968.47
1131,924520593.696,137815320.888,642284828.577,401938764.167,262848523.434,1135963836.26,2251542914.87,1169943989.49
11311,924520593.696,137815320.888,642284828.577,401938764.167,262848523.434,1135963836.26,2251542914.87,1169943989.49
113110,924520593.696,137815320.888,642284828.577,401938764.167,262848523.434,1135963836.26,2251542914.87,1169943989.49
1132,924520593.696,137815320.888,642284828.577,401938764.167,262848523.434,1135963836.26,2251542914.87,1169943989.49
11321,924520593.696,137815320.888,642284828.577,401938764.167,262848523.434,1135963836.26,2251542914.87,1169943989.49
113210,924520593.696,137815320.888,642284828.577,401938764.167,262848523.434,1135963836.26,2251542914.87,1169943989.49
1133,924520593.696,137815320.888,642284828.577,401938764.167,262848523.434,1135963836.26,2251542914.87,1169943989.49
11331,924520593.696,137815320.888,642284828.577,401938764.167,262848523.434,1135963836.26,2251542914.87,1169943989.49
113310,924520593.696,137815320.888,642284828.577,401938764.167,262848523.434,1135963836.26,2251542914.87,1169943989.49
114,4720041070.94,703601389.986,3279116539.75,2052055398.02,1341945041.04,5799541945.09,11495011688.9,5973023985.35
1141,2360020535.47,351800694.993,1639558269.88,1026027699.01,670972520.518,2899770972.55,5747505844.47,2986511992.67
11411,2360020535.47,351800694.993,1639558269.88,1026027699.01,670972520.518,2899770972.55,5747505844.47,2986511992.67
114111,786673511.824,117266898.331,546519423.292,342009233.003,223657506.839,966590324.182,1915835281.49,995503997.558
114112,786673511.824,117266898.331,546519423.292,342009233.003,223657506.839,966590324.182,1915835281.49,995503997.558
114119,786673511.824,117266898.331,546519423.292,342009233.003,223657506.839,966590324.182,1915835281.49,995503997.558
1142,2360020535.47,351800694.993,1639558269.88,1026027699.01,670972520.518,2899770972.55,5747505844.47,2986511992.67
11421,2360020535.47,351800694.993,1639558269.88,1026027699.01,670972520.518,2899770972.55,5747505844.47,2986511992.67
114210,2360020535.47,351800694.993,1639558269.88,1026027699.01,670972520.518,2899770972.55,5747505844.47,2986511992.67
21,19026771915.4,4034212109.06,24646346137.2,10886076020.6,6179044959.29,35251133845.5,109760553079.0,66500303902.2
211,6342257305.12,1344737369.69,8215448712.41,3628692006.87,2059681653.1,11750377948.5,36586851026.2,22166767967.4
2111,6342257305.12,1344737369.69,8215448712.41,3628692006.87,2059681653.1,11750377948.5,36586851026.2,22166767967.4
21111,6342257305.12,1344737369.69,8215448712.41,3628692006.87,2059681653.1,11750377948.5,36586851026.2,22166767967.4
211111,3171128652.56,672368684.843,4107724356.21,1814346003.43,1029840826.55,5875188974.25,18293425513.1,11083383983.7
211112,3171128652.56,672368684.843,4107724356.21,1814346003.43,1029840826.55,5875188974.25,18293425513.1,11083383983.7
212,6342257305.12,1344737369.69,8215448712.41,3628692006.87,2059681653.1,11750377948.5,36586851026.2,22166767967.4
2121,2114085768.37,448245789.895,2738482904.14,1209564002.29,686560551.032,3916792649.5,12195617008.7,7388922655.8
21211,2114085768.37,448245789.895,2738482904.14,1209564002.29,686560551.032,3916792649.5,12195617008.7,7388922655.8
212111,704695256.124,149415263.298,912827634.713,403188000.763,228853517.011,1305597549.83,4065205669.58,2462974218.6
212112,704695256.124,149415263.298,912827634.713,403188000.763,228853517.011,1305597549.83,4065205669.58,2462974218.6
212113,704695256.124,149415263.298,912827634.713,403188000.763,228853517.011,1305597549.83,4065205669.58,2462974218.6
2122,2114085768.37,448245789.895,2738482904.14,1209564002.29,686560551.032,3916792649.5,12195617008.7,7388922655.8
21221,528521442.093,112061447.474,684620726.034,302391000.572,171640137.758,979198162.376,3048904252.19,1847230663.95
212210,528521442.093,112061447.474,684620726.034,302391000.572,171640137.758,979198162.376,3048904252.19,1847230663.95
21222,528521442.093,112061447.474,684620726.034,302391000.572,171640137.758,979198162.376,3048904252.19,1847230663.95
212221,264260721.047,56030723.7369,342310363.017,151195500.286,85820068.879,489599081.188,1524452126.09,923615331.975
