"Page: 113  March 12, 2015"
""
"L.207 Federal Funds and Security Repurchase Agreements 1"
"Billions of dollars; amounts outstanding end of period, not seasonally adjusted                                                                                                                                                   "
""
"","2010","2011","2012","2013","2014","2013","2013","2014","2014","2014","2014","",
"Description","","","","","","Q3","Q4","Q1","Q2","Q3","Q4","",
"All sectors; federal funds and security repurchase agreements; liability","    3597.9","    3878.7","    4130.1","    3657.1","    3698.4","    3795.1","    3657.1","    3741.7","    3780.5","    3693.4","    3698.4","    1",
"Monetary authority; security repurchase agreements; liability","      59.7","      99.9","     107.2","     315.9","     509.8","     157.4","     315.9","     341.0","     456.5","     410.1","     509.8","    2",
"U.S.-chartered depository institutions, including IBFs; federal funds and security repurchase agreements; liability","     484.0","     402.5","     349.9","     269.4","     236.2","     305.2","     269.4","     283.2","     271.9","     249.9","     236.2","    3",
"U.S.-chartered depository institutions, including IBFs; federal funds; liability","        ND","        ND","      69.4","      58.3","      38.7","      64.3","      58.3","      64.7","      64.7","      55.0","      38.7","    4",
"U.S.-chartered depository institutions, including IBFs; security repurchase agreements; liability","        ND","        ND","     280.5","     211.0","     197.5","     240.9","     211.0","     218.5","     207.3","     194.9","     197.5","    5",
"Foreign banking offices in the U.S., including IBFs; federal funds and security repurchase agreements; liability","     250.0","     304.4","     325.0","     312.7","     371.3","     331.1","     312.7","     356.5","     366.5","     375.4","     371.3","    6",
"Foreign banking offices in the U.S., including IBFs; federal funds; liability","      34.0","      24.1","      21.5","      18.8","      27.2","      18.0","      18.8","      26.4","      24.2","      33.7","      27.2","    7",
"Foreign banking offices in the U.S., including IBFs; security repurchase agreements; liability","     216.0","     280.3","     303.6","     293.9","     344.1","     313.2","     293.9","     330.1","     342.3","     341.7","     344.1","    8",
"Credit unions; federal funds and security repurchase agreements held by Corporate Credit Unions; liability","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","    9",
"Property-casualty insurance companies; security repurchase agreements; liability","       1.5","       0.4","       0.8","       2.2","       3.2","       1.8","       2.2","       2.5","       2.8","       3.0","       3.2","   10",
"Life insurance companies, general accounts; security repurchase agreements; liability","      10.3","      10.4","      13.5","      12.7","      13.8","      13.4","      12.7","      12.9","      12.8","      13.3","      13.8","   11",
