HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRTAGE,PTERNHLY
027690310999096,91001,1,201401,57,27.00
027690310999096,91001,2,201401,57,9.00
901969230679009,91001,2,201401,34,16.00
008097508015161,92001,2,201401,50,11.00
008097508015161,92001,3,201401,22,7.75
810961057001508,92001,1,201401,25,14.00
921899830559007,91001,1,201401,34,21.75
921899830559007,91001,2,201401,33,15.74
110350027909861,92001,2,201401,40,14.50
875095569100620,92001,1,201401,22,8.50
875095569100620,92001,2,201401,20,8.50
007087505071191,92001,1,201401,61,29.29
199020788270970,92001,1,201401,29,22.00
199020788270970,92001,2,201401,25,9.00
820912090707789,92001,1,201401,32,18.00
075680310997590,91001,1,201401,27,11.25
075680310997590,91001,2,201401,30,14.00
094963207041908,91001,1,201401,51,12.65
094963207041908,91001,2,201401,52,18.75
507004651107300,92001,1,201401,46,17.05
079240461700971,92001,1,201401,50,10.00
079240461700971,92001,3,201401,20,2.30
103903021883450,91001,1,201401,60,13.60
190963404034018,91001,1,201401,35,10.00
474196408000831,92001,1,201401,63,14.50
474196408000831,92001,2,201401,59,2.50
640900094317149,92001,1,201401,48,17.50
640900094317149,92001,2,201401,48,45.00
095571310929387,91001,3,201401,17,9.50
095571310929387,91001,4,201401,15,10.00
912071404178460,92001,2,201401,26,11.00
148240461700971,92001,1,201401,51,11.00
148240461700971,92001,2,201401,26,8.00
710109805457784,92001,2,201401,21,9.00
940071947179550,92001,2,201401,27,31.00
992019830769105,91001,1,201401,50,18.25
992019830769105,91001,2,201401,17,7.25
971062905139890,91001,1,201401,25,11.75
807904621896442,92001,1,201401,74,9.00
807904621896442,92001,2,201401,65,21.00
021438007901795,92001,1,201401,47,7.79
021438007901795,92001,2,201401,44,7.79
021438007901795,92001,3,201401,19,7.79
107001141108752,92001,1,201401,55,10.00
310200048086710,91001,1,201401,33,36.00
193973404073228,91001,2,201401,23,9.05
193973404073228,91001,3,201401,25,10.00
450928093613849,91001,1,201401,67,10.00
085461320998493,91001,1,201401,52,12.50
085461320998493,91001,2,201401,49,15.00
942839830459106,91001,1,201401,64,25.00
710209987835888,92001,1,201401,48,17.05
710209987835888,92001,2,201401,49,25.00
921237033903699,91001,1,201401,54,24.06
821868013906699,91001,1,201401,42,10.20
299230046530971,92001,1,201401,32,10.00
946082970179740,92001,1,201401,58,9.25
198977408072238,92001,1,201401,51,12.00
299370380260971,92001,1,201401,25,12.00
299370380260971,92001,2,201401,25,8.00
092321720973496,92001,1,201401,52,18.25
710200036019610,92001,1,201401,51,17.05
101073903028221,91001,2,201401,62,16.00
310300094631611,91002,1,201401,32,9.50
310300094631611,91002,2,201401,30,11.00
399510487140971,92001,1,201401,59,9.57
007009471101093,92002,1,201401,32,72.12
063131730975990,92001,1,201401,33,8.55
031152087908694,92001,1,201401,28,15.00
031152087908694,92001,2,201401,29,11.00
031102083906491,91001,1,201401,26,28.00
431884037001202,92001,1,201401,26,12.47
207008841104323,92001,1,201401,25,15.25
207008841104323,92001,2,201401,24,4.75
360931092713549,91002,1,201401,20,11.00
973859170589109,92001,1,201401,49,16.50
973859170589109,92001,3,201401,16,7.50
399430962440971,92001,6,201401,55,12.50
261923006031128,91001,2,201401,37,36.00
507004492109461,92001,1,201401,46,10.45
812899037908890,92001,2,201401,55,8.75
720109930988988,92001,1,201401,47,30.00
720109930988988,92001,2,201401,20,7.75
991409230599200,91001,1,201401,58,14.59
901409070889202,92001,2,201401,33,7.25
961759470409203,92001,1,201401,24,8.50
945001973279460,92001,1,201401,58,11.52
296987706082218,92001,1,201401,51,17.50
296987706082218,92001,2,201401,51,24.10
982849830049205,91001,2,201401,63,34.00
133206080200145,91002,1,201401,31,10.55
532203820200145,91001,1,201401,26,25.00
532203820200145,91001,2,201401,29,17.49
202033508042251,91001,1,201401,30,24.04
202033508042251,91001,2,201401,26,12.00
942289530359200,91001,1,201401,59,10.00
620920068123019,91001,1,201401,55,15.00
831266209200910,91001,3,201401,21,7.75
831266209200910,91001,4,201401,25,8.00
018002320994093,91001,1,201401,50,31.64
018002320994093,91001,3,201401,19,10.00
296953400045348,91001,1,201401,48,12.00
399050323630672,92001,2,201401,59,22.00
923309570366203,92002,1,201401,53,21.00
923309570366203,92002,2,201401,51,16.00
232657077001303,92001,1,201401,54,30.30
720300073562713,92001,1,201401,26,9.00
720300073562713,92001,3,201401,25,17.00
399550565050632,91001,2,201401,55,14.25
740933064727239,92001,1,201401,59,23.00
740933064727239,92001,2,201401,49,16.10
740933064727239,92001,5,201401,17,7.50
320409961804984,91001,1,201401,64,13.56
320409961804984,91001,2,201401,43,14.00
916054995239640,91001,1,201401,37,20.00
764679730099205,91002,1,201401,44,9.50
764679730099205,91002,4,201401,29,12.00
907094765239760,91001,1,201401,46,9.00
342058047908794,92001,1,201401,62,27.00
620753095927389,92001,1,201401,31,13.50
620753095927389,92001,3,201401,63,11.00
899080857960632,91001,3,201401,38,9.50
988579830776205,91001,1,201401,22,11.69
070985092523249,91001,2,201401,55,19.49
070985092523249,91001,3,201401,35,23.00
983079430276308,91001,1,201401,56,22.00
983079430276308,91001,3,201401,24,14.00
073392659300533,92001,1,201401,70,45.00
067313330994390,91001,2,201401,63,12.00
967013903379460,92001,1,201401,62,17.15
138399009300698,91001,1,201401,61,19.00
982013950379130,92001,1,201401,59,21.19
001163330992091,91001,1,201401,49,11.74
396923909051486,91001,1,201401,36,35.00
499400364410973,92001,2,201401,50,9.50
640940094337149,92001,1,201401,57,9.00
499140725450973,92001,1,201401,64,16.00
499330340410973,92002,1,201401,33,15.00
620943095937389,92001,1,201401,52,11.00
397917202074408,92001,1,201401,39,64.10
397917202074408,92001,2,201401,39,40.00
330409974675783,91001,1,201401,60,31.80
733397549400876,91001,2,201401,24,9.50
543767073908394,91002,1,201401,22,8.25
543767073908394,91002,2,201401,26,10.50
063141063906399,91001,1,201401,47,21.00
063141063906399,91001,2,201401,40,10.50
063141063906399,91001,3,201401,26,16.00
063141063906399,91001,4,201401,22,12.00
003173360970091,91002,1,201401,21,8.75
330609973396884,91001,2,201401,66,12.00
663102047908994,92001,1,201401,85,12.05
305063403007681,91001,1,201401,47,9.69
730399089600193,91001,1,201401,61,10.00
730399089600193,91001,2,201401,36,45.00
420266097633779,91001,6,201401,22,11.00
437396359600308,91001,1,201401,45,11.00
437396359600308,91001,2,201401,41,8.00
330609931527252,91001,1,201401,55,26.00
330609931527252,91001,2,201401,57,27.00
330609931527252,91001,3,201401,26,16.00
280960090233859,91001,2,201401,56,52.00
399947805005608,92001,2,201401,49,7.70
945046237379280,92001,1,201401,33,7.25
398927007016628,92001,1,201401,71,90.00
996066998379730,92001,2,201401,61,15.40
240962096733449,91001,2,201401,27,15.00
922036959379890,92001,2,201401,41,31.00
393903305033640,91001,4,201401,24,12.00
330609971121433,91002,1,201401,31,11.50
303908293593816,91001,1,201401,46,30.00
679400186890933,91001,3,201401,19,9.95
679400186890933,91001,4,201401,19,9.95
395997600080690,92001,1,201401,51,27.00
395997600080690,92001,3,201401,15,12.20
063998067900095,92001,2,201401,59,9.00
563043037901393,92001,1,201401,37,11.25
730609983842784,92001,2,201401,52,25.00
263528057908597,92001,2,201401,43,60.10
807002143109397,92001,1,201401,28,12.54
730700028434816,92001,1,201401,25,10.05
799940255060633,91001,5,201401,61,9.00
924017957379270,92001,2,201401,55,7.85
998047995379550,92001,1,201401,65,12.00
953097960339540,91001,1,201401,67,90.00
953097960339540,91001,2,201401,80,45.00
615057997339780,91003,1,201401,54,11.50
799570781590633,91001,1,201401,48,16.73
799280758500973,92001,1,201401,46,9.00
207008903104007,92001,1,201401,21,9.50
207008903104007,92001,2,201401,21,8.00
927999330649305,91001,2,201401,55,8.50
989087776339960,91001,2,201401,50,10.00
989087776339960,91001,3,201401,51,34.50
730709977833364,92001,1,201401,25,15.00
730709977833364,92001,2,201401,23,18.00
730709977833364,92001,3,201401,21,9.00
730709977833364,92001,4,201401,32,15.00
690974094537969,92001,2,201401,26,10.00
330909994853881,91001,1,201401,25,19.00
393588093908194,91001,1,201401,45,17.93
693094073906697,91001,1,201401,44,20.68
995039996379760,92001,1,201401,26,10.50
995039996379760,92001,2,201401,24,11.40
935099705339680,91002,1,201401,18,9.00
935099705339680,91002,2,201401,18,9.00
493837057906492,92001,2,201401,53,21.50
969709030629300,91002,1,201401,33,7.95
926009945379780,92001,2,201401,76,9.60
550991095333879,91001,1,201401,75,10.00
820994095133159,91001,3,201401,17,8.00
303027507016931,92001,2,201401,42,34.00
999800287160633,91001,1,201401,52,12.00
999800287160633,91001,2,201401,55,24.00
730906931194389,92001,1,201401,40,17.43
000995068837169,92001,2,201401,46,16.02
979629030749304,91001,2,201401,31,25.00
999800461530633,91001,3,201401,26,11.40
703602723892729,91001,1,201401,61,12.85
999720277220673,92001,1,201401,39,60.00
999720277220673,92001,2,201401,34,14.22
395933507011998,91001,1,201401,51,16.77
693442073001500,91001,2,201401,51,12.95
693442073001500,91001,3,201401,31,15.00
824961053906598,91001,1,201401,34,28.50
070422096947969,92001,2,201401,60,20.00
070422096947969,92001,3,201401,22,8.95
070422096947969,92001,4,201401,29,12.81
279580195860974,92001,1,201401,39,31.00
901022940439810,91001,3,201401,28,16.00
078614320998093,91001,1,201401,51,16.00
078614320998093,91001,2,201401,55,13.00
078614320998093,91001,3,201401,25,17.00
630920092047069,92001,1,201401,54,17.00
630920092047069,92001,2,201401,23,11.00
912179530149408,91001,1,201401,68,11.50
942889530359409,91001,2,201401,35,19.05
500920098247949,92001,2,201401,40,7.35
124247053906798,91001,3,201401,18,8.00
029384320973493,91001,2,201401,61,7.25
029384320973493,91001,3,201401,30,20.00
029384320973493,91001,4,201401,28,8.25
029384320973493,91001,5,201401,23,12.00
340209985954589,91001,1,201401,33,17.00
912002923439550,91001,2,201401,26,12.17
733490599200828,91001,2,201401,49,16.00
902879970359402,92001,1,201401,42,6.00
937052982479900,92001,1,201401,30,10.00
912589430606402,91001,2,201401,58,11.00
536496769200847,91001,1,201401,24,22.70
536496769200847,91001,2,201401,24,14.00
536496769200847,91001,4,201401,60,20.00
670926095447769,92001,4,201401,26,8.80
340209985308982,91001,1,201401,58,9.75
039254320999493,91001,1,201401,43,10.50
923092995439340,91001,2,201401,42,17.00
494937709029228,92001,1,201401,35,27.50
020945094347319,92001,2,201401,54,29.00
244140013905098,91001,1,201401,42,21.00
244140013905098,91001,2,201401,69,14.00
003904124590184,91001,1,201401,32,16.33
544074033906392,91001,1,201401,40,18.93
544074033906392,91001,2,201401,19,11.50
544074033906392,91001,3,201401,41,16.75
214589670469404,92001,4,201401,24,8.46
510957091247489,92001,1,201401,72,14.05
692037979439280,91002,1,201401,52,25.00
692037979439280,91002,2,201401,52,17.00
799730145540974,92001,1,201401,52,10.00
050744370997497,91001,1,201401,31,18.00
050744370997497,91001,2,201401,27,12.00
907919570516404,92001,1,201401,48,8.45
740700088990415,92001,1,201401,30,24.50
733509280000105,91001,2,201401,45,11.00
707900955895410,92001,1,201401,29,15.39
707900955895410,92001,2,201401,27,19.50
960209170256505,92001,1,201401,41,16.75
960209170256505,92001,2,201401,41,11.50
960209170256505,92001,3,201401,22,11.00
910799670579506,92001,2,201401,61,9.77
060909093157399,92001,1,201401,44,28.00
060909093157399,92001,2,201401,34,31.00
560910094753439,91001,1,201401,64,11.00
006375310994594,91001,1,201401,42,8.00
750109906877584,92001,2,201401,27,30.00
501077501096171,92001,2,201401,32,8.40
750100051771916,92001,1,201401,25,24.00
330919098353299,91001,1,201401,49,8.26
330919098353299,91001,2,201401,55,8.00
900061925539520,91001,1,201401,26,12.00
000944066653309,91001,2,201401,43,14.00
904769770789500,92001,1,201401,25,29.00
904769770789500,92001,2,201401,25,11.50
078993702003955,91001,1,201401,60,10.90
710459730747107,91001,1,201401,37,18.50
335176509000874,91001,2,201401,54,18.86
636170729000699,91001,1,201401,65,12.00
407701641593400,92001,1,201401,52,11.00
735173598100879,91001,1,201401,53,7.25
735173598100879,91001,2,201401,53,7.25
271176748100040,92001,1,201401,29,11.45
711604027800174,92001,1,201401,24,8.00
711604027800174,92001,2,201401,22,7.75
770918070623759,91001,1,201401,41,19.50
770918070623759,91001,2,201401,42,15.00
834275269300823,91002,1,201401,58,42.00
650940073723459,91001,1,201401,25,12.00
720407922748385,92001,1,201401,56,13.50
720407922748385,92001,3,201401,27,10.00
720407922748385,92001,4,201401,21,10.00
053822340797196,91002,1,201401,55,18.00
964179370787203,92001,1,201401,54,28.00
777084913279360,92001,1,201401,67,10.50
273953503043445,91001,4,201401,29,10.00
273953503043445,91001,5,201401,46,12.25
442960007903171,92001,2,201401,43,27.00
720407901694031,92001,1,201401,30,12.50
730306445302391,92001,2,201401,55,10.00
377364754300992,92001,1,201401,59,15.00
378923106045395,91001,1,201401,33,27.00
349280695680773,92001,1,201401,29,12.00
349280695680773,92001,2,201401,25,30.00
730307994631681,92001,2,201401,55,10.50
603702563692693,91001,1,201401,49,25.75
503708253897983,91001,2,201401,54,12.00
935372589300878,91001,3,201401,36,17.00
374917901036346,92001,1,201401,37,17.00
374917901036346,92001,2,201401,31,13.75
133143097906674,92001,2,201401,23,2.00
374927604068388,92001,2,201401,43,30.15
796073981339510,91001,1,201401,59,27.68
777074921439550,91001,1,201401,34,9.00
777074921439550,91001,2,201401,37,11.75
340407995685986,91001,1,201401,53,20.68
507609354947795,92001,1,201401,42,17.00
594790735590674,92001,4,201401,19,7.00
103705894895665,91002,1,201401,27,10.10
631478969500855,91001,1,201401,63,8.80
069154750795896,92001,1,201401,52,30.00
069154750795896,92001,2,201401,52,11.00
716095955479680,92001,1,201401,61,14.00
570913609066026,91001,1,201401,62,19.30
603608085941370,91001,2,201401,53,10.00
078665300686841,91001,2,201401,35,10.50
745080967579340,92001,2,201401,31,12.00
431090259100833,91001,1,201401,46,25.00
431090259100833,91001,4,201401,38,10.00
931529170816000,92001,2,201401,20,7.70
954001919079770,92001,2,201401,27,13.00
006410320946490,91001,2,201401,32,14.00
006410320946490,91001,4,201401,33,9.00
262439070549004,92001,1,201401,32,15.00
094907008055298,92001,1,201401,62,65.00
094907008055298,92001,3,201401,20,10.00
096943605051491,91001,1,201401,29,4.75
480242002307750,92001,1,201401,51,22.41
047530350990291,91001,1,201401,23,10.00
998055906039810,91001,1,201401,57,18.63
450839037909867,92001,2,201401,76,12.50
925939770769004,92001,1,201401,33,14.53
925939770769004,92001,2,201401,20,8.50
599370427690970,92001,1,201401,28,7.25
995809030209004,91001,1,201401,56,19.50
995809030209004,91001,2,201401,66,10.00
035800750693492,92001,1,201401,70,13.49
003067201012511,92001,1,201401,28,14.97
985989670786005,92001,2,201401,57,25.00
300609905457784,91001,1,201401,42,14.00
700609954572532,92001,1,201401,39,24.70
700609954572532,92001,2,201401,37,23.08
094977502052653,92001,1,201401,30,24.04
094977502052653,92001,2,201401,25,9.00
700609978592063,92001,1,201401,32,20.00
053310760979891,92001,2,201401,32,10.00
919016766039430,91001,2,201401,60,26.00
094937901061668,92001,2,201401,19,13.00
350961093403759,91001,2,201401,26,10.30
350961093403759,91001,3,201401,32,14.50
946046681036410,91002,1,201401,43,8.00
946046681036410,91002,2,201401,22,8.00
300609680217098,91001,1,201401,48,13.70
426377630259004,91001,2,201401,57,55.00
426377630259004,91001,3,201401,34,9.20
960941053706897,91001,1,201401,54,25.00
960941053706897,91001,2,201401,53,25.74
760120083801890,91001,1,201401,45,8.00
760120083801890,91001,2,201401,27,8.00
760120083801890,91001,3,201401,24,10.00
760120083801890,91001,4,201401,22,10.50
988076020076010,92001,1,201401,46,8.50
988076020076010,92001,3,201401,15,8.50
988076020076010,92001,4,201401,23,10.00
560563098507476,92001,2,201401,76,7.85
560234077705296,92001,1,201401,57,26.00
560234077705296,92001,2,201401,55,50.00
560234077705296,92001,4,201401,19,8.00
250766097407329,92001,1,201401,45,22.25
250766097407329,92001,2,201401,43,15.60
