age,male_death,male_weight,male_expectancy,female_death,female_weight,female_expectancy
0,0.00668,"100,000",76.1,0.005562,"100,000",80.94
1,0.000436,"99,332",75.62,0.000396,"99,444",80.39
2,0.000304,"99,289",74.65,0.000214,"99,404",79.43
3,0.000232,"99,259",73.67,0.000162,"99,383",78.44
4,0.000172,"99,235",72.69,0.000132,"99,367",77.46
5,0.000155,"99,218",71.7,0.000117,"99,354",76.47
6,0.000143,"99,203",70.71,0.000106,"99,342",75.47
7,0.000131,"99,189",69.72,0.000099,"99,332",74.48
8,0.000115,"99,176",68.73,0.000093,"99,322",73.49
9,0.000096,"99,164",67.74,0.00009,"99,313",72.5
10,0.000082,"99,155",66.74,0.00009,"99,304",71.5
11,0.000086,"99,147",65.75,0.000096,"99,295",70.51
12,0.000125,"99,138",64.76,0.000111,"99,285",69.52
13,0.000205,"99,126",63.76,0.000137,"99,274",68.52
14,0.000319,"99,106",62.78,0.00017,"99,261",67.53
15,0.000441,"99,074",61.8,0.000207,"99,244",66.54
16,0.000562,"99,030",60.82,0.000245,"99,223",65.56
17,0.00069,"98,975",59.86,0.000282,"99,199",64.57
18,0.00082,"98,906",58.9,0.000318,"99,171",63.59
19,0.000949,"98,825",57.95,0.000352,"99,139",62.61
20,0.001085,"98,731",57,0.000388,"99,105",61.63
21,0.001213,"98,624",56.06,0.000423,"99,066",60.66
22,0.001304,"98,505",55.13,0.000454,"99,024",59.68
23,0.001345,"98,376",54.2,0.000476,"98,979",58.71
24,0.00135,"98,244",53.27,0.000494,"98,932",57.74
25,0.001342,"98,111",52.34,0.000511,"98,883",56.77
26,0.00134,"97,980",51.41,0.000531,"98,833",55.79
27,0.001342,"97,848",50.48,0.000553,"98,780",54.82
28,0.001356,"97,717",49.55,0.000579,"98,726",53.85
29,0.00138,"97,584",48.62,0.000608,"98,668",52.88
30,0.001408,"97,450",47.68,0.000641,"98,608",51.92
31,0.001435,"97,313",46.75,0.000677,"98,545",50.95
32,0.001466,"97,173",45.82,0.000719,"98,479",49.98
33,0.001499,"97,031",44.88,0.000765,"98,408",49.02
34,0.001539,"96,885",43.95,0.000818,"98,332",48.06
35,0.001592,"96,736",43.02,0.000879,"98,252",47.1
36,0.00166,"96,582",42.08,0.000948,"98,166",46.14
37,0.001741,"96,422",41.15,0.001022,"98,073",45.18
38,0.001837,"96,254",40.22,0.0011,"97,972",44.23
39,0.001953,"96,077",39.3,0.001185,"97,865",43.27
40,0.002084,"95,889",38.37,0.001279,"97,749",42.32
