ER30001,ER30002,ER33501,ER33502,ER33503,ER33504,ER33537O,ER33601,ER33602,ER33603,ER33604,ER33628O
4,1,3,1,10,76,0,0,0,0,0,0
4,2,3,81,20,75,0,0,0,0,0,0
4,3,2,1,10,47,9.8,96,1,10,49,1.13
4,4,6129,1,10,45,8.88,5987,1,10,47,16.03
4,5,6906,2,20,43,0,6872,2,20,45,0
4,6,4920,2,22,41,10,5599,2,22,43,9.38
4,7,6944,1,10,39,14.71,7091,1,10,41,20
4,8,3818,1,10,34,11.54,5964,1,10,36,14
4,31,1702,1,10,25,0,285,2,20,27,0
4,33,2,4,30,24,7.35,5479,1,10,26,12.5
4,34,5478,1,10,23,3,5665,1,10,25,8.71
4,35,2471,1,10,22,8,6754,1,10,24,11.9
4,36,6965,1,10,20,10,7308,2,20,22,12
4,37,3818,4,30,12,0,5964,4,30,14,0
4,38,6944,2,30,12,0,7091,2,30,14,0
4,39,2,3,60,8,0,96,3,60,10,0
4,41,1702,2,30,6,0,285,3,30,8,0
4,42,1702,3,30,2,0,285,4,30,4,0
4,43,6965,2,30,3,0,7308,3,33,5,0
4,44,3818,0,0,0,0,5964,5,60,1,0
4,172,2122,1,10,50,20,0,0,0,0,0
4,173,2,2,20,45,7.5,96,2,20,47,4.93
4,175,2560,1,10,39,19.68,6522,1,10,41,19.79
4,179,3818,2,20,32,6.15,5964,2,20,35,0
4,180,3818,3,30,14,0,5964,3,30,17,0
4,186,6906,1,10,55,31.25,6872,1,10,57,0
4,187,6906,3,30,11,0,6872,3,30,13,0
4,188,4920,1,10,41,33.33,5599,1,10,43,36.46
4,190,6965,71,10,24,0,5480,1,10,26,12
4,191,5478,2,88,20,0,5665,71,88,22,0
4,192,6906,0,0,0,0,6872,4,50,87,0
4,193,6965,0,0,0,0,7308,1,10,31,999
4,194,2,0,0,0,0,5479,2,20,20,0
4,195,1702,0,0,0,0,285,1,10,28,0
5,2,376,1,10,53,0,444,1,10,55,0
5,3,379,1,10,36,13.33,1448,1,10,38,18.67
5,4,374,1,10,33,1.33,443,2,20,35,4.81
5,5,4588,1,10,32,11.4,444,2,30,34,0
5,31,379,3,30,15,0,1448,3,30,17,0
5,32,379,4,30,14,0,1448,4,30,16,0
5,33,4588,5,30,4,0,444,3,60,6,0
5,170,379,2,20,34,8.89,1448,2,20,36,7.29
5,171,374,71,10,52,0,0,0,0,0,0
5,172,4588,2,20,35,8.85,279,2,22,37,4.93
5,173,4588,3,33,15,0,279,3,35,17,0
5,174,4588,4,33,11,0,279,4,35,13,0
5,175,374,2,88,22,0,443,1,10,24,999
5,176,4588,0,0,0,0,279,1,10,29,999
6,1,244,1,10,76,100,129,1,10,78,0
6,2,244,2,20,77,0,129,2,20,79,0
6,4,286,2,20,50,7.65,263,2,20,52,6.69
6,6,5379,1,10,44,81.63,6438,1,10,46,24.04
6,30,245,2,20,26,19.23,1932,2,20,28,20
6,31,286,51,30,24,9.38,263,3,30,26,0
6,32,5379,3,30,18,0,6438,51,30,20,0
6,33,5379,4,30,16,0,6438,52,30,19,0
6,34,5379,5,30,14,0,6438,3,30,17,0
6,170,286,1,10,54,13.46,263,1,10,56,11.54
6,172,5379,2,20,43,51.02,6438,2,20,46,10.99
6,174,245,1,10,25,9.62,1932,1,10,27,36.06
7,2,2218,1,10,73,0,3074,1,10,75,0
7,3,6278,1,10,45,0,3133,1,10,47,0
7,4,2579,1,10,43,4.85,3198,1,10,45,4.26
7,5,2670,1,10,41,0,4672,1,10,43,0
7,30,4983,2,20,27,0,3325,2,20,29,0
7,31,6278,3,30,25,999,6030,1,10,27,8
7,32,6695,1,10,24,5,6030,5,40,26,999
7,33,6377,2,20,25,0.48,4671,2,20,27,0
7,34,2216,1,10,24,0,3075,1,10,26,0
7,35,6313,1,10,23,4.62,3327,1,10,24,999
7,36,2670,3,30,18,0,7255,2,20,20,12.22
7,37,2579,2,30,18,0,3198,2,30,20,10
7,38,2670,4,30,15,0,2945,2,30,17,0
7,39,2670,5,30,11,0,2945,3,30,13,0
7,40,2670,6,30,9,0,2945,4,30,11,0
7,41,4983,3,30,8,0,3325,3,30,10,0
7,42,2670,7,30,7,0,2945,5,30,9,0
7,43,4983,4,30,7,0,3325,4,30,9,0
7,44,4983,5,30,6,0,3325,5,30,8,0
7,45,6278,5,60,6,0,6030,3,30,8,0
7,46,2216,2,30,5,0,3075,2,30,7,0
7,47,2216,3,30,3,0,3075,3,30,5,0
7,48,2216,4,30,2,0,3075,4,30,4,0
7,49,6278,6,60,1,0,6030,4,30,2,0
7,50,2670,0,0,0,0,7255,3,30,1,0
7,170,6278,2,20,45,999,3133,2,20,47,10.02
7,171,2670,2,20,43,0,2945,1,10,45,0
7,175,6278,4,37,25,0,6030,2,20,28,0
7,180,6695,2,22,36,999,6030,71,22,37,0
7,181,6695,3,35,9,0,6030,72,35,11,0
7,182,6313,2,22,20,0,3327,2,20,22,0
7,183,6695,4,35,17,0,6030,73,35,19,0
7,184,6377,1,10,29,999,4671,1,10,31,999
7,185,4983,1,10,27,999,3325,1,10,29,0
7,186,2670,0,0,0,0,4672,2,88,20,999
7,187,2670,0,0,0,0,7255,1,10,26,9.62
10,1,2296,81,10,86,0,0,0,0,0,0
10,3,2296,1,10,55,0,256,1,10,57,0
10,6,1577,1,10,35,10.8,257,1,10,37,10.71
10,7,1578,1,10,33,0,1922,1,10,35,9.13
10,21,0,0,0,0,0,42,1,10,54,8.17
10,30,990,1,10,28,25.96,732,1,10,30,32.69
10,31,0,0,0,0,0,7028,1,10,25,5.19
10,32,1577,2,30,11,0,257,2,30,13,0
10,33,1389,2,30,8,0,5332,2,30,11,0
10,34,1577,3,30,8,0,257,3,30,10,0
10,35,1577,4,30,6,0,257,4,30,8,0
10,171,4558,2,20,53,0,0,0,0,0,0
10,172,0,0,0,0,0,7028,2,40,33,7.5
10,176,4557,1,10,37,8.65,3227,1,10,39,7.69
10,177,1389,1,10,35,999,5332,1,10,37,0
10,180,4558,1,10,999,0,0,0,0,0,0
11,2,804,1,10,80,0,302,1,10,82,0
11,3,2627,1,10,46,999,492,1,10,48,999
11,21,804,2,30,49,999,302,2,30,51,999
13,1,64,1,10,70,0,311,1,10,72,0
13,2,64,2,20,68,0,311,2,20,70,0
13,3,2268,2,20,47,0,2002,2,20,49,0
13,4,506,2,22,48,15.02,1589,2,20,50,18.02
13,30,5089,2,20,21,4.17,424,2,20,23,11.11
13,31,2268,3,30,16,0,2002,3,30,18,1.07
13,170,2268,1,10,50,49.73,2002,1,10,53,50.37
13,176,506,1,10,45,24.04,1589,1,10,47,25.64
13,178,5089,1,10,24,999,424,1,10,26,22.89
14,1,192,1,10,71,0,259,1,10,73,0
14,2,193,1,10,46,999,7248,1,10,49,5.66
14,3,669,2,20,42,22.14,190,2,20,44,24.04
14,4,1579,1,10,35,22.11,260,1,10,37,24.79
14,30,1579,3,30,13,0,260,3,30,15,0
14,31,1579,4,30,11,0,260,4,30,13,0
14,32,669,3,30,6,0,190,3,30,8,0
14,33,669,4,30,4,0,190,4,30,6,0
14,172,1579,2,20,32,0,260,2,20,34,0
14,173,669,1,10,37,16.36,190,1,10,39,21.86
16,2,31,1,10,61,0,416,1,10,63,0
16,3,3664,2,20,37,2.4,848,2,20,39,6.41
16,4,754,2,20,32,10.58,770,2,20,34,12.82
16,30,3664,3,30,19,0,3195,2,20,21,2.56
16,32,3664,4,30,15,0,848,3,30,17,0
16,33,754,3,30,4,0,770,4,30,6,0
16,34,754,4,30,1,0,770,3,30,2,0
16,35,3664,0,0,0,0,3195,3,30,1,0
16,170,3664,1,10,41,12.02,848,1,10,43,3.37
16,172,754,1,10,40,10.58,770,1,10,42,9.62
16,173,3664,0,0,0,0,3195,1,10,27,5.13
17,1,4163,1,10,89,0,1062,1,10,90,0
18,2,1547,1,10,77,0,1977,1,10,79,0
18,3,4612,1,10,42,24,3258,1,10,44,12.29
18,4,2070,1,10,45,17.31,2799,1,10,47,13.85
18,5,1548,1,10,46,0,2335,1,10,48,17.5
18,21,1741,1,10,51,16.83,3310,1,10,54,21.94
18,30,2150,1,10,26,9.94,4920,1,10,28,999
18,31,2069,2,20,26,0,2802,2,20,28,0
18,35,2149,1,10,25,50,3313,1,10,27,11.57
18,36,2070,51,30,18,0,2799,3,30,21,0
18,37,4157,4,33,18,0,5798,1,10,20,0
18,38,4157,3,33,13,0,2801,3,33,15,0
18,39,2069,3,30,4,0,2802,3,30,6,0
18,40,2069,4,30,4,0,2802,4,30,6,0
18,41,2149,4,30,3,0,3313,4,30,5,0
18,42,2069,5,30,1,0,2802,5,30,3,0
18,43,2070,0,0,0,0,2799,4,60,1,0
18,44,2150,0,0,0,0,4920,3,30,1,0
18,45,2149,0,0,0,0,3313,5,30,1,0
18,170,4157,2,20,44,21.63,2801,2,20,46,12.5
18,172,2070,2,20,45,15.31,2799,2,20,47,20.63
18,173,1741,2,20,51,0,3310,2,20,53,0
18,181,1741,3,38,17,0,3310,71,38,19,0
18,183,2069,1,10,27,13.46,2802,1,10,29,15
18,184,2150,2,20,29,12.5,4920,2,20,32,999
18,185,2149,2,20,24,41.67,3313,2,20,26,0
18,186,2149,3,33,5,0,3313,3,33,7,0
