HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRTAGE,PTERNHLY
250916067408329,92001,2,201402,62,16.90
400106915607698,91001,2,201402,60,14.30
400109906593391,91001,2,201402,50,13.25
099990810011309,92001,1,201402,51,40.80
095978600095109,92001,1,201402,48,12.00
093994308043109,91001,1,201402,39,9.85
068984804092109,91001,1,201402,59,11.07
919099685049620,91001,1,201402,72,35.00
990285098907196,92001,2,201402,32,14.00
090988304039919,92001,2,201402,50,10.00
400909901265592,91001,1,201402,43,11.00
042096519900952,91001,1,201402,74,13.50
096948605051999,92001,2,201402,59,22.00
901285094904196,91002,4,201402,52,28.05
941192969000458,91001,2,201402,53,7.25
940199149000936,91001,2,201402,24,16.00
199914600013049,91002,1,201402,52,24.75
840889180566102,92001,1,201402,56,23.00
190864305075147,91001,1,201402,61,20.50
650810093718458,92001,1,201402,64,47.00
975041847189710,92001,2,201402,48,11.00
975041847189710,92001,3,201402,26,21.00
810209901265542,92001,1,201402,32,13.00
021438008909795,92001,1,201402,55,8.00
027791420013100,91001,1,201402,34,48.00
289010955580981,92001,1,201402,50,15.15
289010955580981,92001,2,201402,45,12.00
810209915400499,92001,3,201402,22,10.00
810209939555190,92001,1,201402,29,17.00
965072831189320,92001,3,201402,31,14.58
604901781499382,91001,1,201402,54,15.00
269360458720941,91001,1,201402,60,15.84
190924706033259,91001,1,201402,47,17.00
152820740960104,91001,1,201402,56,22.23
152820740960104,91001,2,201402,54,13.50
843197939200729,91002,1,201402,31,10.50
372789280109101,92001,2,201402,44,12.00
918002371189270,92001,1,201402,26,24.00
630521099918529,92001,2,201402,44,7.50
810309921531098,92001,1,201402,29,7.90
810309921531098,92001,2,201402,31,18.10
131129068909593,92001,1,201402,20,7.75
060023170180060,92001,1,201402,42,9.50
060023170180060,92001,2,201402,43,17.00
310270089000041,91001,1,201402,26,20.00
908609381998063,92001,2,201402,43,12.44
933909680986108,92001,1,201402,43,8.00
933909680986108,92001,2,201402,44,9.00
748190129300945,91001,2,201402,30,8.25
198958604013339,92001,2,201402,48,10.00
