HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRTAGE,PESF1
600106954572592,90001,1,201206,24,0
648061954059610,90001,1,201206,26,1
966096259100977,90001,2,201206,23,2
080090110993997,89001,1,201206,36,0
702908630990451,89001,1,201206,48,0
420916067603779,89001,2,201206,33,0
008520610698290,90001,3,201206,21,0
097973400095118,89001,2,201206,30,3
400109982905699,90001,1,201206,33,0
662068759100950,90001,1,201206,49,1
870915066506029,90001,1,201206,34,1
870915066506029,90001,2,201206,17,0
100100000762016,89001,2,201206,26,1
016006200100107,89001,2,201206,44,1
040620110695198,89001,2,201206,40,2
941639510599000,89001,3,201206,47,2
961709030629000,89001,2,201206,44,0
096994003031159,90001,1,201206,30,2
199990939910950,90001,2,201206,45,3
620810090008769,88001,2,201206,45,2
108900620991801,88001,2,201206,35,2
706903920999431,90001,2,201206,30,0
852008480100190,90001,1,201206,42,1
519459720749007,89001,1,201206,30,1
519459720749007,89001,3,201206,46,2
999579830329000,89001,2,201206,30,0
042250790975795,90001,1,201206,49,4
790099062904692,89001,3,201206,36,0
602909070499629,89001,3,201206,19,2
699529420239000,89001,1,201206,47,2
699529420239000,89001,2,201206,16,0
520995096003799,89001,1,201206,35,2
290696099504819,90001,1,201206,46,1
959620906790960,90001,1,201206,49,3
098916905090939,90001,2,201206,36,2
095941307097925,89001,1,201206,38,1
390662077908699,90001,1,201206,50,1
390662077908699,90001,3,201206,22,0
589079480279008,88001,1,201206,42,0
049570890989592,88001,1,201206,35,2
049570890989592,88001,2,201206,17,0
194966207041009,90001,2,201206,26,1
951070803189420,88002,2,201206,15,0
195901402031033,89001,1,201206,50,2
195901402031033,89001,3,201206,17,0
070402096911969,89001,1,201206,45,0
070402096911969,89001,2,201206,43,0
204905931980240,90001,1,201206,30,1
690305097614069,90001,1,201206,28,0
944040613149060,90001,1,201206,43,1
101963094909094,90001,1,201206,40,1
951192969000158,90001,2,201206,29,3
605909071599620,90001,1,201206,42,3
100960260670109,90001,1,201206,36,0
066070199160200,90001,2,201206,29,1
088960521980961,90001,1,201206,35,1
906907521980650,90001,1,201206,50,3
201033046902195,90001,2,201206,30,1
008906911983940,88001,1,201206,28,3
408901641793400,88002,1,201206,40,1
166953400045048,89001,2,201206,26,1
800019060136107,90001,1,201206,49,5
800019060136107,90001,3,201206,22,0
800019060136107,90001,4,201206,20,0
074771111014105,89001,1,201206,31,0
960418091511078,89001,1,201206,23,2
198892106057102,89001,2,201206,47,2
210109930465725,89001,1,201206,42,0
311891013805395,89001,1,201206,30,0
310109815983153,89001,1,201206,30,0
711203013806594,89001,1,201206,48,2
711203013806594,89001,5,201206,22,0
670414092413019,89001,2,201206,35,0
047141310940692,89001,1,201206,40,0
034195759100874,89001,2,201206,44,2
195953007074148,89001,2,201206,37,2
711547003908495,89001,2,201206,45,2
037021150140890,90001,1,201206,43,1
110780093250041,90001,1,201206,37,0
281910540330101,90001,1,201206,35,1
104900671294241,90001,2,201206,33,1
139780093250941,90001,2,201206,45,2
405004571107051,90001,1,201206,36,0
198895106057105,90001,1,201206,27,0
510109915983113,90001,2,201206,37,0
505904651597301,90001,2,201206,33,1
562197248100455,90001,1,201206,27,0
940071147169550,90001,2,201206,39,3
197300765540971,90001,1,201206,19,0
975041947178710,90001,1,201206,42,0
198570717440971,90001,1,201206,26,0
511647037901590,90001,2,201206,28,0
507904651197301,90001,2,201206,30,0
086751710920991,90001,1,201206,48,0
572197249100355,90001,1,201206,46,1
710109914027385,90001,4,201206,19,0
199050754740971,90001,1,201206,47,0
183198358100419,88001,2,201206,28,0
971062905139890,89001,2,201206,25,0
260925090317339,90001,2,201206,50,0
185192689200249,88001,2,201206,31,3
522195509200921,89002,1,201206,34,0
932269130419108,89001,1,201206,37,1
299760000820971,90001,1,201206,34,3
299760000820971,90001,2,201206,15,0
080926097017209,90001,2,201206,36,3
