HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRTAGE,PESF1
199750666900950,87001,3,201006,21,0
981399710746004,86001,2,201006,42,2
981399710746004,86001,3,201006,21,0
502906130996421,86001,3,201006,22,0
502906130996421,86001,4,201006,21,0
321062619100948,86001,2,201006,40,1
400109960881499,87001,1,201006,37,0
405608140891641,87001,1,201006,37,1
405608140891641,87001,2,201006,17,0
881809540979001,87001,2,201006,38,0
206600870995651,87001,2,201006,25,0
982067779100992,85001,2,201006,37,0
801069720439001,86001,2,201006,23,0
047030110994794,86001,3,201006,15,0
267061159100974,87001,2,201006,30,3
914098759200622,86001,1,201006,31,2
100209900646184,86001,1,201006,36,0
920536032907996,86001,2,201006,34,2
069960420013503,87001,2,201006,29,3
239360659930940,87001,2,201006,34,4
239360659930940,87001,3,201006,15,0
590326093604399,87001,2,201006,32,1
400209930464495,87001,2,201006,34,1
608909360992252,85002,2,201006,23,1
020147092909466,86001,2,201006,31,2
702904520999892,86001,2,201006,39,4
095905307049228,87001,2,201006,37,1
299960714040950,87001,2,201006,27,1
708604520999892,85001,2,201006,41,2
008905190994752,85001,1,201006,31,0
299680854030620,86001,2,201006,36,4
299130970130620,86001,2,201006,30,2
720339081909362,86001,1,201006,42,2
640123092809792,86001,4,201006,19,0
614299240769003,87001,1,201006,25,0
979064623049210,87001,2,201006,33,2
944138150959005,87001,2,201006,41,3
944138150959005,87001,4,201006,17,0
310544099606619,87001,2,201006,41,3
026730840962189,85001,2,201006,39,2
786096148400730,85001,2,201006,35,5
786096148400730,85001,4,201006,15,0
067310840984380,85001,2,201006,35,1
834408680379001,85001,2,201006,34,1
120741093401189,86002,2,201006,30,1
630640092004069,87001,3,201006,16,0
542095529400999,87001,2,201006,34,2
937024757059360,87001,1,201006,22,2
010140001606210,87001,2,201006,31,0
096074181080510,85001,2,201006,42,0
410750811410010,86001,2,201006,32,3
067490240989794,86001,3,201006,21,0
069024177060560,87001,1,201006,37,3
069024177060560,87001,3,201006,19,0
410600268580010,86001,1,201006,39,2
410600268580010,86001,3,201006,17,0
440143003302100,86001,1,201006,34,4
302907050994325,86001,1,201006,25,1
674195962089930,85001,2,201006,28,0
026720850014802,85001,2,201006,37,1
550551032909069,86002,2,201006,26,2
695045993019370,86001,1,201006,42,2
098951302056508,86001,2,201006,42,2
098951302056508,86001,3,201006,19,0
035800450013402,87001,3,201006,25,0
450063045908697,87001,1,201006,27,0
599210734650910,86001,1,201006,43,2
730158008506620,87001,2,201006,28,0
915959610406008,86001,2,201006,41,1
645005998019610,86001,3,201006,15,0
666029420179004,86001,1,201006,38,2
094961701036608,86001,3,201006,42,0
669220345870940,87001,2,201006,37,0
500609977507564,87001,2,201006,32,1
025290260989595,86001,1,201006,29,4
200609973562793,86001,3,201006,29,0
360600025908690,87001,1,201006,39,1
097906308016687,87001,1,201006,25,2
860081036907697,87001,1,201006,29,2
600609937808176,87001,1,201006,16,0
806219060119006,87001,1,201006,34,5
806219060119006,87001,3,201006,16,0
124092189600974,86001,2,201006,19,0
095941009009688,86001,1,201006,26,4
065190160993590,86001,2,201006,29,1
060863090602229,86001,1,201006,40,3
705006560102776,87001,2,201006,20,2
910056839069650,87001,1,201006,37,4
097691509018649,86001,2,201006,18,0
097691509018649,86001,3,201006,16,0
212093147600398,86001,2,201006,42,2
100609882329538,86001,3,201006,19,0
426389210899005,86001,1,201006,36,2
290462098501389,86001,3,201006,36,0
000767099101899,86001,2,201006,40,2
827095636600654,86001,1,201006,40,3
827095636600654,86001,4,201006,18,0
657490356220920,86001,2,201006,44,2
140164096102849,86001,2,201006,23,0
116869420449001,86001,1,201006,38,0
016460260969492,86001,2,201006,44,0
016460260969492,86001,3,201006,41,0
097694509018643,87001,1,201006,38,8
097694509018643,87001,3,201006,17,1
696210644690940,87001,4,201006,15,0
460961092604946,87001,1,201006,36,1
065240460933287,87001,1,201006,38,4
079810460954985,87001,1,201006,41,3
960235085602892,87001,2,201006,43,3
500609880217068,87001,3,201006,24,0
500609880217068,87001,5,201006,17,0
988076720059010,87001,2,201006,39,3
969090076600318,87001,1,201006,29,1
460461092606946,87001,2,201006,24,0
756486360769005,87001,3,201006,22,0
756486360769005,87001,4,201006,18,0
600609657499188,87001,2,201006,20,0
600609657499188,87001,3,201006,34,0
946046181068410,87001,1,201006,44,3
946046181068410,87001,2,201006,16,0
092826809058632,87001,1,201006,29,3
600609883456597,87001,2,201006,41,1
250266097408326,85001,2,201006,39,3
250266097408326,85001,5,201006,16,0
