age,p1_wealth,p2_wealth,p3_wealth,p4_wealth,p5_wealth,p6_wealth,p7_wealth,p8_wealth,p9_wealth,p10_wealth,p11_wealth,p12_wealth,p13_wealth,p14_wealth,p15_wealth,p16_wealth,p17_wealth,p18_wealth,p19_wealth,p20_wealth,p21_wealth,p22_wealth,p23_wealth,p24_wealth,p25_wealth,p26_wealth,p27_wealth,p28_wealth,p29_wealth,p30_wealth,p31_wealth,p32_wealth,p33_wealth,p34_wealth,p35_wealth,p36_wealth,p37_wealth,p38_wealth,p39_wealth,p40_wealth,p41_wealth,p42_wealth,p43_wealth,p44_wealth,p45_wealth,p46_wealth,p47_wealth,p48_wealth,p49_wealth,p50_wealth,p51_wealth,p52_wealth,p53_wealth,p54_wealth,p55_wealth,p56_wealth,p57_wealth,p58_wealth,p59_wealth,p60_wealth,p61_wealth,p62_wealth,p63_wealth,p64_wealth,p65_wealth,p66_wealth,p67_wealth,p68_wealth,p69_wealth,p70_wealth,p71_wealth,p72_wealth,p73_wealth,p74_wealth,p75_wealth,p76_wealth,p77_wealth,p78_wealth,p79_wealth,p80_wealth,p81_wealth,p82_wealth,p83_wealth,p84_wealth,p85_wealth,p86_wealth,p87_wealth,p88_wealth,p89_wealth,p90_wealth,p91_wealth,p92_wealth,p93_wealth,p94_wealth,p95_wealth,p96_wealth,p97_wealth,p98_wealth,p99_wealth,num_obs
18.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,800.00000,800.00000,800.00000,800.00000,800.00000,800.00000,800.00000,800.00000,800.00000,800.00000,1200.00000,1200.00000,1200.00000,1200.00000,1200.00000,1200.00000,1200.00000,1200.00000,1200.00000,6751.68329,6751.68329,6751.68329,6751.68329,6751.68329,6751.68329,6966.02244,6966.02244,6966.02244,7132.13529,7132.13529,7132.13529,7132.13529,7132.13529,7132.13529,7132.13529,7132.13529,7132.13529,7137.49377,7137.49377,7287.53117,7287.53117,7287.53117,7823.37905,7823.37905,7823.37905,10716.95761,10716.95761,10716.95761,10716.95761,10716.95761,10716.95761,10716.95761,10716.95761,10716.95761,10824.12718,10824.12718,10824.12718,17347.19138,17347.19138,17347.19138,19612.03242,19612.03242,20683.72818,20683.72818,20683.72818,20683.72818,20683.72818,20683.72818,20683.72818,20683.72818,20683.72818,24039.05291,24039.05291,24039.05291,27777.96212,27777.96212,27777.96212,27777.96212,29709.17048,29709.17048,29709.17048,37759.61463,37759.61463,37759.61463,40.00000
19.00000,-24799.00000,-21799.00000,-20799.00000,-8144.88778,-8144.88778,-6687.38155,-6590.92893,-3010.00000,-3010.00000,-2925.72943,-2100.00000,-2100.00000,-2100.00000,-2100.00000,-535.84788,-535.84788,-535.84788,-11.22796,0.00000,89.82364,213.33116,404.20640,428.67830,428.67830,428.67830,1414.63840,1425.35536,1553.95885,1553.95885,1553.95885,1768.29800,1768.29800,2271.99501,2271.99501,2271.99501,2850.00000,3054.33292,3161.50249,3161.50249,3600.00000,4350.00000,4410.00000,4435.04246,4440.00000,4450.00000,4491.18223,4491.18223,4491.18223,4491.18223,4491.18223,4491.18223,4547.32201,4547.32201,4810.00000,4810.00000,4810.00000,6287.65513,6287.65513,6287.65513,6287.65513,8432.19464,8432.19464,8432.19464,8432.19464,8443.42260,9030.00000,9566.21816,9645.26185,9645.26185,9645.26185,10000.00000,10000.00000,10000.00000,10001.00000,10110.00000,10800.00000,11001.00000,13140.00000,14140.00000,14150.00000,14775.98955,15258.79164,16055.97649,16055.97649,16055.97649,16055.97649,16055.97649,19491.73089,19940.84912,20469.38903,21541.08479,23309.23579,43400.00000,44400.00000,44400.00000,44400.00000,46400.00000,56585.53616,56585.53616,150.00000
20.00000,-60497.22569,-40000.00000,-23500.00000,-23500.00000,-20900.00000,-14933.18093,-14820.90137,-10213.26060,-8400.00000,-6320.00000,-4822.63092,-4265.34913,-4265.34913,-3480.66623,-3000.00000,-2797.12594,-2797.12594,-2580.00000,-2570.00000,-2270.00000,-514.41397,-100.00000,-100.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,88.70085,112.27956,112.27956,112.27956,321.50873,353.65960,857.35661,1073.83915,1300.00000,1400.00000,1583.14174,1661.73743,1714.71322,1900.00000,1900.00000,2239.84414,3065.04988,3200.00000,3311.53990,3400.00000,3500.00000,5755.00623,6287.65513,6287.65513,6399.93468,6399.93468,6810.00000,8020.00000,8180.00000,8982.36447,8982.36447,9094.64402,10260.00000,10360.00000,10600.00000,10600.00000,11183.04376,11295.32332,11362.69105,12860.34913,14500.00000,15500.00000,15700.00000,15753.92768,17291.05160,17291.05160,19000.00000,19508.00000,19513.00000,20210.32005,20434.87916,20800.00000,25827.86783,25827.86783,27017.45012,27017.45012,34200.00000,35151.62095,36544.82544,51603.68387,51772.10320,52614.19987,76013.25931,127328.17332,566640.00000,2263871.55860,345.00000
21.00000,-69590.86871,-43725.18703,-36010.00000,-22452.02618,-19472.71197,-14340.00000,-10663.37282,-9591.67706,-9364.11496,-9100.00000,-9050.00000,-8734.32045,-7668.69366,-7578.87002,-7556.41411,-7126.77681,-6001.49626,-5025.18142,-3236.52120,-3215.08728,-3000.00000,-2432.74938,-2245.59112,-2245.59112,-2200.00000,-2100.00000,-1300.00000,-1122.79556,-1000.00000,-499.00000,-321.50873,0.00000,0.00000,0.00000,1.07170,145.96342,200.00000,500.00000,535.84788,898.23645,898.23645,1000.00000,1232.45012,1350.00000,1714.71322,1796.47289,1890.00000,2144.46322,2460.00000,2900.00000,3215.08728,3665.19950,3911.68953,4051.00998,4300.00000,4378.90268,4603.46179,4715.74135,5230.00000,5480.00000,5519.23317,5613.97779,6186.60353,6420.00000,6590.92893,6880.00000,7887.68080,8700.00000,9501.00000,9768.32136,10073.94015,10234.69451,10778.83736,11627.89900,12699.59476,13117.55611,14890.00000,15120.00000,17940.00000,20771.71783,27081.82887,27429.89549,30650.49875,31500.00000,31950.00000,32950.00000,33234.74853,35368.06009,38045.19950,39000.00000,41229.05291,42351.84847,50750.35924,59171.32593,61086.65835,91360.00000,122548.41022,222860.00000,509109.07107,530.00000
22.00000,-106115.40823,-103454.38276,-41000.00000,-28828.61596,-28003.41022,-27185.00000,-24819.40212,-20210.32005,-19399.00000,-19087.52449,-18540.33666,-17291.05160,-16168.25604,-13878.46010,-12431.67082,-11587.25016,-11300.00000,-9740.00000,-9200.00000,-9109.41397,-8900.00000,-8600.00000,-7837.11300,-6858.85287,-6161.17893,-5164.85957,-4801.19701,-4500.00000,-4345.21881,-3985.92423,-2919.26845,-2860.00000,-1729.10516,-1425.35536,-898.23645,-892.62247,-800.00000,-700.00000,-165.00000,0.00000,0.00000,1.00000,11.22796,107.16958,336.83867,336.83867,449.11822,449.11822,650.00000,857.35661,1010.51600,1286.03491,1714.71322,2000.00000,2245.59112,2620.00000,2851.90072,3149.44154,3350.00000,4501.12219,4726.96930,5144.13965,5154.85661,5800.00000,6226.55237,6850.00000,8048.43516,8308.68713,8420.96669,9580.00000,10397.08687,10722.31608,11365.33354,12519.17048,13096.12219,13922.66492,14467.89277,14930.00000,15494.57871,15606.85826,16500.00000,16617.37427,18860.00000,19290.52369,26256.54613,27407.43958,28300.00000,30000.00000,30315.48008,31947.25062,36609.12718,38002.33167,42700.00000,54511.72436,69392.30050,75600.00000,83985.10777,184331.67082,225056.10973,600.00000
23.00000,-62179.78803,-60786.58354,-54900.00000,-48226.30923,-40735.02286,-37254.35663,-26100.00000,-26003.94513,-25100.00000,-21282.80611,-18550.00000,-16040.00000,-14400.00000,-13930.97319,-10341.86409,-9992.88047,-9966.77057,-8308.68713,-6826.59700,-5304.89401,-4179.61347,-2400.00000,-2245.59112,-1821.88279,-880.00000,-700.00000,-214.33915,-107.16958,0.00000,0.00000,0.00000,0.00000,107.16958,200.00000,450.00000,785.95689,1010.51600,1896.90150,2679.23940,2806.98890,3032.67080,3369.50947,3369.50947,3643.76559,4042.06401,4115.31172,4154.34357,4400.00000,4491.18223,4550.00000,5063.80797,5350.12084,5550.00000,5600.00000,6215.83541,6650.00000,6900.00000,7310.00000,7501.87032,8500.00000,9323.75312,9900.00000,10100.00000,10650.00000,10984.88155,11167.06983,11788.65337,11957.77270,12002.99252,12050.00000,12777.41346,12912.14892,13000.00000,13507.23057,14140.00000,14510.00000,15920.00000,16101.00000,16718.45387,17382.90524,20180.00000,23466.42717,24134.58853,26834.81385,27800.41803,31310.00000,32000.00000,35687.46883,39650.00000,40081.42145,41796.13466,47300.00000,57038.01437,58273.08948,77520.00000,100050.00000,153824.11430,193700.00000,388350.00000,715.00000
24.00000,-42200.00000,-38750.00000,-28462.86741,-28350.58785,-28050.00000,-25250.00000,-24990.00000,-18974.12214,-18500.00000,-16830.70542,-15132.34414,-13150.00000,-11665.84585,-10200.00000,-8645.52580,-8280.00000,-7859.56891,-6624.49379,-6175.37557,-5150.00000,-3022.18204,-1480.00000,-964.52618,-641.94576,-107.16958,0.00000,0.00000,108.24127,505.25800,696.13325,700.00000,1100.00000,1200.00000,1300.00000,1571.91378,1919.98040,2279.27498,2582.42978,2936.44638,3705.22534,4000.00000,4468.97132,4800.00000,5036.97007,5358.47880,5520.00000,5600.00000,6162.25062,6399.93468,7073.61202,7544.73815,8000.00000,8140.26780,8200.00000,8400.00000,8533.24624,8800.00000,9000.00000,9320.00000,9602.39401,10609.78803,11170.00000,11710.75767,12260.00000,12680.00000,13460.49875,14280.00000,14467.89277,14700.00000,15100.00000,15882.53117,16600.00000,17093.54738,18701.09102,20008.55985,23845.23067,24027.82495,25200.00000,25521.14304,26161.13651,28620.00000,32793.89027,34294.26434,39063.31047,40980.00000,45214.84414,51655.73566,56027.49837,57871.57107,61350.00000,62158.35411,63873.06733,69613.32462,70623.84063,76980.00000,86455.25800,93451.87032,102015.00000,105712.06983,740.00000
25.00000,-134712.15711,-116624.77466,-96178.66754,-86000.00000,-67600.00000,-32847.47506,-31213.71653,-25250.00000,-22900.00000,-22697.31221,-19772.78678,-18301.56760,-17468.64090,-16224.39582,-12228.04863,-10700.00000,-8465.87851,-6070.00000,-6063.09602,-5580.00000,-4820.00000,-3600.00000,-2604.22070,-1993.35411,-1560.00000,-1392.13279,-797.18485,0.00000,0.00000,0.00000,0.00000,50.00000,56.13978,500.00000,673.67734,820.00000,1100.33965,1908.75245,1930.12406,2030.00000,2357.87067,2503.83410,2863.12867,3514.35010,3760.00000,4042.06401,4340.36783,4592.23383,4800.00000,5208.44140,5572.81796,6250.00000,6290.00000,6399.93468,7341.11596,7600.00000,8001.00000,8263.77531,8700.00000,9431.48269,10138.84389,11070.00000,11640.00000,12519.17048,12687.58981,13147.93599,14350.00623,16055.97649,16700.00000,17147.13217,18025.92269,18754.67581,20000.00000,21960.00000,24027.82495,24420.80340,25600.00000,27499.71322,29670.00000,33212.29262,35044.45137,37500.00000,39500.00000,43744.11496,45922.16334,48700.00000,52405.92269,60207.86783,63600.00000,71409.79752,74500.00000,76197.56858,92417.30242,124518.02743,150802.67146,181159.45137,294172.43632,330750.00000,495040.56172,955.00000
26.00000,-116545.05617,-50000.00000,-45171.97631,-33651.24688,-32295.00000,-28406.72763,-26999.00000,-23533.79491,-21500.00000,-19320.00000,-17800.00000,-17334.84063,-14521.47756,-11380.00000,-9560.00000,-6644.51372,-4286.78304,-3268.67207,-2900.00000,-1700.00000,-1167.70738,-410.00000,0.00000,0.00000,428.67830,500.00000,900.00000,1212.61920,2300.00000,3031.54801,3322.25686,3705.22534,4042.06401,4286.78304,5445.55846,6000.00000,6108.66584,6209.05944,6457.19726,6602.03788,6714.31744,7030.00000,7500.00000,7578.87002,8561.77743,9430.92269,10120.00000,10408.31483,10700.00000,12485.25561,13800.00000,14885.85411,15410.98504,15700.00000,15890.00000,16289.77556,17627.89027,23577.30673,27060.31796,29630.00000,32852.99804,37000.00000,39634.68321,40349.34539,41094.31744,42000.00000,43789.02678,44800.00000,49000.00000,51873.15480,55621.00998,61622.50623,64050.00000,65683.54017,67570.41771,70960.67929,81556.04738,89110.00000,92518.35402,95493.76225,101982.56858,106216.45983,111950.00000,127580.00000,136868.77858,139856.29676,149662.31297,153486.15284,161200.00000,175000.00000,214296.76029,231057.60599,235600.00000,282147.29589,294958.39321,322130.04572,351884.12802,473000.00000,789010.00000,935.00000
27.00000,-69380.00000,-57250.00000,-52209.99347,-40503.66958,-35143.50098,-31357.81796,-20640.00000,-14360.72319,-10781.25935,-10072.86845,-7971.84847,-7747.28935,-6849.05291,-6000.00000,-3858.10474,-3097.20075,-2679.23940,-2470.15023,-1290.00000,-392.97845,0.00000,0.00000,0.00000,10.71696,75.01870,1000.00000,1200.00000,1852.61267,2000.00000,2486.33416,3343.69077,3592.94579,4090.00000,4468.72632,4608.29177,5358.47880,5793.62508,6108.66584,6287.65513,6384.21555,7129.75180,7432.90660,7769.79426,8487.83042,8800.00000,9240.00000,9543.76225,9830.00000,10100.00000,11000.00000,12272.15545,13096.12219,13289.02743,14400.00000,15003.74065,15991.00000,16707.19791,17829.99347,18500.00000,18800.00000,21500.00000,23040.00000,24263.19202,25431.34040,26578.05486,28292.76808,30436.15960,33919.17082,35800.00000,42700.00000,45011.22195,48654.98753,51591.43392,54699.35162,57978.74065,61770.00000,69124.37656,77000.00000,79100.00000,81776.81671,86000.00000,87521.91378,89823.64468,96111.29980,96452.61845,120082.98498,121530.29925,139675.76747,141921.35859,145750.62344,168200.00000,182100.00000,195600.00000,229664.40150,252491.52120,289679.36409,298046.08099,383500.00000,432429.23940,1055.00000
