Age,Male Mort. Rate,Num. Male Lives,Male Life Exp.,Female Mort. Rate,Num. Female Lives,Female Life Exp.
0,0.006569,"100,000",76.18,0.005513,"100,000",80.95
1,0.000444,"99,343",75.69,0.000382,"99,449",80.39
2,0.000291,"99,299",74.72,0.000218,"99,411",79.42
3,0.000226,"99,270",73.74,0.000166,"99,389",78.44
4,0.000173,"99,248",72.76,0.000143,"99,373",77.45
5,0.000158,"99,230",71.77,0.000127,"99,358",76.47
6,0.000147,"99,215",70.78,0.000116,"99,346",75.48
7,0.000136,"99,200",69.79,0.000106,"99,334",74.48
8,0.000121,"99,187",68.8,0.000098,"99,324",73.49
9,0.000104,"99,175",67.81,0.000091,"99,314",72.5
10,0.000092,"99,164",66.82,0.000086,"99,305",71.51
11,0.000097,"99,155",65.82,0.000089,"99,296",70.51
12,0.000134,"99,146",64.83,0.000102,"99,288",69.52
13,0.00021,"99,132",63.84,0.000128,"99,277",68.52
14,0.000317,"99,112",62.85,0.000164,"99,265",67.53
15,0.000433,"99,080",61.87,0.000205,"99,248",66.54
16,0.000547,"99,037",60.9,0.000246,"99,228",65.56
17,0.000672,"98,983",59.93,0.000285,"99,204",64.57
18,0.000805,"98,917",58.97,0.000319,"99,175",63.59
19,0.000941,"98,837",58.02,0.00035,"99,144",62.61
20,0.001084,"98,744",57.07,0.000383,"99,109",61.63
21,0.001219,"98,637",56.13,0.000417,"99,071",60.66
22,0.001314,"98,517",55.2,0.000446,"99,030",59.68
23,0.001357,"98,387",54.27,0.000469,"98,986",58.71
24,0.001362,"98,254",53.35,0.000487,"98,939",57.74
25,0.001353,"98,120",52.42,0.000505,"98,891",56.76
26,0.00135,"97,987",51.49,0.000525,"98,841",55.79
27,0.001353,"97,855",50.56,0.000551,"98,789",54.82
28,0.001371,"97,722",49.63,0.000585,"98,735",53.85
29,0.001399,"97,588",48.69,0.000626,"98,677",52.88
30,0.001432,"97,452",47.76,0.000672,"98,615",51.92
31,0.001464,"97,312",46.83,0.00072,"98,549",50.95
32,0.001497,"97,170",45.9,0.000766,"98,478",49.99
33,0.00153,"97,024",44.96,0.000806,"98,403",49.02
34,0.001568,"96,876",44.03,0.000846,"98,323",48.06
35,0.001617,"96,724",43.1,0.000891,"98,240",47.1
36,0.001682,"96,568",42.17,0.000946,"98,153",46.15
37,0.001759,"96,405",41.24,0.001013,"98,060",45.19
38,0.001852,"96,236",40.31,0.001094,"97,960",44.23
39,0.001963,"96,057",39.39,0.00119,"97,853",43.28
40,0.002092,"95,869",38.46,0.001296,"97,737",42.33
41,0.002246,"95,668",37.54,0.001413,"97,610",41.39
42,0.002436,"95,453",36.62,0.001549,"97,472",40.45
43,0.002669,"95,221",35.71,0.001706,"97,321",39.51
44,0.002942,"94,967",34.81,0.001881,"97,155",38.57
45,0.003244,"94,687",33.91,0.002069,"96,972",37.65
46,0.003571,"94,380",33.02,0.00227,"96,772",36.72
47,0.003926,"94,043",32.13,0.002486,"96,552",35.81
48,0.004309,"93,674",31.26,0.002716,"96,312",34.89
49,0.004719,"93,270",30.39,0.00296,"96,050",33.99
50,0.005156,"92,830",29.53,0.003226,"95,766",33.09
51,0.005622,"92,352",28.68,0.003505,"95,457",32.19
52,0.006121,"91,832",27.84,0.003779,"95,123",31.3
53,0.006656,"91,270",27.01,0.00404,"94,763",30.42
54,0.007222,"90,663",26.19,0.004301,"94,380",29.54
55,0.007844,"90,008",25.38,0.004592,"93,974",28.67
56,0.008493,"89,302",24.57,0.00492,"93,543",27.8
57,0.009116,"88,544",23.78,0.005266,"93,083",26.93
58,0.00969,"87,736",22.99,0.00563,"92,592",26.07
59,0.010253,"86,886",22.21,0.006028,"92,071",25.22
60,0.010872,"85,995",21.44,0.006479,"91,516",24.37
61,0.011591,"85,060",20.67,0.007001,"90,923",23.52
62,0.012403,"84,075",19.9,0.007602,"90,287",22.68
63,0.013325,"83,032",19.15,0.008294,"89,600",21.85
64,0.01437,"81,925",18.4,0.009082,"88,857",21.03
65,0.015553,"80,748",17.66,0.00999,"88,050",20.22
66,0.016878,"79,492",16.93,0.011005,"87,171",19.42
67,0.018348,"78,151",16.21,0.012097,"86,211",18.63
68,0.019969,"76,717",15.51,0.013261,"85,168",17.85
69,0.021766,"75,185",14.81,0.014529,"84,039",17.09
70,0.02384,"73,548",14.13,0.015991,"82,818",16.33
71,0.026162,"71,795",13.47,0.017662,"81,494",15.59
72,0.028625,"69,917",12.81,0.019486,"80,054",14.86
73,0.031204,"67,915",12.18,0.021467,"78,494",14.14
74,0.033997,"65,796",11.55,0.023658,"76,809",13.44
75,0.0372,"63,559",10.94,0.026223,"74,992",12.76
76,0.040898,"61,195",10.34,0.029159,"73,026",12.09
77,0.04504,"58,692",9.76,0.032331,"70,896",11.44
78,0.049664,"56,048",9.2,0.035725,"68,604",10.8
79,0.054844,"53,265",8.66,0.039469,"66,153",10.18
80,0.060801,"50,344",8.13,0.043828,"63,542",9.58
81,0.067509,"47,283",7.62,0.048896,"60,757",9
82,0.074779,"44,091",7.14,0.054577,"57,786",8.43
83,0.082589,"40,794",6.68,0.060909,"54,633",7.89
84,0.091135,"37,424",6.23,0.068019,"51,305",7.37
85,0.10068,"34,014",5.81,0.076054,"47,815",6.87
86,0.111444,"30,589",5.4,0.085148,"44,179",6.4
87,0.123571,"27,180",5.02,0.095395,"40,417",5.94
88,0.137126,"23,822",4.65,0.106857,"36,561",5.52
89,0.152092,"20,555",4.31,0.119557,"32,655",5.12
90,0.168426,"17,429",4,0.133502,"28,751",4.75
91,0.186063,"14,493",3.7,0.148685,"24,912",4.4
92,0.204925,"11,797",3.44,0.165088,"21,208",4.08
93,0.224931,"9,379",3.19,0.182685,"17,707",3.79
94,0.245995,"7,270",2.97,0.201442,"14,472",3.53
95,0.266884,"5,481",2.78,0.220406,"11,557",3.29
96,0.287218,"4,018",2.61,0.239273,"9,010",3.08
97,0.306593,"2,864",2.46,0.257714,"6,854",2.89
98,0.324599,"1,986",2.33,0.275376,"5,088",2.72
99,0.340829,"1,341",2.21,0.291899,"3,687",2.56
100,0.35787,884,2.09,0.309413,"2,610",2.41
101,0.375764,568,1.98,0.327978,"1,803",2.27
102,0.394552,354,1.88,0.347656,"1,211",2.13
103,0.41428,215,1.77,0.368516,790,2
104,0.434993,126,1.68,0.390627,499,1.87
105,0.456743,71,1.58,0.414064,304,1.75
106,0.47958,39,1.49,0.438908,178,1.64
107,0.503559,20,1.4,0.465243,100,1.53
108,0.528737,10,1.32,0.493157,53,1.43
109,0.555174,5,1.24,0.522747,27,1.33
110,0.582933,2,1.16,0.554111,13,1.23
111,0.61208,1,1.09,0.587358,6,1.14
112,0.642683,0,1.02,0.622599,2,1.06
113,0.674818,0,0.95,0.659955,1,0.98
114,0.708559,0,0.89,0.699553,0,0.9
115,0.743986,0,0.82,0.741526,0,0.83
116,0.781186,0,0.76,0.781186,0,0.76
117,0.820245,0,0.71,0.820245,0,0.71
118,0.861257,0,0.65,0.861257,0,0.65
119,0.90432,0,0.6,0.90432,0,0.6
