HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRTAGE,PTERNHLY
191690460010003,91001,1,201404,39,3.00
191690460010003,91001,2,201404,26,10.00
009011163060490,91002,1,201404,21,3.00
009011163060490,91002,2,201404,20,8.50
009011163060490,91002,3,201404,38,9.50
902901610996501,93001,1,201404,73,24.00
810282006909560,91001,1,201404,50,15.20
302905600994181,93001,2,201404,60,30.00
851089660559002,91001,1,201404,23,9.50
851089660559002,91001,2,201404,21,8.20
099990210691399,93001,1,201404,54,13.00
030817096102049,93001,2,201404,31,27.00
329069419100931,93001,1,201404,50,23.00
406007270109771,91002,2,201404,67,10.00
053042144020060,93001,2,201404,22,13.00
365006400200244,91002,1,201404,24,18.00
365006400200244,91002,2,201404,22,13.00
580825097602869,93001,2,201404,29,10.00
920825046909467,91001,1,201404,74,16.50
600206947289594,91001,1,201404,60,35.00
600206947289594,91001,2,201404,60,26.50
666060729400999,91001,1,201404,39,24.00
884458120719004,93001,1,201404,46,14.00
488510487140920,93001,1,201404,39,10.00
488510487140920,93001,2,201404,43,14.00
041630240910697,93001,2,201404,24,8.00
019014366060430,91001,1,201404,38,17.50
084459160719004,91001,2,201404,18,9.00
114299260769003,91001,1,201404,64,15.00
600409974061326,91001,1,201404,24,12.00
410100601120060,91001,1,201404,52,14.50
010140001606210,91001,1,201404,32,10.79
010140001606210,91001,2,201404,36,11.00
944074899029670,93001,1,201404,46,34.35
098982406070509,93001,1,201404,21,7.83
098982406070509,93001,2,201404,24,12.50
323064929500983,93001,2,201404,61,17.00
965063229500921,91001,1,201404,49,15.32
965063229500921,91001,2,201404,53,47.00
097982001060559,93001,1,201404,57,17.50
061902308000549,93001,1,201404,61,9.00
536979920559007,93001,1,201404,52,25.00
536979920559007,93001,4,201404,24,12.00
502900270993146,93001,3,201404,44,6.00
502900270993146,93001,4,201404,31,18.00
502900270993146,93001,5,201404,28,11.65
167099689600450,91001,1,201404,57,12.00
098996106057604,91001,1,201404,32,30.00
098996106057604,91001,2,201404,29,18.00
042250660955795,91001,3,201404,35,15.00
160562099302279,93001,1,201404,56,10.80
669740366100920,93001,1,201404,73,12.00
094932901061669,93001,1,201404,64,35.00
097906308016687,91001,1,201404,19,8.75
097906308016687,91001,4,201404,22,10.00
910056839069650,91001,1,201404,66,36.00
689060951530960,91001,2,201404,69,21.66
624091446600818,93001,1,201404,31,19.00
624091446600818,93001,2,201404,44,11.00
607820528930920,93001,5,201404,21,10.00
607820528930920,93001,7,201404,61,10.00
200609783456577,93001,2,201404,43,15.00
200609783456577,93001,5,201404,40,16.00
560234072807296,93001,1,201404,29,15.50
560234072807296,93001,2,201404,28,12.00
202903250784766,93001,1,201404,39,8.00
202903250784766,93001,2,201404,23,10.00
202903250784766,93001,4,201404,21,10.00
528099978600914,93001,2,201404,28,17.00
990067095102489,93001,1,201404,41,17.03
096626705042636,91001,2,201404,30,7.50
206903250664766,91001,1,201404,43,15.00
140964096106846,91001,1,201404,47,10.00
170360098006287,91001,4,201404,25,16.46
969090077600418,91001,2,201404,67,9.50
960941056709897,91001,1,201404,44,19.00
600609757499198,91001,2,201404,66,10.00
600609757499198,91001,3,201404,39,12.00
985096041068790,91001,4,201404,27,10.00
868092928600253,91001,3,201404,23,9.00
960235086802892,91002,1,201404,30,8.00
668210644690960,91001,2,201404,34,10.79
600609883456597,91001,1,201404,59,11.50
600609883456597,91001,2,201404,27,14.00
007800660952198,91001,3,201404,24,15.50
034026191060180,91001,2,201404,43,41.00
260223096909096,91001,2,201404,51,24.15
688470364030920,93001,2,201404,45,23.00
036150260905198,93001,1,201404,62,19.50
036150260905198,93001,2,201404,62,25.00
260018052904296,93001,2,201404,29,11.00
956016629029310,93001,1,201404,54,9.30
956016629029310,93001,3,201404,23,15.00
956016629029310,93001,4,201404,21,8.00
956016629029310,93001,5,201404,60,8.00
000864096602309,93001,2,201404,55,10.00
806369420009006,93001,3,201404,27,8.00
806369420009006,93001,4,201404,85,9.25
806369420009006,93001,5,201404,20,8.50
098912506067689,93001,1,201404,50,21.50
461094799600999,91001,1,201404,36,23.00
629096359600914,93001,1,201404,24,17.00
126760820940004,93001,2,201404,22,9.00
977006874069540,91001,2,201404,28,10.10
659580976070960,91001,3,201404,42,17.75
576759860609009,91001,1,201404,57,19.25
576759860609009,91001,3,201404,20,9.00
659850559490920,93001,1,201404,28,11.50
722091149600781,93001,1,201404,60,19.95
200609923395195,93001,1,201404,36,9.40
610720570900060,91001,1,201404,37,15.00
097916607059629,91001,1,201404,23,11.00
760125066909997,91002,2,201404,22,15.00
906902170995676,91001,2,201404,25,14.87
106906130786406,91001,2,201404,48,10.00
106906130786406,91001,5,201404,21,8.75
166459560229005,91001,2,201404,61,22.50
130860094606619,91001,3,201404,21,11.00
130860094606619,91001,4,201404,18,30.00
989086882029590,93001,1,201404,44,8.00
989086882029590,93001,2,201404,34,8.00
907056819069960,91001,1,201404,51,17.00
907056819069960,91001,4,201404,29,9.50
600609974197474,91261,1,201404,34,8.85
440860090602369,93001,2,201404,42,55.00
004660260983490,93001,2,201404,46,52.00
004660260983490,93001,3,201404,19,10.00
876299720279009,93001,2,201404,70,11.00
206902770999976,91001,1,201404,40,10.00
968076829029320,93001,2,201404,68,14.00
116520160310009,91001,1,201404,35,13.50
116520160310009,91001,2,201404,28,12.50
660223006909191,91001,1,201404,36,22.00
889690113040960,91001,1,201404,62,10.00
806908260994658,91001,2,201404,25,10.50
600909924593072,91001,1,201404,53,39.00
206900870998749,91001,1,201404,53,28.50
206900870998749,91001,3,201404,22,12.00
110450720740107,93001,1,201404,27,16.50
110450720740107,93001,2,201404,23,12.00
069750157720921,93001,1,201404,33,18.00
195856602009079,91001,1,201404,50,7.25
906907521980650,91001,1,201404,49,10.00
059240092350961,91001,1,201404,56,23.00
920161589000993,93001,1,201404,69,23.00
168912905090039,93001,2,201404,18,7.35
500806094416459,91001,1,201404,34,11.00
500806094416459,91001,3,201404,23,7.50
500806094416459,91001,4,201404,28,10.00
570815090712447,93001,2,201404,58,40.00
570815090712447,93001,3,201404,31,11.74
937021650128890,93002,1,201404,33,10.50
111459720749107,93001,1,201404,23,8.50
821017460579103,91001,1,201404,37,19.57
821017460579103,91001,2,201404,19,3.00
527191479200974,93001,3,201404,36,13.00
152529020979101,93001,1,201404,39,10.25
152529020979101,93001,2,201404,23,18.00
269195709200215,91001,1,201404,57,10.00
190956207019252,91001,1,201404,74,18.28
321544056907393,91001,2,201404,23,18.00
706908351999152,91001,2,201404,48,32.00
210209987921492,93001,2,201404,23,8.50
996032388129830,93001,2,201404,30,31.25
957062500129180,93001,2,201404,48,40.00
860521097012059,93001,3,201404,19,8.00
610209916596074,91001,2,201404,50,7.75
602902141990582,93001,1,201404,23,8.50
842549860809105,91001,1,201404,50,10.00
260320097312539,93001,1,201404,22,8.50
006331220935297,93001,1,201404,35,8.25
006331220935297,93001,3,201404,40,8.25
210209944129472,93001,2,201404,53,8.25
902908291998022,93001,1,201404,57,15.00
946052658169950,91001,1,201404,60,12.00
521622066907494,91001,1,201404,62,25.00
521622066907494,91001,2,201404,41,25.00
210209993263998,93001,1,201404,43,12.00
210209993263998,93001,2,201404,41,11.50
072012147160510,91001,1,201404,46,8.17
072012147160510,91001,2,201404,46,27.00
021771086907192,91001,2,201404,59,7.93
194972607059229,93001,2,201404,61,29.00
289800657530961,91002,1,201404,35,25.00
210209924886994,93001,1,201404,22,10.00
525196059300955,93001,2,201404,31,10.75
193946205006339,91001,1,201404,62,30.00
706909501999383,91002,1,201404,31,9.50
100831098212049,93001,2,201404,28,12.50
610309934226570,91001,1,201404,53,23.75
610309934226570,91001,2,201404,56,23.20
490939062612919,93001,3,201404,19,7.25
002900341990713,93001,1,201404,50,24.00
002900341990713,93001,2,201404,58,14.20
944045813128060,93001,2,201404,29,8.00
588400364410921,93001,1,201404,54,23.14
588400364410921,93001,2,201404,19,7.25
665079520699106,93001,2,201404,60,29.90
052901250987596,93001,1,201404,55,22.00
996025870129550,93001,1,201404,48,18.00
406901641983405,91001,1,201404,53,12.30
406901641983405,91001,2,201404,54,24.00
406901641983405,91001,3,201404,34,23.00
406901641983405,91001,4,201404,29,9.75
194996203002554,91002,1,201404,55,24.00
057711650962597,91001,1,201404,43,13.25
886919560339101,91001,2,201404,44,18.00
402901271995136,93001,1,201404,51,20.00
