HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRTAGE,PTERNHLY
138009000100198,93001,1,201405,38,10.00
900918067907309,91001,1,201405,52,10.00
199610005930670,91001,1,201405,59,25.00
790914067103539,93001,1,201405,19,8.95
790914067103539,93001,2,201405,48,9.00
992061984079750,91002,1,201405,25,14.00
503906980591589,93001,1,201405,54,30.00
946049989039100,93001,1,201405,59,25.00
203900870698749,93001,1,201405,51,12.00
769679930639002,93001,1,201405,31,10.10
041630390994199,93001,2,201405,62,15.00
710000030465715,91001,1,201405,32,24.00
710000030465715,91001,4,201405,26,15.00
701099063900692,93001,2,201405,51,8.25
914020933178500,91001,1,201405,35,15.00
914020933178500,91001,2,201405,50,14.00
914020933178500,91001,5,201405,22,9.00
520906098213349,93001,2,201405,42,14.00
310109730465785,93001,1,201405,53,10.30
507904651087301,91001,2,201405,47,9.00
710109830465705,91001,1,201405,74,10.35
148240461700971,91001,1,201405,39,10.00
148240461700971,91001,2,201405,33,10.00
975041947178710,91001,5,201405,20,7.75
507904651197301,91002,2,201405,21,22.00
951409570479107,91001,2,201405,25,13.50
191963005052225,93001,1,201405,39,15.00
191963005052225,93001,2,201405,40,25.00
229280695680971,91001,1,201405,45,27.00
193973404073228,93001,2,201405,50,15.00
971052789179530,91001,1,201405,30,10.50
821891043908690,93001,1,201405,59,14.14
550921090913859,93001,4,201405,40,7.38
220921091913489,93001,2,201405,25,8.00
012891320994291,93001,1,201405,64,30.00
012891320994291,93001,2,201405,61,18.00
710200051278114,91001,1,201405,39,19.00
710200051278114,91001,3,201405,19,8.00
710200051278114,91001,4,201405,20,8.00
106017309060201,91001,4,201405,27,18.00
007000191106362,91001,1,201405,38,8.00
918002471139270,93001,1,201405,59,13.00
918002471139270,93001,2,201405,57,12.00
199917806050278,91001,1,201405,63,13.00
710209989716580,91001,3,201405,23,10.00
944092991139160,93001,2,201405,66,20.00
944092991139160,93001,3,201405,38,12.00
930197129200862,93001,1,201405,38,9.50
106087509053301,91001,2,201405,51,19.00
931805057001306,91001,1,201405,44,25.25
931805057001306,91001,2,201405,48,18.15
929093946179660,91261,2,201405,25,19.85
103905931693063,93001,1,201405,43,40.00
379060391350971,91001,1,201405,36,18.21
973419530879104,93001,1,201405,38,12.00
431884037001202,91001,1,201405,38,13.50
031800027906997,91001,1,201405,35,23.75
080931093017409,91001,1,201405,29,19.25
210931090113229,93001,1,201405,25,11.00
903889170499109,91001,1,201405,52,8.25
030910091723019,93001,1,201405,75,8.50
901019030139207,93002,1,201405,34,11.00
199500252510972,91001,4,201405,24,10.00
678261499100824,91002,1,201405,34,10.00
678261499100824,91002,2,201405,35,7.50
189690218440672,91001,1,201405,26,27.00
189690218440672,91001,2,201405,19,9.00
720100046449915,91001,1,201405,38,12.50
068712710694996,91001,1,201405,45,21.21
068712710694996,91001,3,201405,19,7.07
812941067909766,91001,1,201405,20,8.00
061342710697296,91001,2,201405,58,10.00
921769670316204,91001,1,201405,69,10.00
722176097908596,91001,1,201405,52,10.35
722176097908596,91001,3,201405,24,10.00
133206080200145,93001,1,201405,30,12.00
935082961239750,93001,1,201405,26,11.83
901052965239630,93001,1,201405,49,11.75
932199270529202,91001,1,201405,39,25.00
932199270529202,91001,2,201405,38,20.00
620920068123019,93001,1,201405,28,15.00
620920068123019,93001,2,201405,24,12.00
299640579720632,93001,2,201405,65,15.00
977072955239880,93001,2,201405,20,8.05
977072955239880,93001,3,201405,18,7.07
962033900279060,91001,2,201405,69,10.00
630930092027069,91001,1,201405,61,9.00
500746094427459,91001,4,201405,39,12.50
298957001060468,91001,1,201405,55,28.04
298957001060468,91001,2,201405,58,20.00
942173063906393,93001,2,201405,39,7.50
942173063906393,93001,3,201405,25,16.49
