HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRTAGE,PTERNHLY,PWCMPWGT
027690310999096,91001,1,201401,57,27.00,3517.1610
027690310999096,91001,2,201401,57,9.00,3250.4944
901969230679009,91001,2,201401,34,16.00,2986.7024
008097508015161,92001,2,201401,50,11.00,3598.4468
008097508015161,92001,3,201401,22,7.75,4368.4092
810961057001508,92001,1,201401,25,14.00,3752.6625
921899830559007,91001,1,201401,34,21.75,3778.9332
921899830559007,91001,2,201401,33,15.74,2835.0406
110350027909861,92001,2,201401,40,14.50,6320.1772
875095569100620,92001,1,201401,22,8.50,3397.8082
875095569100620,92001,2,201401,20,8.50,3397.8082
007087505071191,92001,1,201401,61,29.29,3655.3030
199020788270970,92001,1,201401,29,22.00,3635.4750
199020788270970,92001,2,201401,25,9.00,2818.4605
820912090707789,92001,1,201401,32,18.00,3719.8921
075680310997590,91001,1,201401,27,11.25,3476.4719
075680310997590,91001,2,201401,30,14.00,3990.6648
094963207041908,91001,1,201401,51,12.65,1554.9933
094963207041908,91001,2,201401,52,18.75,1314.5605
507004651107300,92001,1,201401,46,17.05,423.1707
079240461700971,92001,1,201401,50,10.00,464.3826
079240461700971,92001,3,201401,20,2.30,637.9915
103903021883450,91001,1,201401,60,13.60,499.2159
190963404034018,91001,1,201401,35,10.00,484.8403
474196408000831,92001,1,201401,63,14.50,405.9781
474196408000831,92001,2,201401,59,2.50,431.1700
640900094317149,92001,1,201401,48,17.50,413.9838
640900094317149,92001,2,201401,48,45.00,461.0178
095571310929387,91001,3,201401,17,9.50,361.4717
095571310929387,91001,4,201401,15,10.00,0.0000
912071404178460,92001,2,201401,26,11.00,450.6406
148240461700971,92001,1,201401,51,11.00,342.3973
148240461700971,92001,2,201401,26,8.00,380.9429
710109805457784,92001,2,201401,21,9.00,377.5897
940071947179550,92001,2,201401,27,31.00,342.4992
992019830769105,91001,1,201401,50,18.25,3363.7860
992019830769105,91001,2,201401,17,7.25,4478.7223
971062905139890,91001,1,201401,25,11.75,6424.7244
807904621896442,92001,1,201401,74,9.00,3420.2689
807904621896442,92001,2,201401,65,21.00,3576.0182
021438007901795,92001,1,201401,47,7.79,3939.4826
021438007901795,92001,2,201401,44,7.79,3568.2871
021438007901795,92001,3,201401,19,7.79,3222.7979
107001141108752,92001,1,201401,55,10.00,3458.6932
310200048086710,91001,1,201401,33,36.00,3840.2148
193973404073228,91001,2,201401,23,9.05,4593.2695
193973404073228,91001,3,201401,25,10.00,3666.9677
450928093613849,91001,1,201401,67,10.00,4331.6624
085461320998493,91001,1,201401,52,12.50,3684.4899
085461320998493,91001,2,201401,49,15.00,3937.7453
942839830459106,91001,1,201401,64,25.00,3861.5961
