                       2016         2017         2018         2019  \
GDP                   0.002        0.002        0.002        0.002   
Consumption           0.001        0.001        0.001        0.001   
Investment            0.005        0.005        0.005        0.005   
Hours Worked          0.003        0.003        0.003        0.003   
Wages                -0.001       -0.001       -0.001       -0.001   
Interest Rates        0.004        0.004        0.003        0.003   
Total Taxes          -0.011       -0.010       -0.010       -0.010   

                       2020         2021         2022         2023  \
GDP                   0.002        0.002        0.003        0.003   
Consumption           0.001        0.002        0.002        0.002   
Investment            0.005        0.005        0.005        0.005   
Hours Worked          0.003        0.003        0.003        0.003   
Wages                -0.001       -0.000       -0.000       -0.000   
Interest Rates        0.002        0.002        0.001        0.001   
Total Taxes          -0.010       -0.010       -0.010       -0.010   

                       2024         2025    2016-2025  Steady State  
GDP                   0.003        0.003        0.002         0.003  
Consumption           0.002        0.002        0.001         0.003  
Investment            0.004        0.004        0.005         0.004  
Hours Worked          0.003        0.003        0.003         0.003  
Wages                -0.000       -0.000       -0.001         0.000  
Interest Rates        0.001        0.000        0.002        -0.002  
Total Taxes          -0.010       -0.010       -0.010        -0.009  
