Codes:,land_net,inventories_income,accumulated_depreciation_income,land_income,inventories_net,accumulated_depreciation_net,depreciable_assets_net,depreciable_assets_income
1,957193458000.0,197039572000.0,1.214106307e+12,542677574000.0,304131610000.0,1.743125198e+12,5.313571562e+12,3.216140313e+12
11,55465705012.0,5847863988.05,46052450000.0,26758378012.0,11290745994.0,72483123000.0,111736098994.0,64519540006.0
111,24333867009.5,1546418785.31,27661057205.2,13964051009.5,2657674200.44,37593808000.0,53881219995.3,37138151209.9
1111,4866773401.9,309283757.062,5532211441.04,2792810201.9,531534840.088,7518761600.0,10776243999.1,7427630241.99
11111,695253343.129,44183393.866,790315920.148,398972885.986,75933548.584,1074108800.0,1539463428.44,1061090034.57
111110,695253343.129,44183393.866,790315920.148,398972885.986,75933548.584,1074108800.0,1539463428.44,1061090034.57
11112,695253343.129,44183393.866,790315920.148,398972885.986,75933548.584,1074108800.0,1539463428.44,1061090034.57
111120,695253343.129,44183393.866,790315920.148,398972885.986,75933548.584,1074108800.0,1539463428.44,1061090034.57
11113,695253343.129,44183393.866,790315920.148,398972885.986,75933548.584,1074108800.0,1539463428.44,1061090034.57
111130,695253343.129,44183393.866,790315920.148,398972885.986,75933548.584,1074108800.0,1539463428.44,1061090034.57
11114,695253343.129,44183393.866,790315920.148,398972885.986,75933548.584,1074108800.0,1539463428.44,1061090034.57
111140,695253343.129,44183393.866,790315920.148,398972885.986,75933548.584,1074108800.0,1539463428.44,1061090034.57
11115,695253343.129,44183393.866,790315920.148,398972885.986,75933548.584,1074108800.0,1539463428.44,1061090034.57
111150,695253343.129,44183393.866,790315920.148,398972885.986,75933548.584,1074108800.0,1539463428.44,1061090034.57
11116,695253343.129,44183393.866,790315920.148,398972885.986,75933548.584,1074108800.0,1539463428.44,1061090034.57
111160,695253343.129,44183393.866,790315920.148,398972885.986,75933548.584,1074108800.0,1539463428.44,1061090034.57
11119,695253343.129,44183393.866,790315920.148,398972885.986,75933548.584,1074108800.0,1539463428.44,1061090034.57
111191,347626671.564,22091696.933,395157960.074,199486442.993,37966774.292,537054400.0,769731714.218,530545017.285
111199,347626671.564,22091696.933,395157960.074,199486442.993,37966774.292,537054400.0,769731714.218,530545017.285
1112,4866773401.9,309283757.062,5532211441.04,2792810201.9,531534840.088,7518761600.0,10776243999.1,7427630241.99
11121,4866773401.9,309283757.062,5532211441.04,2792810201.9,531534840.088,7518761600.0,10776243999.1,7427630241.99
111211,2433386700.95,154641878.531,2766105720.52,1396405100.95,265767420.044,3759380800.0,5388121999.53,3713815120.99
111219,2433386700.95,154641878.531,2766105720.52,1396405100.95,265767420.044,3759380800.0,5388121999.53,3713815120.99
1113,4866773401.9,309283757.062,5532211441.04,2792810201.9,531534840.088,7518761600.0,10776243999.1,7427630241.99
11131,1622257800.63,103094585.687,1844070480.35,930936733.967,177178280.029,2506253866.67,3592081333.02,2475876747.33
111310,1622257800.63,103094585.687,1844070480.35,930936733.967,177178280.029,2506253866.67,3592081333.02,2475876747.33
11132,1622257800.63,103094585.687,1844070480.35,930936733.967,177178280.029,2506253866.67,3592081333.02,2475876747.33
111320,1622257800.63,103094585.687,1844070480.35,930936733.967,177178280.029,2506253866.67,3592081333.02,2475876747.33
11133,1622257800.63,103094585.687,1844070480.35,930936733.967,177178280.029,2506253866.67,3592081333.02,2475876747.33
111331,231751114.376,14727797.9553,263438640.049,132990961.995,25311182.8613,358036266.667,513154476.145,353696678.19
111332,231751114.376,14727797.9553,263438640.049,132990961.995,25311182.8613,358036266.667,513154476.145,353696678.19
111333,231751114.376,14727797.9553,263438640.049,132990961.995,25311182.8613,358036266.667,513154476.145,353696678.19
111334,231751114.376,14727797.9553,263438640.049,132990961.995,25311182.8613,358036266.667,513154476.145,353696678.19
111335,231751114.376,14727797.9553,263438640.049,132990961.995,25311182.8613,358036266.667,513154476.145,353696678.19
111336,231751114.376,14727797.9553,263438640.049,132990961.995,25311182.8613,358036266.667,513154476.145,353696678.19
111339,231751114.376,14727797.9553,263438640.049,132990961.995,25311182.8613,358036266.667,513154476.145,353696678.19
1114,4866773401.9,309283757.062,5532211441.04,2792810201.9,531534840.088,7518761600.0,10776243999.1,7427630241.99
11141,2433386700.95,154641878.531,2766105720.52,1396405100.95,265767420.044,3759380800.0,5388121999.53,3713815120.99
111411,1216693350.47,77320939.2656,1383052860.26,698202550.475,132883710.022,1879690400.0,2694060999.76,1856907560.5
111419,1216693350.47,77320939.2656,1383052860.26,698202550.475,132883710.022,1879690400.0,2694060999.76,1856907560.5
11142,2433386700.95,154641878.531,2766105720.52,1396405100.95,265767420.044,3759380800.0,5388121999.53,3713815120.99
111421,1216693350.47,77320939.2656,1383052860.26,698202550.475,132883710.022,1879690400.0,2694060999.76,1856907560.5
111422,1216693350.47,77320939.2656,1383052860.26,698202550.475,132883710.022,1879690400.0,2694060999.76,1856907560.5
1119,4866773401.9,309283757.062,5532211441.04,2792810201.9,531534840.088,7518761600.0,10776243999.1,7427630241.99
11191,973354680.38,61856751.4125,1106442288.21,558562040.38,106306968.018,1503752320.0,2155248799.81,1485526048.4
111910,973354680.38,61856751.4125,1106442288.21,558562040.38,106306968.018,1503752320.0,2155248799.81,1485526048.4
11192,973354680.38,61856751.4125,1106442288.21,558562040.38,106306968.018,1503752320.0,2155248799.81,1485526048.4
111920,973354680.38,61856751.4125,1106442288.21,558562040.38,106306968.018,1503752320.0,2155248799.81,1485526048.4
11193,973354680.38,61856751.4125,1106442288.21,558562040.38,106306968.018,1503752320.0,2155248799.81,1485526048.4
111930,973354680.38,61856751.4125,1106442288.21,558562040.38,106306968.018,1503752320.0,2155248799.81,1485526048.4
11194,973354680.38,61856751.4125,1106442288.21,558562040.38,106306968.018,1503752320.0,2155248799.81,1485526048.4
111940,973354680.38,61856751.4125,1106442288.21,558562040.38,106306968.018,1503752320.0,2155248799.81,1485526048.4
11199,973354680.38,61856751.4125,1106442288.21,558562040.38,106306968.018,1503752320.0,2155248799.81,1485526048.4
111991,324451560.127,20618917.1375,368814096.069,186187346.793,35435656.0059,501250773.333,718416266.603,495175349.466
111992,324451560.127,20618917.1375,368814096.069,186187346.793,35435656.0059,501250773.333,718416266.603,495175349.466
111998,324451560.127,20618917.1375,368814096.069,186187346.793,35435656.0059,501250773.333,718416266.603,495175349.466
112,19252206000.0,3190456000.0,14614786000.0,6687500000.0,7084228000.0,29526765000.0,48550449000.0,20612706000.0
1121,3208701000.0,531742666.667,2435797666.67,1114583333.33,1180704666.67,4921127500.0,8091741500.0,3435451000.0
11211,1069567000.0,177247555.556,811932555.556,371527777.778,393568222.222,1640375833.33,2697247166.67,1145150333.33
112111,534783500.0,88623777.7778,405966277.778,185763888.889,196784111.111,820187916.667,1348623583.33,572575166.667
112112,534783500.0,88623777.7778,405966277.778,185763888.889,196784111.111,820187916.667,1348623583.33,572575166.667
11212,1069567000.0,177247555.556,811932555.556,371527777.778,393568222.222,1640375833.33,2697247166.67,1145150333.33
112120,1069567000.0,177247555.556,811932555.556,371527777.778,393568222.222,1640375833.33,2697247166.67,1145150333.33
11213,1069567000.0,177247555.556,811932555.556,371527777.778,393568222.222,1640375833.33,2697247166.67,1145150333.33
112130,1069567000.0,177247555.556,811932555.556,371527777.778,393568222.222,1640375833.33,2697247166.67,1145150333.33
1122,3208701000.0,531742666.667,2435797666.67,1114583333.33,1180704666.67,4921127500.0,8091741500.0,3435451000.0
11221,3208701000.0,531742666.667,2435797666.67,1114583333.33,1180704666.67,4921127500.0,8091741500.0,3435451000.0
112210,3208701000.0,531742666.667,2435797666.67,1114583333.33,1180704666.67,4921127500.0,8091741500.0,3435451000.0
1123,3208701000.0,531742666.667,2435797666.67,1114583333.33,1180704666.67,4921127500.0,8091741500.0,3435451000.0
11231,641740200.0,106348533.333,487159533.333,222916666.667,236140933.333,984225500.0,1618348300.0,687090200.0
