NAICS,Mainframes,PCs,DASDs,Printers,Terminals,Tape drives,Storage devices,System integrators,Communications,Nonelectro medical instruments,Electro medical instruments,Nonmedical instruments,Photocopy and related equipment,Office and accounting equipment,Nuclear fuel,Other fabricated metals,Steam engines,Internal combustion engines,Metalworking machinery,Special industrial machinery,General industrial equipment,Electric transmission and distribution,Light trucks (including utility vehicles),"Other trucks, buses and truck trailers",Autos,Aircraft,Ships and boats,Railroad equipment,Household furniture,Other furniture,Other agricultural machinery,Farm tractors,Other construction machinery,Construction tractors,Mining and oilfield machinery,Service industry machinery,Household appliances,Other electrical,Other,Office,Hospitals,Special care,Medical buildings,Multimerchandise shopping,Food and beverage establishments,Warehouses,Mobile structures,Other commercial,Manufacturing,Electric,Wind and solar,Gas,Petroleum pipelines,Communication,Petroleum and natural gas,Mining,Religious,Educational and vocational,Lodging,Amusement and recreation,Air transportation,Other transportation,Other railroad,Track replacement,Local transit structures,Other land transportation,Farm,Water supply,Sewage and waste disposal,Public safety,Highway and conservation and development,Prepackaged software,Custom software,Own account software,Pharmaceutical and medicine manufacturing,"Chemical manufacturing, ex. pharma and med",Semiconductor and other component manufacturing,Computers and peripheral equipment manufacturing,Communications equipment manufacturing,Navigational and other instruments manufacturing,"Other computer and electronic manufacturing, n.e.c.",Motor vehicles and parts manufacturing,Aerospace products and parts manufacturing,Other manufacturing,Scientific research and development services,Software publishers,Financial and real estate services,Computer systems design and related services,"All other nonmanufacturing, n.e.c.",Private universities and colleges,Other nonprofit institutions,Theatrical movies,Long-lived television programs,Books,Music,Other entertainment originals
[[1]],23448000000,70681000000,0,12046000000,16137000000,0,10694500000,37468500000,5.92202E+11,2.44596E+11,1.40445E+11,1.65783E+11,34492000000,9257000000,6813000000,1.50143E+11,98586000000,13810000000,2.5401E+11,3.29438E+11,5.65029E+11,4.62399E+11,2.40431E+11,1.7E+11,1.8194E+11,3.44183E+11,79145500000,1.39096E+11,17254500000,2.53388E+11,1.273E+11,54455000000,2.2086E+11,13595500000,1.02516E+11,1.56709E+11,4750500000,19914000000,3.07358E+11,1.71226E+12,6.56843E+11,1.45768E+11,2.08689E+11,4.62172E+11,2.7547E+11,3.58487E+11,8612000000,3.84939E+11,1.38181E+12,1.12261E+12,1.33127E+11,3.9686E+11,1.33354E+11,6.3365E+11,1.24595E+12,1.0001E+11,2.98707E+11,4.95495E+11,5.04907E+11,3.1951E+11,32695000000,4666000000,1.71166E+11,2.08047E+11,11967000000,11803500000,3.19919E+11,58531500000,56313000000,25633000000,36961000000,89476500000,2.52789E+11,2.58237E+11,0,63831000000,0,10817000000,43410000000,34840000000,1850000000,45149000000,0,0,0,21607000000,7717000000,11434000000,0,0,0,1.76243E+11,0,,,
[[11]],7000000,180000000,0,49000000,39000000,0,18000000,134000000,713000000,69000000,41000000,36711000000,11000000,6000000,0,3366000000,0,292000000,278000000,375000000,5703000000,673000000,10540000000,4388000000,3816000000,334000000,1778000000,0,0,928000000,1.23721E+11,38685000000,6156000000,191000000,5000000,295000000,0,42000000,23965000000,3817000000,0,4000000,0,0,0,3312000000,403000000,663000000,2280000000,13000000,5060000000,1000000,2000000,0,0,0,0,0,0,0,0,166000000,0,0,0,588000000,2.6099E+11,1513000000,672000000,2145000000,3345000000,233000000,119000000,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
[[111]],674700.7765,20915724.07,0,1349401.553,2024102.33,0,2024102.33,7421708.542,136289556.9,15518117.86,0,24364794441,6072306.989,674700.7765,0,2086174801,0,161253485.6,145060667,-3.10E-08,972918519.7,344097396,6591826587,2393163654,2432971000,0,0,0,0,116048533.6,71790861424,25275640490,271229712.2,14168716.31,4.84E-10,153831777,0,8096409.318,14839368879,0,0,-2.42E-10,0,0,0,2.48E-07,-3.10E-08,-6.20E-08,0,0,3305359104,-6.05E-11,-1.21E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76046E+11,0,0,0,0,39807345.81,11469913.2,2024102.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
[[1111]],134940.1553,4183144.814,0,269880.3106,404820.4659,0,404820.4659,1484341.708,27257911.37,3103623.572,0,4872958888,1214461.398,134940.1553,0,417234960.2,0,32250697.12,29012133.39,-6.20E-09,194583703.9,68819479.2,1318365317,478632730.9,486594200,0,0,0,0,23209706.71,14358172285,5055128098,54245942.43,2833743.261,9.68E-11,30766355.41,0,1619281.864,2967873776,0,0,-4.84E-11,0,0,0,4.96E-08,-6.20E-09,-1.24E-08,0,0,661071820.8,-1.21E-11,-2.42E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,35209260022,0,0,0,0,7961469.163,2293982.64,404820.4659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
[[11111]],19277.16504,597592.1163,0,38554.33009,57831.49513,0,57831.49513,212048.8155,3893987.339,443374.796,0,696136984,173494.4854,19277.16504,0,59604994.31,0,4607242.445,4144590.484,-8.85E-10,27797671.99,9831354.172,188337902.5,68376104.41,69513457.15,0,0,0,0,3315672.387,2051167469,722161156.8,7749420.347,404820.4659,1.38E-11,4395193.63,0,231325.9805,423981968,0,0,-6.92E-12,0,0,0,7.08E-09,-8.85E-10,-1.77E-09,0,0,94438831.55,-1.73E-12,-3.46E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,5029894289,0,0,0,0,1137352.738,327711.8057,57831.49513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
[[111110]],19277.16504,597592.1163,0,38554.33009,57831.49513,0,57831.49513,212048.8155,3893987.339,443374.796,0,696136984,173494.4854,19277.16504,0,59604994.31,0,4607242.445,4144590.484,-8.85E-10,27797671.99,9831354.172,188337902.5,68376104.41,69513457.15,0,0,0,0,3315672.387,2051167469,722161156.8,7749420.347,404820.4659,1.38E-11,4395193.63,0,231325.9805,423981968,0,0,-6.92E-12,0,0,0,7.08E-09,-8.85E-10,-1.77E-09,0,0,94438831.55,-1.73E-12,-3.46E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,5029894289,0,0,0,0,1137352.738,327711.8057,57831.49513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
[[11112]],19277.16504,597592.1163,0,38554.33009,57831.49513,0,57831.49513,212048.8155,3893987.339,443374.796,0,696136984,173494.4854,19277.16504,0,59604994.31,0,4607242.445,4144590.484,-8.85E-10,27797671.99,9831354.172,188337902.5,68376104.41,69513457.15,0,0,0,0,3315672.387,2051167469,722161156.8,7749420.347,404820.4659,1.38E-11,4395193.63,0,231325.9805,423981968,0,0,-6.92E-12,0,0,0,7.08E-09,-8.85E-10,-1.77E-09,0,0,94438831.55,-1.73E-12,-3.46E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,5029894289,0,0,0,0,1137352.738,327711.8057,57831.49513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
[[111120]],19277.16504,597592.1163,0,38554.33009,57831.49513,0,57831.49513,212048.8155,3893987.339,443374.796,0,696136984,173494.4854,19277.16504,0,59604994.31,0,4607242.445,4144590.484,-8.85E-10,27797671.99,9831354.172,188337902.5,68376104.41,69513457.15,0,0,0,0,3315672.387,2051167469,722161156.8,7749420.347,404820.4659,1.38E-11,4395193.63,0,231325.9805,423981968,0,0,-6.92E-12,0,0,0,7.08E-09,-8.85E-10,-1.77E-09,0,0,94438831.55,-1.73E-12,-3.46E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,5029894289,0,0,0,0,1137352.738,327711.8057,57831.49513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
[[11113]],19277.16504,597592.1163,0,38554.33009,57831.49513,0,57831.49513,212048.8155,3893987.339,443374.796,0,696136984,173494.4854,19277.16504,0,59604994.31,0,4607242.445,4144590.484,-8.85E-10,27797671.99,9831354.172,188337902.5,68376104.41,69513457.15,0,0,0,0,3315672.387,2051167469,722161156.8,7749420.347,404820.4659,1.38E-11,4395193.63,0,231325.9805,423981968,0,0,-6.92E-12,0,0,0,7.08E-09,-8.85E-10,-1.77E-09,0,0,94438831.55,-1.73E-12,-3.46E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,5029894289,0,0,0,0,1137352.738,327711.8057,57831.49513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
[[111130]],19277.16504,597592.1163,0,38554.33009,57831.49513,0,57831.49513,212048.8155,3893987.339,443374.796,0,696136984,173494.4854,19277.16504,0,59604994.31,0,4607242.445,4144590.484,-8.85E-10,27797671.99,9831354.172,188337902.5,68376104.41,69513457.15,0,0,0,0,3315672.387,2051167469,722161156.8,7749420.347,404820.4659,1.38E-11,4395193.63,0,231325.9805,423981968,0,0,-6.92E-12,0,0,0,7.08E-09,-8.85E-10,-1.77E-09,0,0,94438831.55,-1.73E-12,-3.46E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,5029894289,0,0,0,0,1137352.738,327711.8057,57831.49513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
