"Page: 86  March 12, 2015"
""
"L.110 Private Depository Institutions 1"
"Billions of dollars; amounts outstanding end of period, not seasonally adjusted                                                                                                                                                   "
""
"","2010","2011","2012","2013","2014","2013","2013","2014","2014","2014","2014","",
"Description","","","","","","Q3","Q4","Q1","Q2","Q3","Q4","",
"Private depository institutions; total financial assets","   13697.4","   14580.2","   14985.6","   15920.5","   16894.7","   15730.8","   15920.5","   16229.3","   16521.1","   16763.4","   16894.7","    1",
"Private depository institutions; vault cash; asset","      52.7","      60.8","      71.1","      73.6","      75.7","      62.2","      73.6","      64.8","      64.9","      64.7","      75.7","    2",
"Monetary authority; depository institution reserves; liability","     968.1","    1562.3","    1491.0","    2249.1","    2378.0","    2232.4","    2249.1","    2444.3","    2455.8","    2537.8","    2378.0","    3",
"Private depository institutions; federal funds and security repurchase agreements; asset","     356.1","     378.6","     490.6","     392.6","     402.7","     416.5","     392.6","     402.2","     430.7","     414.8","     402.7","    4",
"Private depository institutions; credit market instruments; asset","   10968.9","   11177.8","   11605.9","   11883.3","   12659.1","   11694.0","   11883.3","   11981.1","   12222.2","   12387.6","   12659.1","    5",
"Private depository institutions; open market paper; asset","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","    6",
"Private depository institutions; Treasury securities; asset","     299.6","     252.9","     339.5","     304.4","     504.4","     276.1","     304.4","     351.8","     385.4","     446.9","     504.4","    7",
"Private depository institutions; agency- and GSE-backed securities; asset","    1718.1","    1851.7","    1901.3","    1943.8","    1969.9","    1934.5","    1943.8","    1957.3","    1959.7","    1974.0","    1969.9","    8",
"Private depository institutions; municipal securities and loans; asset","     257.1","     303.9","     371.9","     427.0","     458.0","     415.3","     427.0","     433.2","     437.6","     448.0","     458.0","    9",
"Private depository institutions; corporate and foreign bonds; asset","     795.9","     800.2","     786.3","     770.2","     734.2","     773.1","     770.2","     756.7","     757.4","     733.5","     734.2","   10",
"Private depository institutions; depository institution loans n.e.c.; asset","    1903.1","    2117.3","    2322.2","    2508.7","    2816.9","    2424.7","    2508.7","    2560.6","    2652.4","    2696.3","    2816.9","   11",
"Private depository institutions; other loans and advances; asset","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","   12",
