"Page: 116  March 12, 2015"
""
"L.210 Agency- and GSE-Backed Securities 1"
"Billions of dollars; amounts outstanding end of period, not seasonally adjusted                                                                                                                                                   "
""
"","2010","2011","2012","2013","2014","2013","2013","2014","2014","2014","2014","",
"Description","","","","","","Q3","Q4","Q1","Q2","Q3","Q4","",
"All sectors; U.S. government agency securities; liability","    7598.2","    7577.4","    7554.6","    7794.1","    7934.4","    7713.6","    7794.1","    7721.1","    7774.6","    7833.7","    7934.4","    1",
"Federal government; budget agency securities; liability","      24.2","      25.3","      24.9","      24.5","      24.4","      25.1","      24.5","      24.0","      24.0","      23.9","      24.4","    2",
"Government-sponsored enterprises; GSE issues; liability","    6434.5","    6247.3","    6092.7","    6200.2","    6265.1","    6147.7","    6200.2","    6111.4","    6150.6","    6186.2","    6265.1","    3",
"Agency-and GSE-backed mortgage pools; total mortgages; asset","    1139.5","    1304.8","    1437.0","    1569.4","    1644.9","    1540.8","    1569.4","    1585.8","    1600.0","    1623.6","    1644.9","    4",
"All sectors; agency- and GSE-backed securities; asset","    7598.2","    7577.4","    7554.6","    7794.1","    7934.4","    7713.6","    7794.1","    7721.1","    7774.6","    7833.7","    7934.4","    5",
"Households and nonprofit organizations; agency- and GSE-backed securities; asset","     332.7","     303.9","     163.7","     112.2","       1.1","     105.8","     112.2","      14.3","      22.6","       6.1","       1.1","    6",
"Nonfinancial corporate business; agency- and GSE-backed securities; asset","      16.0","      14.3","      13.1","       9.3","      13.4","       7.7","       9.3","      10.7","      12.6","      12.4","      13.4","    7",
"Federal government; agency- and GSE-backed securities; asset","     149.2","      31.1","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","       0.0","    8",
"State and local governments, excluding employee retirement funds; agency- and GSE-backed securities; asset","     516.7","     503.8","     494.7","     481.3","     461.2","     486.8","     481.3","     483.2","     473.7","     463.1","     461.2","    9",
"Monetary authority; agency- and GSE-backed securities; asset","    1139.6","     941.7","    1003.4","    1547.4","    1775.5","    1402.7","    1547.4","    1650.5","    1707.6","    1736.4","    1775.5","   10",
"U.S.-chartered depository institutions; agency- and GSE-backed securities; asset","    1527.2","    1634.1","    1669.6","    1717.3","    1760.3","    1700.4","    1717.3","    1731.0","    1735.9","    1758.2","    1760.3","   11",
"Foreign banking offices in the U.S.; agency- and GSE-backed securities; asset","      26.5","      30.6","      32.1","      25.4","      20.5","      26.2","      25.4","      22.5","      20.9","      20.5","      20.5","   12",
"Banks in U.S.-affiliated areas; agency- and GSE-backed securities; asset","      12.8","       4.8","       2.6","       1.9","       1.7","       1.9","       1.9","       1.8","       1.8","       1.8","       1.7","   13",
"Credit unions; agency- and GSE-backed securities; asset","     151.5","     182.1","     197.0","     199.2","     187.4","     206.0","     199.2","     202.0","     201.0","     193.6","     187.4","   14",
"Property-casualty insurance companies; agency- and GSE-backed securities; asset","     115.8","     122.7","     114.3","     108.7","     102.1","     110.2","     108.7","     106.7","     105.5","     104.8","     102.1","   15",
"Life insurance companies; agency- and GSE-backed securities; asset","     376.0","     374.4","     360.9","     354.1","     334.1","     355.4","     354.1","     349.6","     344.8","     338.8","     334.1","   16",
"Private pension funds; agency- and GSE-backed securities; asset","     184.0","     188.2","     210.4","     225.8","     224.7","     221.7","     225.8","     224.4","     228.5","     226.8","     224.7","   17",
"Federal government retirement funds; agency- and GSE-backed securities; asset","       5.8","       6.5","       8.1","       6.4","       6.0","       6.6","       6.4","       5.7","       5.8","       5.8","       6.0","   18",
"State and local government employee retirement funds; agency- and GSE-backed securities; asset","     169.6","     182.0","     202.9","     216.2","     223.5","     215.2","     216.2","     218.5","     228.5","     223.9","     223.5","   19",
"Money market mutual funds; agency- and GSE-backed securities; asset","     402.8","     403.7","     343.5","     361.3","     384.6","     354.2","     361.3","     326.2","     327.8","     346.5","     384.6","   20",
"Mutual funds; agency- and GSE-backed securities; asset","     681.3","     787.1","     875.9","     850.4","     831.8","     850.4","     850.4","     836.1","     801.1","     824.0","     831.8","   21",
"Government-sponsored enterprises; agency- and GSE-backed securities; asset","     377.0","     358.9","     310.6","     287.9","     282.8","     294.7","     287.9","     283.6","     285.6","     290.3","     282.8","   22",
"Issuers of asset-backed securities; agency- and GSE-backed securities; asset","       3.6","       0.3","       0.3","       0.1","       0.4","       0.1","       0.1","       0.1","       0.2","       0.2","       0.4","   23",
"Mortgage real estate investment trusts; agency- and GSE-backed securities; asset","     143.4","     248.1","     357.6","     261.9","     268.4","     306.9","     261.9","     253.1","     264.1","     258.8","     268.4","   24",
"Security brokers and dealers; agency- and GSE-backed securities; asset","     149.8","     147.7","     169.6","     114.2","     121.9","     105.7","     114.2","     113.3","     114.2","     106.7","     121.9","   25",
"Holding companies; agency- and GSE-backed securities; asset","      21.1","      33.1","      22.9","      28.0","      28.0","      29.1","      28.0","      26.1","      26.4","      27.2","      28.0","   26",
"Rest of the world; agency- and GSE-backed securities; asset","    1095.8","    1078.2","    1001.2","     885.3","     905.1","     926.0","     885.3","     861.7","     866.0","     887.9","     905.1","   27",
