YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,RTND_ERNGS_APPR_IND,RTND_ERNGS_APPR,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,INTRST_IND,INTRST,COMP_TX_EXMT_INTRST_IND,COMP_TX_EXMT_INTRST,COMP_GRS_RNTS_IND,COMP_GRS_RNTS,GRS_RYLTS_IND,GRS_RYLTS,D_NET_STCG_IND,D_NET_STCG,D_NET_LTCG_TOT_IND,D_NET_LTCG_TOT,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,COMP_DIV_DOM_CORP_IND,COMP_DIV_DOM_CORP,COMP_DIV_FRN_CORP_IND,COMP_DIV_FRN_CORP,COMP_OTHR_RCPTS_IND,COMP_OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,CNTRBTNS_IND,CNTRBTNS,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,DP_PROD_ACTVTY_DED_IND,DP_PROD_ACTVTY_DED,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,COMP_TXBL_INCM_RFC_IND,COMP_TXBL_INCM_RFC,NET_INCM_IND,NET_INCM,NET_INCM_POS_IND,NET_INCM_POS,NET_INCM_NEG_IND,NET_INCM_NEG,NET_INCM_S_IND,NET_INCM_S,COMP_TOT_STAT_SPCL_DED_IND,COMP_TOT_STAT_SPCL_DED,NOLD_IND,NOLD,COMP_DIV_RCVD_DED_IND,COMP_DIV_RCVD_DED,COMP_INCM_SBJ_TX_TOT_IND,COMP_INCM_SBJ_TX_TOT,COMP_TX_BFR_CRS_IND,COMP_TX_BFR_CRS,INCM_TX_IND,INCM_TX,ALT_MIN_TX_IND,ALT_MIN_TX,FRN_TX_CR_IND,FRN_TX_CR,GEN_BUS_CR_IND,GEN_BUS_CR,MIN_TX_CR_IND,MIN_TX_CR,COMP_TX_AFTR_CRS_IND,COMP_TX_AFTR_CRS,(cash_dist + prpty_dist)_IND,(cash_dist + prpty_dist),STCK_DIST_IND,STCK_DIST
2011,1,1,13,0,2831,0,65773238773,0,3045462485,0,10629067914,0,211041205,0,693217113,0,2469120604,0,1268650553,0,4344985167,0,146409379,0,7234328426,0,24473418426,0,6254911634,0,2749854302,0,622550358,0,263892890,0,280309762,0,3523423727,0,552248253,0,4564419877,0,65773238773,0,4068487743,0,3115401357,0,16219206112,0,283931073,0,12300195349,0,7834695297,0,21951321841,0,1861250606,0,18145020944,0,216236650,0,3580120142,0,1851306502,0,14472086621,0,12055565963,0,1115736232,0,32718674,0,99806282,0,150345849,0,18297118,0,81264921,0,51874743,0,17593900,0,83510451,0,765372486,0,13667954257,0,8001833434,0,42999289,0,1156797906,0,93481326,0,198244525,0,144593291,0,237174762,0,653368174,0,11639774,0,131475646,0,550609345,0,20237477,0,143637694,0,106730750,0,172525268,0,20875571,0,23775366,0,1957954661,0,804132363,0,122725677,0,894139367,0,1077032123,0,182892757,0,8455772,0,336276050,0,105615191,0,11306831,0,761180842,0,269020064,0,266403587,0,2355924,0,99832151,0,16584364,0,1038115,0,151168814,0,495184483,0,11252041
2011,1,1,12,0,6784,0,7878478788,0,337256366,0,1022081803,0,27979755,0,248115244,0,248884524,0,332731235,0,300288378,0,16816152,0,222061859,0,3524638263,0,1190568939,0,564779852,0,85881009,0,35532406,0,76603626,0,739321558,0,148886280,0,310408125,0,7878478788,0,499773917,0,227221633,0,1279724451,0,67088902,0,954166580,0,499961390,0,4350541915,0,505633592,0,4014874648,0,21176814,0,-814805,0,190328336,0,3329547299,0,3034540017,0,90676298,0,12963302,0,18269570,0,17089110,0,6233245,0,12985235,0,10294231,0,1285773,0,8588728,0,116621790,0,3183315258,0,1996111459,0,20454290,0,322988871,0,19760699,0,18395683,0,56014958,0,58838325,0,82182725,0,1447738,0,30707272,0,104927975,0,3097006,0,32282478,0,18511050,0,48588638,0,3426112,0,8286301,0,357293677,0,146232041,0,8365269,0,141634008,0,203150126,0,61516118,0,12233282,0,81281110,0,19101079,0,1046391,0,109134508,0,38610442,0,38133999,0,433471,0,5152185,0,1614625,0,279823,0,31542678,0,97121883,0,466492
2011,1,1,11,0,5285,0,1966360188,0,121471872,0,355422370,0,8641883,0,79917779,0,62940328,0,78243664,0,79847081,0,3936310,0,67705846,0,702122141,0,312481353,0,156729016,0,18497389,0,8308222,0,20735968,0,201916725,0,29045061,0,63845544,0,1966360188,0,149255064,0,63347663,0,425271547,0,15275733,0,262877166,0,131053365,0,919279648,0,130084346,0,871036202,0,3344565,0,-60889272,0,24296192,0,929536649,0,851717595,0,23101130,0,3411392,0,4221053,0,4433025,0,1411814,0,5115197,0,2480936,0,416415,0,1152785,0,32075306,0,901568070,0,564791410,0,8189216,0,89629837,0,5276471,0,5210331,0,16175372,0,18252534,0,24210337,0,346702,0,8195067,0,27703033,0,712130,0,9340718,0,4242103,0,12934355,0,945711,0,4099727,0,101313016,0,27968579,0,1399438,0,25956625,0,51506979,0,25550354,0,6676877,0,17335339,0,5113159,0,270177,0,26194925,0,9220422,0,9115860,0,90461,0,928942,0,274229,0,67872,0,7945484,0,19630114,0,59138
2011,1,1,10,0,10083,0,1619840893,0,121715302,0,343687812,0,9210880,0,96515611,0,50924339,0,59444888,0,78517308,0,3226702,0,49262209,0,472620193,0,348494715,0,178453043,0,10783045,0,4399514,0,25050820,0,121232246,0,24168548,0,54597687,0,1619840893,0,145615812,0,67698183,0,383647658,0,21866770,0,190481071,0,104167133,0,706364266,0,101700043,0,655424519,0,2613765,0,-34616192,0,18757870,0,1101215348,0,1034030300,0,15961366,0,2640339,0,4078119,0,2603253,0,916239,0,3290996,0,2365265,0,334914,0,496705,0,34497852,0,1071434358,0,698141621,0,11605336,0,106582504,0,5861532,0,4938818,0,19471246,0,18303406,0,18123772,0,249300,0,6740508,0,31973029,0,658599,0,9767080,0,3845698,0,14117895,0,664186,0,3824866,0,116564960,0,29780990,0,714726,0,27855377,0,54124154,0,26268777,0,15356239,0,11758987,0,5203777,0,258955,0,23341513,0,8187221,0,8072311,0,99070,0,536533,0,287299,0,54933,0,7307751,0,17787265,0,285322
2011,1,1,9,0,10978,0,779357467,0,73443209,0,158414104,0,4247850,0,70293851,0,16787158,0,16514632,0,48158752,0,4237971,0,15414474,0,186493904,0,230161128,0,125375188,0,6973081,0,3152006,0,16781519,0,58053722,0,14713313,0,25118318,0,779357467,0,80677303,0,49809000,0,141790539,0,16925103,0,108283021,0,50604755,0,331267747,0,66741456,0,286686974,0,1924333,0,-11681677,0,12403339,0,804629541,0,770301239,0,5050856,0,779284,0,2018626,0,1172718,0,287799,0,2053440,0,1815094,0,230936,0,306251,0,20613298,0,787265659,0,537667276,0,9936723,0,75321327,0,3829578,0,2757717,0,13058775,0,13679789,0,9356906,0,129235,0,3707116,0,21106895,0,389703,0,6577502,0,2643545,0,10196118,0,337557,0,2219442,0,74350452,0,17363882,0,405761,0,16990359,0,36936469,0,19946110,0,14995921,0,5955416,0,3667057,0,176156,0,12412795,0,4367461,0,4264218,0,65509,0,213057,0,107681,0,17726,0,4028864,0,6956325,0,74064
2011,1,1,8,0,17209,0,602172396,0,66830650,0,116747667,0,3959759,0,77015347,0,6016288,0,5958371,0,43593213,0,4366408,0,6871758,0,118944180,0,216424534,0,122090638,0,3804033,0,1268016,0,16991387,0,37563021,0,11004972,0,19368925,0,602172396,0,68135501,0,50921224,0,87051627,0,19402360,0,96847004,0,50331258,0,229483423,0,55342670,0,216353080,0,1182517,0,-34839817,0,8555027,0,844890647,0,821078470,0,2210808,0,325634,0,1271779,0,620331,0,212697,0,1910149,0,1629766,0,169449,0,220582,0,15240984,0,829387670,0,586233004,0,11802371,0,77124570,0,3760676,0,1933971,0,14392647,0,13687688,0,7548923,0,109267,0,2626504,0,19174283,0,220181,0,6410449,0,2557648,0,9763329,0,271409,0,2112206,0,69658544,0,15502977,0,160371,0,15337714,0,35834991,0,20497277,0,17478705,0,3954764,0,2825239,0,124718,0,10425171,0,3622642,0,3575381,0,39608,0,129710,0,88567,0,19239,0,3384930,0,4455105,0,125295
2011,1,1,7,0,44692,0,690427383,0,87774653,0,142416016,0,4278698,0,112159599,0,2610410,0,3007284,0,48425956,0,8678814,0,5794590,0,99343177,0,290957134,0,173507833,0,3911440,0,1789020,0,23199370,0,30308856,0,10116729,0,21532363,0,690427383,0,87498551,0,80917193,0,78403186,0,31027113,0,117225637,0,32902837,0,262452866,0,69711078,0,197587094,0,1202695,0,7436881,0,13484883,0,1246732505,0,1216199811,0,1738762,0,291181,0,1570562,0,627279,0,177952,0,1886175,0,2191185,0,180640,0,136287,0,21732671,0,1222595906,0,875436061,0,21663924,0,112075731,0,5817503,0,2722095,0,22562680,0,21699695,0,8690268,0,147325,0,2411614,0,23857173,0,256160,0,9032899,0,3681999,0,13502102,0,283576,0,1094689,0,97660411,0,24136599,0,175362,0,24020780,0,48770306,0,24749525,0,27635432,0,3748805,0,3045244,0,135336,0,10492923,0,3594964,0,3549330,0,38206,0,61490,0,95862,0,20202,0,3417328,0,4381665,0,84551
2011,1,1,6,0,68376,0,479432471,0,64217248,0,96155375,0,1642294,0,84427703,0,953125,0,1269032,0,35956580,0,8212236,0,2546527,0,55727640,0,226489608,0,141035138,0,1334297,0,483159,0,20769959,0,19379380,0,7549540,0,12703892,0,479432471,0,65888413,0,53315380,0,47215332,0,33274381,0,91336051,0,22473201,0,165929713,0,37687079,0,108761866,0,1062297,0,29588099,0,11169627,0,945433914,0,922718243,0,1152473,0,139851,0,749381,0,440648,0,98389,0,1366676,0,1397629,0,184766,0,56901,0,17128958,0,925087244,0,640461438,0,22714342,0,90975922,0,4999067,0,2284942,0,18871524,0,16917856,0,6877139,0,100050,0,1347950,0,16347556,0,162430,0,7720221,0,2692827,0,10333309,0,167908,0,965062,0,81147700,0,20346670,0,10100,0,20216919,0,38421067,0,18204148,0,23771883,0,2287201,0,1931746,0,147952,0,6833521,0,2302683,0,2282007,0,21664,0,20330,0,54622,0,11221,0,2216530,0,2285820,0,28015
2011,1,1,5,0,406246,0,858374408,0,131216444,0,157229946,0,2790487,0,120351815,0,651768,0,832922,0,61629589,0,23035486,0,7805082,0,77066516,0,518439575,0,331854202,0,2015410,0,1130548,0,54112374,0,38791965,0,17907201,0,18877953,0,858374408,0,110512127,0,71187605,0,79033716,0,93397171,0,207357227,0,47311862,0,249574701,0,74272311,0,188736950,0,3740585,0,5153812,0,22328957,0,1771442416,0,1732026591,0,1523363,0,144640,0,1231701,0,432406,0,105304,0,2326359,0,3532206,0,275514,0,64039,0,29780293,0,1726299577,0,1067412493,0,67782533,0,204832119,0,13263601,0,4411830,0,47443025,0,39402635,0,12998881,0,192657,0,2673631,0,31480174,0,179367,0,12345193,0,6914694,0,19449115,0,230190,0,1193002,0,194094435,0,45142839,0,40639,0,45038838,0,81028872,0,35990034,0,50558701,0,4932279,0,4589655,0,220127,0,10714621,0,3213985,0,3182692,0,32717,0,34635,0,104832,0,13466,0,3061043,0,3520980,1,13659
2011,1,1,4,0,366495,0,259227349,0,48467597,0,33927950,0,341321,0,30494413,0,91819,0,256873,0,16011002,0,12042338,0,1809632,0,17285941,0,204589976,0,142013896,0,601150,0,327226,0,18846509,0,18412283,0,7832402,0,6904710,0,259227349,0,28121543,0,20276332,0,22596821,0,39921279,0,68836659,0,7309603,0,72165112,0,25017864,0,54257237,0,1807839,0,1008701,0,9926529,0,642762473,0,626116599,0,352201,0,25168,0,538744,0,42421,0,17093,0,638239,0,1471164,0,75576,0,19700,0,13465568,0,621972903,0,334429237,0,39099758,0,82957204,0,5990025,0,1182750,0,22065800,0,17416088,0,4843584,0,73565,0,1299387,0,11693675,0,27776,0,5278687,0,3318279,0,6808894,0,37958,0,465530,0,84984704,0,20789570,1,9750,0,20774152,0,33678472,0,12904321,0,22038046,0,1780078,0,1717091,0,58376,0,3242711,0,793732,0,789482,0,3852,0,13387,0,27106,1,1714,0,751524,0,1015708,1,18636
