tax_exempt_general_partners,partnership_general_partners,individual_general_partners,s_corporations,other_limited_partners,corporate_general_partners,partnership_limited_partners,individual_limited_partners,other_general_partners,c_corporations,corporate_limited_partners,sole_proprietorships,tax_exempt_limited_partners
8104821532,4.09014E+11,3.22856E+11,1.59651E+12,5.07784E+11,3.63883E+11,1.32799E+12,1.122E+12,36681151356,8.62936E+12,9.10955E+11,2.28202E+12,3.043E+11
103362453.1,12606820641,37033740926,66810347009,14418334851,10882383529,770409893.3,27296351786,1279575217,56371061599,10123186576,2.46401E+11,218916443.8
49843292.6,6079242810,17858356969,53101599865,6952788571,5247687240,371505944.1,13162807265,617034909.8,46202159598,4881588384,1946245979,105565570.8
9968658.52,1215848562,3571671394,10620319973,1390557714,1049537448,74301188.82,2632561453,123406982,9240431920,976317676.8,389249195.8,21113114.16
1424094.074,173692651.7,510238770.5,1517188568,198651102,149933921.2,10614455.55,376080207.6,17629568.85,1320061703,139473953.8,55607027.97,3016159.166
1424094.074,173692651.7,510238770.5,1517188568,198651102,149933921.2,10614455.55,376080207.6,17629568.85,1320061703,139473953.8,55607027.97,3016159.166
1424094.074,173692651.7,510238770.5,1517188568,198651102,149933921.2,10614455.55,376080207.6,17629568.85,1320061703,139473953.8,55607027.97,3016159.166
1424094.074,173692651.7,510238770.5,1517188568,198651102,149933921.2,10614455.55,376080207.6,17629568.85,1320061703,139473953.8,55607027.97,3016159.166
1424094.074,173692651.7,510238770.5,1517188568,198651102,149933921.2,10614455.55,376080207.6,17629568.85,1320061703,139473953.8,55607027.97,3016159.166
1424094.074,173692651.7,510238770.5,1517188568,198651102,149933921.2,10614455.55,376080207.6,17629568.85,1320061703,139473953.8,55607027.97,3016159.166
1424094.074,173692651.7,510238770.5,1517188568,198651102,149933921.2,10614455.55,376080207.6,17629568.85,1320061703,139473953.8,55607027.97,3016159.166
1424094.074,173692651.7,510238770.5,1517188568,198651102,149933921.2,10614455.55,376080207.6,17629568.85,1320061703,139473953.8,55607027.97,3016159.166
1424094.074,173692651.7,510238770.5,1517188568,198651102,149933921.2,10614455.55,376080207.6,17629568.85,1320061703,139473953.8,55607027.97,3016159.166
1424094.074,173692651.7,510238770.5,1517188568,198651102,149933921.2,10614455.55,376080207.6,17629568.85,1320061703,139473953.8,55607027.97,3016159.166
1424094.074,173692651.7,510238770.5,1517188568,198651102,149933921.2,10614455.55,376080207.6,17629568.85,1320061703,139473953.8,55607027.97,3016159.166
1424094.074,173692651.7,510238770.5,1517188568,198651102,149933921.2,10614455.55,376080207.6,17629568.85,1320061703,139473953.8,55607027.97,3016159.166
1424094.074,173692651.7,510238770.5,1517188568,198651102,149933921.2,10614455.55,376080207.6,17629568.85,1320061703,139473953.8,55607027.97,3016159.166
712047.0372,86846325.85,255119385.3,758594283.8,99325551.01,74966960.58,5307227.773,188040103.8,8814784.426,660030851.4,69736976.92,27803513.99,1508079.583
712047.0372,86846325.85,255119385.3,758594283.8,99325551.01,74966960.58,5307227.773,188040103.8,8814784.426,660030851.4,69736976.92,27803513.99,1508079.583
9968658.52,1215848562,3571671394,10620319973,1390557714,1049537448,74301188.82,2632561453,123406982,9240431920,976317676.8,389249195.8,21113114.16
9968658.52,1215848562,3571671394,10620319973,1390557714,1049537448,74301188.82,2632561453,123406982,9240431920,976317676.8,389249195.8,21113114.16
4984329.26,607924281,1785835697,5310159986,695278857.1,524768724,37150594.41,1316280727,61703490.98,4620215960,488158838.4,194624597.9,10556557.08
4984329.26,607924281,1785835697,5310159986,695278857.1,524768724,37150594.41,1316280727,61703490.98,4620215960,488158838.4,194624597.9,10556557.08
9968658.52,1215848562,3571671394,10620319973,1390557714,1049537448,74301188.82,2632561453,123406982,9240431920,976317676.8,389249195.8,21113114.16
3322886.173,405282854,1190557131,3540106658,463519238.1,349845816,24767062.94,877520484.4,41135660.65,3080143973,325439225.6,129749731.9,7037704.721
3322886.173,405282854,1190557131,3540106658,463519238.1,349845816,24767062.94,877520484.4,41135660.65,3080143973,325439225.6,129749731.9,7037704.721
3322886.173,405282854,1190557131,3540106658,463519238.1,349845816,24767062.94,877520484.4,41135660.65,3080143973,325439225.6,129749731.9,7037704.721
3322886.173,405282854,1190557131,3540106658,463519238.1,349845816,24767062.94,877520484.4,41135660.65,3080143973,325439225.6,129749731.9,7037704.721
3322886.173,405282854,1190557131,3540106658,463519238.1,349845816,24767062.94,877520484.4,41135660.65,3080143973,325439225.6,129749731.9,7037704.721
474698.0248,57897550.57,170079590.2,505729522.5,66217034.01,49977973.72,3538151.848,125360069.2,5876522.95,440020567.6,46491317.94,18535675.99,1005386.389
474698.0248,57897550.57,170079590.2,505729522.5,66217034.01,49977973.72,3538151.848,125360069.2,5876522.95,440020567.6,46491317.94,18535675.99,1005386.389
474698.0248,57897550.57,170079590.2,505729522.5,66217034.01,49977973.72,3538151.848,125360069.2,5876522.95,440020567.6,46491317.94,18535675.99,1005386.389
474698.0248,57897550.57,170079590.2,505729522.5,66217034.01,49977973.72,3538151.848,125360069.2,5876522.95,440020567.6,46491317.94,18535675.99,1005386.389
474698.0248,57897550.57,170079590.2,505729522.5,66217034.01,49977973.72,3538151.848,125360069.2,5876522.95,440020567.6,46491317.94,18535675.99,1005386.389
474698.0248,57897550.57,170079590.2,505729522.5,66217034.01,49977973.72,3538151.848,125360069.2,5876522.95,440020567.6,46491317.94,18535675.99,1005386.389
474698.0248,57897550.57,170079590.2,505729522.5,66217034.01,49977973.72,3538151.848,125360069.2,5876522.95,440020567.6,46491317.94,18535675.99,1005386.389
9968658.52,1215848562,3571671394,10620319973,1390557714,1049537448,74301188.82,2632561453,123406982,9240431920,976317676.8,389249195.8,21113114.16
4984329.26,607924281,1785835697,5310159986,695278857.1,524768724,37150594.41,1316280727,61703490.98,4620215960,488158838.4,194624597.9,10556557.08
2492164.63,303962140.5,892917848.4,2655079993,347639428.5,262384362,18575297.2,658140363.3,30851745.49,2310107980,244079419.2,97312298.96,5278278.54
2492164.63,303962140.5,892917848.4,2655079993,347639428.5,262384362,18575297.2,658140363.3,30851745.49,2310107980,244079419.2,97312298.96,5278278.54
4984329.26,607924281,1785835697,5310159986,695278857.1,524768724,37150594.41,1316280727,61703490.98,4620215960,488158838.4,194624597.9,10556557.08
2492164.63,303962140.5,892917848.4,2655079993,347639428.5,262384362,18575297.2,658140363.3,30851745.49,2310107980,244079419.2,97312298.96,5278278.54
2492164.63,303962140.5,892917848.4,2655079993,347639428.5,262384362,18575297.2,658140363.3,30851745.49,2310107980,244079419.2,97312298.96,5278278.54
9968658.52,1215848562,3571671394,10620319973,1390557714,1049537448,74301188.82,2632561453,123406982,9240431920,976317676.8,389249195.8,21113114.16
1993731.704,243169712.4,714334278.7,2124063995,278111542.8,209907489.6,14860237.76,526512290.6,24681396.39,1848086384,195263535.4,77849839.16,4222622.832
1993731.704,243169712.4,714334278.7,2124063995,278111542.8,209907489.6,14860237.76,526512290.6,24681396.39,1848086384,195263535.4,77849839.16,4222622.832
1993731.704,243169712.4,714334278.7,2124063995,278111542.8,209907489.6,14860237.76,526512290.6,24681396.39,1848086384,195263535.4,77849839.16,4222622.832
1993731.704,243169712.4,714334278.7,2124063995,278111542.8,209907489.6,14860237.76,526512290.6,24681396.39,1848086384,195263535.4,77849839.16,4222622.832
1993731.704,243169712.4,714334278.7,2124063995,278111542.8,209907489.6,14860237.76,526512290.6,24681396.39,1848086384,195263535.4,77849839.16,4222622.832
1993731.704,243169712.4,714334278.7,2124063995,278111542.8,209907489.6,14860237.76,526512290.6,24681396.39,1848086384,195263535.4,77849839.16,4222622.832
1993731.704,243169712.4,714334278.7,2124063995,278111542.8,209907489.6,14860237.76,526512290.6,24681396.39,1848086384,195263535.4,77849839.16,4222622.832
1993731.704,243169712.4,714334278.7,2124063995,278111542.8,209907489.6,14860237.76,526512290.6,24681396.39,1848086384,195263535.4,77849839.16,4222622.832
1993731.704,243169712.4,714334278.7,2124063995,278111542.8,209907489.6,14860237.76,526512290.6,24681396.39,1848086384,195263535.4,77849839.16,4222622.832
664577.2347,81056570.79,238111426.2,708021331.5,92703847.61,69969163.21,4953412.588,175504096.9,8227132.131,616028794.6,65087845.12,25949946.39,1407540.944
664577.2347,81056570.79,238111426.2,708021331.5,92703847.61,69969163.21,4953412.588,175504096.9,8227132.131,616028794.6,65087845.12,25949946.39,1407540.944
664577.2347,81056570.79,238111426.2,708021331.5,92703847.61,69969163.21,4953412.588,175504096.9,8227132.131,616028794.6,65087845.12,25949946.39,1407540.944
44912016.39,5477789256,16091529652,0,6264910241,4728504139,334750779.5,11860536990,555988188.9,0,4398625493,25638855958,95121377.4
7485336.065,912964876,2681921609,0,1044151707,788084023.1,55791796.58,1976756165,92664698.14,0,733104248.9,4273142660,15853562.9
2495112.022,304321625.3,893973869.5,0,348050568.9,262694674.4,18597265.53,658918721.7,30888232.71,0,244368083,1424380887,5284520.966
1247556.011,152160812.7,446986934.8,0,174025284.5,131347337.2,9298632.763,329459360.8,15444116.36,0,122184041.5,712190443.3,2642260.483
1247556.011,152160812.7,446986934.8,0,174025284.5,131347337.2,9298632.763,329459360.8,15444116.36,0,122184041.5,712190443.3,2642260.483
2495112.022,304321625.3,893973869.5,0,348050568.9,262694674.4,18597265.53,658918721.7,30888232.71,0,244368083,1424380887,5284520.966
2495112.022,304321625.3,893973869.5,0,348050568.9,262694674.4,18597265.53,658918721.7,30888232.71,0,244368083,1424380887,5284520.966
2495112.022,304321625.3,893973869.5,0,348050568.9,262694674.4,18597265.53,658918721.7,30888232.71,0,244368083,1424380887,5284520.966
2495112.022,304321625.3,893973869.5,0,348050568.9,262694674.4,18597265.53,658918721.7,30888232.71,0,244368083,1424380887,5284520.966
7485336.065,912964876,2681921609,0,1044151707,788084023.1,55791796.58,1976756165,92664698.14,0,733104248.9,4273142660,15853562.9
7485336.065,912964876,2681921609,0,1044151707,788084023.1,55791796.58,1976756165,92664698.14,0,733104248.9,4273142660,15853562.9
7485336.065,912964876,2681921609,0,1044151707,788084023.1,55791796.58,1976756165,92664698.14,0,733104248.9,4273142660,15853562.9
7485336.065,912964876,2681921609,0,1044151707,788084023.1,55791796.58,1976756165,92664698.14,0,733104248.9,4273142660,15853562.9
1497067.213,182592975.2,536384321.7,0,208830341.4,157616804.6,11158359.32,395351233,18532939.63,0,146620849.8,854628531.9,3170712.58
1497067.213,182592975.2,536384321.7,0,208830341.4,157616804.6,11158359.32,395351233,18532939.63,0,146620849.8,854628531.9,3170712.58
1497067.213,182592975.2,536384321.7,0,208830341.4,157616804.6,11158359.32,395351233,18532939.63,0,146620849.8,854628531.9,3170712.58
1497067.213,182592975.2,536384321.7,0,208830341.4,157616804.6,11158359.32,395351233,18532939.63,0,146620849.8,854628531.9,3170712.58
1497067.213,182592975.2,536384321.7,0,208830341.4,157616804.6,11158359.32,395351233,18532939.63,0,146620849.8,854628531.9,3170712.58
1497067.213,182592975.2,536384321.7,0,208830341.4,157616804.6,11158359.32,395351233,18532939.63,0,146620849.8,854628531.9,3170712.58
1497067.213,182592975.2,536384321.7,0,208830341.4,157616804.6,11158359.32,395351233,18532939.63,0,146620849.8,854628531.9,3170712.58
1497067.213,182592975.2,536384321.7,0,208830341.4,157616804.6,11158359.32,395351233,18532939.63,0,146620849.8,854628531.9,3170712.58
1497067.213,182592975.2,536384321.7,0,208830341.4,157616804.6,11158359.32,395351233,18532939.63,0,146620849.8,854628531.9,3170712.58
1497067.213,182592975.2,536384321.7,0,208830341.4,157616804.6,11158359.32,395351233,18532939.63,0,146620849.8,854628531.9,3170712.58
7485336.065,912964876,2681921609,0,1044151707,788084023.1,55791796.58,1976756165,92664698.14,0,733104248.9,4273142660,15853562.9
3742668.032,456482438,1340960804,0,522075853.4,394042011.5,27895898.29,988378082.5,46332349.07,0,366552124.4,2136571330,7926781.45
3742668.032,456482438,1340960804,0,522075853.4,394042011.5,27895898.29,988378082.5,46332349.07,0,366552124.4,2136571330,7926781.45
3742668.032,456482438,1340960804,0,522075853.4,394042011.5,27895898.29,988378082.5,46332349.07,0,366552124.4,2136571330,7926781.45
3742668.032,456482438,1340960804,0,522075853.4,394042011.5,27895898.29,988378082.5,46332349.07,0,366552124.4,2136571330,7926781.45
7485336.065,912964876,2681921609,0,1044151707,788084023.1,55791796.58,1976756165,92664698.14,0,733104248.9,4273142660,15853562.9
7485336.065,912964876,2681921609,0,1044151707,788084023.1,55791796.58,1976756165,92664698.14,0,733104248.9,4273142660,15853562.9
2495112.022,304321625.3,893973869.5,0,348050568.9,262694674.4,18597265.53,658918721.7,30888232.71,0,244368083,1424380887,5284520.966
2495112.022,304321625.3,893973869.5,0,348050568.9,262694674.4,18597265.53,658918721.7,30888232.71,0,244368083,1424380887,5284520.966
2495112.022,304321625.3,893973869.5,0,348050568.9,262694674.4,18597265.53,658918721.7,30888232.71,0,244368083,1424380887,5284520.966
7485336.065,912964876,2681921609,0,1044151707,788084023.1,55791796.58,1976756165,92664698.14,0,733104248.9,4273142660,15853562.9
1871334.016,228241219,670480402.2,0,261037926.7,197021005.8,13947949.14,494189041.3,23166174.54,0,183276062.2,1068285665,3963390.725
1871334.016,228241219,670480402.2,0,261037926.7,197021005.8,13947949.14,494189041.3,23166174.54,0,183276062.2,1068285665,3963390.725
1871334.016,228241219,670480402.2,0,261037926.7,197021005.8,13947949.14,494189041.3,23166174.54,0,183276062.2,1068285665,3963390.725
1871334.016,228241219,670480402.2,0,261037926.7,197021005.8,13947949.14,494189041.3,23166174.54,0,183276062.2,1068285665,3963390.725
1871334.016,228241219,670480402.2,0,261037926.7,197021005.8,13947949.14,494189041.3,23166174.54,0,183276062.2,1068285665,3963390.725
1871334.016,228241219,670480402.2,0,261037926.7,197021005.8,13947949.14,494189041.3,23166174.54,0,183276062.2,1068285665,3963390.725
1871334.016,228241219,670480402.2,0,261037926.7,197021005.8,13947949.14,494189041.3,23166174.54,0,183276062.2,1068285665,3963390.725
1871334.016,228241219,670480402.2,0,261037926.7,197021005.8,13947949.14,494189041.3,23166174.54,0,183276062.2,1068285665,3963390.725
1797335.446,219215826.6,643967449.1,5073935448,250715646.9,189230161.1,13396402.34,474647216,22250109.44,3411944961,176028736.9,10988931535,3806665.5
599111.8154,73071942.2,214655816.4,1691311816,83571882.31,63076720.37,4465467.448,158215738.7,7416703.145,1137314987,58676245.62,3662977178,1268888.5
599111.8154,73071942.2,214655816.4,1691311816,83571882.31,63076720.37,4465467.448,158215738.7,7416703.145,1137314987,58676245.62,3662977178,1268888.5
599111.8154,73071942.2,214655816.4,1691311816,83571882.31,63076720.37,4465467.448,158215738.7,7416703.145,1137314987,58676245.62,3662977178,1268888.5
599111.8154,73071942.2,214655816.4,1691311816,83571882.31,63076720.37,4465467.448,158215738.7,7416703.145,1137314987,58676245.62,3662977178,1268888.5
599111.8154,73071942.2,214655816.4,1691311816,83571882.31,63076720.37,4465467.448,158215738.7,7416703.145,1137314987,58676245.62,3662977178,1268888.5
599111.8154,73071942.2,214655816.4,1691311816,83571882.31,63076720.37,4465467.448,158215738.7,7416703.145,1137314987,58676245.62,3662977178,1268888.5
599111.8154,73071942.2,214655816.4,1691311816,83571882.31,63076720.37,4465467.448,158215738.7,7416703.145,1137314987,58676245.62,3662977178,1268888.5
599111.8154,73071942.2,214655816.4,1691311816,83571882.31,63076720.37,4465467.448,158215738.7,7416703.145,1137314987,58676245.62,3662977178,1268888.5
599111.8154,73071942.2,214655816.4,1691311816,83571882.31,63076720.37,4465467.448,158215738.7,7416703.145,1137314987,58676245.62,3662977178,1268888.5
1625991.444,198317492.3,582576593.9,8634811696,226814364.3,171190427.2,12119293.39,429398036.8,20128956.81,6756957040,159247524.2,7218387203,3443767.575
