                       2016         2017         2018         2019  \
GDP                   0.003        0.003        0.003        0.003   
Consumption           0.001        0.001        0.001        0.001   
Investment            0.008        0.008        0.008        0.007   
Hours Worked          0.004        0.004        0.004        0.004   
Wages                -0.002       -0.001       -0.001       -0.001   
Interest Rates        0.006        0.005        0.004        0.003   
Total Taxes          -0.037       -0.037       -0.036       -0.035   

                       2020         2021         2022         2023  \
GDP                   0.003        0.003        0.003        0.003   
Consumption           0.002        0.002        0.002        0.002   
Investment            0.007        0.007        0.007        0.007   
Hours Worked          0.004        0.004        0.004        0.003   
Wages                -0.001       -0.000       -0.000       -0.000   
Interest Rates        0.002        0.002        0.001        0.000   
Total Taxes          -0.035       -0.035       -0.034       -0.034   

                       2024         2025    2016-2025  Steady State  
GDP                   0.003        0.003        0.003         0.004  
Consumption           0.002        0.002        0.002         0.003  
Investment            0.007        0.006        0.007         0.006  
Hours Worked          0.003        0.003        0.004         0.003  
Wages                 0.000        0.000       -0.001         0.001  
Interest Rates       -0.000       -0.001        0.002        -0.004  
Total Taxes          -0.033       -0.033       -0.035        -0.032  
