                       2016         2017         2018         2019  \
GDP                   0.006        0.006        0.007        0.007   
Consumption           0.002        0.002        0.003        0.004   
Investment            0.016        0.016        0.015        0.015   
Hours Worked          0.009        0.009        0.009        0.009   
Wages                -0.003       -0.003       -0.002       -0.002   
Interest Rates        0.013        0.011        0.009        0.007   
Total Taxes          -0.031       -0.031       -0.031       -0.031   

                       2020         2021         2022         2023  \
GDP                   0.007        0.007        0.007        0.008   
Consumption           0.004        0.004        0.005        0.005   
Investment            0.014        0.014        0.014        0.014   
Hours Worked          0.009        0.008        0.008        0.008   
Wages                -0.001       -0.001       -0.001       -0.001   
Interest Rates        0.006        0.004        0.003        0.002   
Total Taxes          -0.031       -0.030       -0.030       -0.030   

                       2024         2025    2016-2025  Steady State  
GDP                   0.008        0.008        0.007         0.009  
Consumption           0.005        0.006        0.004         0.008  
Investment            0.013        0.013        0.014         0.012  
Hours Worked          0.008        0.008        0.009         0.007  
Wages                -0.000       -0.000       -0.001         0.002  
Interest Rates        0.001        0.001        0.006        -0.006  
Total Taxes          -0.030       -0.030       -0.030        -0.029  
